,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,31597.0,KHRB
1,Other income,12  Mar-15*,436.0,KHRB
2,Total revenues,12  Mar-15*,32033.0,KHRB
3,Gross profit,12  Mar-15*,4882.0,KHRB
4,Depreciation,12  Mar-15*,527.0,KHRB
5,Interest,12  Mar-15*,809.0,KHRB
6,Profit before tax,12  Mar-15*,3983.0,KHRB
7,Minority Interest,12  Mar-15*,0.0,KHRB
8,Prior Period Items,12  Mar-15*,0.0,KHRB
9,Extraordinary Inc (Exp),12  Mar-15*,-42.0,KHRB
10,Tax,12  Mar-15*,724.0,KHRB
11,Profit after tax,12  Mar-15*,3217.0,KHRB
12,Gross profit margin,12  Mar-15*,15.5,KHRB
13,Effective tax rate,12  Mar-15*,18.2,KHRB
14,Net profit margin,12  Mar-15*,10.2,KHRB
15,Current assets,12  Mar-15*,22902.0,KHRB
16,Current liabilities,12  Mar-15*,14512.0,KHRB
17,Net working cap to sales,12  Mar-15*,26.6,KHRB
18,Current ratio,12  Mar-15*,1.6,KHRB
19,Inventory Days,12  Mar-15*,227.0,KHRB
20,Debtors Days,12  Mar-15*,26.0,KHRB
21,Net fixed assets,12  Mar-15*,7470.0,KHRB
22,Share capital,12  Mar-15*,235.0,KHRB
23,"""Free"" reserves",12  Mar-15*,12605.0,KHRB
24,Net worth,12  Mar-15*,12840.0,KHRB
25,Long term debt,12  Mar-15*,2425.0,KHRB
26,Total assets,12  Mar-15*,30611.0,KHRB
27,Interest coverage,12  Mar-15*,5.9,KHRB
28,Debt to equity ratio,12  Mar-15*,0.2,KHRB
29,Sales to assets ratio,12  Mar-15*,1.0,KHRB
30,Return on assets,12  Mar-15*,13.2,KHRB
31,Return on equity,12  Mar-15*,25.1,KHRB
32,Return on capital,12  Mar-15*,31.1,KHRB
33,Exports to sales,12  Mar-15*,40.2,KHRB
34,Imports to sales,12  Mar-15*,0.1,KHRB
35,Exports (fob),12  Mar-15*,12716.0,KHRB
36,Imports (cif),12  Mar-15*,37.0,KHRB
37,Fx inflow,12  Mar-15*,25452.0,KHRB
38,Fx outflow,12  Mar-15*,321.0,KHRB
39,Net fx,12  Mar-15*,25132.0,KHRB
40,From Operations,12  Mar-15*,3365.0,KHRB
41,From Investments,12  Mar-15*,-2315.0,KHRB
42,From Financial Activity,12  Mar-15*,-1469.0,KHRB
43,Net Cashflow,12  Mar-15*,-419.0,KHRB
44,Net Sales,12  Mar-16*,33628.0,KHRB
45,Other income,12  Mar-16*,612.0,KHRB
46,Total revenues,12  Mar-16*,34240.0,KHRB
47,Gross profit,12  Mar-16*,4468.0,KHRB
48,Depreciation,12  Mar-16*,498.0,KHRB
49,Interest,12  Mar-16*,675.0,KHRB
50,Profit before tax,12  Mar-16*,3908.0,KHRB
51,Minority Interest,12  Mar-16*,0.0,KHRB
52,Prior Period Items,12  Mar-16*,0.0,KHRB
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,KHRB
54,Tax,12  Mar-16*,977.0,KHRB
55,Profit after tax,12  Mar-16*,2931.0,KHRB
56,Gross profit margin,12  Mar-16*,13.3,KHRB
57,Effective tax rate,12  Mar-16*,25.0,KHRB
58,Net profit margin,12  Mar-16*,8.7,KHRB
59,Current assets,12  Mar-16*,20607.0,KHRB
60,Current liabilities,12  Mar-16*,11833.0,KHRB
61,Net working cap to sales,12  Mar-16*,26.1,KHRB
62,Current ratio,12  Mar-16*,1.7,KHRB
63,Inventory Days,12  Mar-16*,195.0,KHRB
