,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,21869.0,KJCR
1,Other income,12  Mar-15*,72.0,KJCR
2,Total revenues,12  Mar-15*,21941.0,KJCR
3,Gross profit,12  Mar-15*,3426.0,KJCR
4,Depreciation,12  Mar-15*,559.0,KJCR
5,Interest,12  Mar-15*,294.0,KJCR
6,Profit before tax,12  Mar-15*,2646.0,KJCR
7,Minority Interest,12  Mar-15*,-93.0,KJCR
8,Prior Period Items,12  Mar-15*,0.0,KJCR
9,Extraordinary Inc (Exp),12  Mar-15*,58.0,KJCR
10,Tax,12  Mar-15*,854.0,KJCR
11,Profit after tax,12  Mar-15*,1756.0,KJCR
12,Gross profit margin,12  Mar-15*,15.7,KJCR
13,Effective tax rate,12  Mar-15*,32.3,KJCR
14,Net profit margin,12  Mar-15*,8.0,KJCR
15,Current assets,12  Mar-15*,5850.0,KJCR
16,Current liabilities,12  Mar-15*,7287.0,KJCR
17,Net working cap to sales,12  Mar-15*,-6.6,KJCR
18,Current ratio,12  Mar-15*,0.8,KJCR
19,Inventory Days,12  Mar-15*,51.0,KJCR
20,Debtors Days,12  Mar-15*,36.0,KJCR
21,Net fixed assets,12  Mar-15*,9378.0,KJCR
22,Share capital,12  Mar-15*,159.0,KJCR
23,"""Free"" reserves",12  Mar-15*,7601.0,KJCR
24,Net worth,12  Mar-15*,7760.0,KJCR
25,Long term debt,12  Mar-15*,964.0,KJCR
26,Total assets,12  Mar-15*,15672.0,KJCR
27,Interest coverage,12  Mar-15*,10.0,KJCR
28,Debt to equity ratio,12  Mar-15*,0.1,KJCR
29,Sales to assets ratio,12  Mar-15*,1.4,KJCR
30,Return on assets,12  Mar-15*,13.1,KJCR
31,Return on equity,12  Mar-15*,22.6,KJCR
32,Return on capital,12  Mar-15*,33.3,KJCR
33,Exports to sales,12  Mar-15*,2.1,KJCR
34,Imports to sales,12  Mar-15*,5.5,KJCR
35,Exports (fob),12  Mar-15*,460.0,KJCR
36,Imports (cif),12  Mar-15*,1214.0,KJCR
37,Fx inflow,12  Mar-15*,460.0,KJCR
38,Fx outflow,12  Mar-15*,1250.0,KJCR
39,Net fx,12  Mar-15*,-790.0,KJCR
40,From Operations,12  Mar-15*,1803.0,KJCR
41,From Investments,12  Mar-15*,-2630.0,KJCR
42,From Financial Activity,12  Mar-15*,874.0,KJCR
43,Net Cashflow,12  Mar-15*,47.0,KJCR
44,Net Sales,12  Mar-16*,24135.0,KJCR
45,Other income,12  Mar-16*,104.0,KJCR
46,Total revenues,12  Mar-16*,24239.0,KJCR
47,Gross profit,12  Mar-16*,4575.0,KJCR
48,Depreciation,12  Mar-16*,726.0,KJCR
49,Interest,12  Mar-16*,345.0,KJCR
50,Profit before tax,12  Mar-16*,3608.0,KJCR
51,Minority Interest,12  Mar-16*,0.0,KJCR
52,Prior Period Items,12  Mar-16*,0.0,KJCR
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,KJCR
54,Tax,12  Mar-16*,1247.0,KJCR
55,Profit after tax,12  Mar-16*,2361.0,KJCR
56,Gross profit margin,12  Mar-16*,19.0,KJCR
57,Effective tax rate,12  Mar-16*,34.6,KJCR
58,Net profit margin,12  Mar-16*,9.8,KJCR
59,Current assets,12  Mar-16*,7602.0,KJCR
60,Current liabilities,12  Mar-16*,8701.0,KJCR
61,Net working cap to sales,12  Mar-16*,-4.6,KJCR
62,Current ratio,12  Mar-16*,0.9,KJCR
63,Inventory Days,12  Mar-16*,58.0,KJCR
64,Debtors Days,12  Mar-16*,41.0,KJCR
65,Net fixed assets,12  Mar-16*,11283.0,KJCR
66,Share capital,12  Mar-16*,159.0,KJCR
