,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14,3672.0,KKCL
1,Other income,12  Mar-14,118.0,KKCL
2,Total revenues,12  Mar-14,3790.0,KKCL
3,Gross profit,12  Mar-14,934.0,KKCL
4,Depreciation,12  Mar-14,52.0,KKCL
5,Interest,12  Mar-14,30.0,KKCL
6,Profit before tax,12  Mar-14,971.0,KKCL
7,Minority Interest,12  Mar-14,0.0,KKCL
8,Prior Period Items,12  Mar-14,0.0,KKCL
9,Extraordinary Inc (Exp),12  Mar-14,0.0,KKCL
10,Tax,12  Mar-14,301.0,KKCL
11,Profit after tax,12  Mar-14,670.0,KKCL
12,Gross profit margin,12  Mar-14,25.4,KKCL
13,Effective tax rate,12  Mar-14,31.0,KKCL
14,Net profit margin,12  Mar-14,18.3,KKCL
15,Current assets,12  Mar-14,3137.0,KKCL
16,Current liabilities,12  Mar-14,721.0,KKCL
17,Net working cap to sales,12  Mar-14,65.8,KKCL
18,Current ratio,12  Mar-14,4.4,KKCL
19,Inventory Days,12  Mar-14,48.0,KKCL
20,Debtors Days,12  Mar-14,63.0,KKCL
21,Net fixed assets,12  Mar-14,427.0,KKCL
22,Share capital,12  Mar-14,123.0,KKCL
23,"""Free"" reserves",12  Mar-14,2783.0,KKCL
24,Net worth,12  Mar-14,2906.0,KKCL
25,Long term debt,12  Mar-14,0.0,KKCL
26,Total assets,12  Mar-14,3705.0,KKCL
27,Interest coverage,12  Mar-14,33.8,KKCL
28,Debt to equity ratio,12  Mar-14,0.0,KKCL
29,Sales to assets ratio,12  Mar-14,1.0,KKCL
30,Return on assets,12  Mar-14,18.9,KKCL
31,Return on equity,12  Mar-14,23.1,KKCL
32,Return on capital,12  Mar-14,34.4,KKCL
33,Exports to sales,12  Mar-14,6.8,KKCL
34,Imports to sales,12  Mar-14,2.1,KKCL
35,Exports (fob),12  Mar-14,251.0,KKCL
36,Imports (cif),12  Mar-14,78.0,KKCL
37,Fx inflow,12  Mar-14,251.0,KKCL
38,Fx outflow,12  Mar-14,80.0,KKCL
39,Net fx,12  Mar-14,170.0,KKCL
40,From Operations,12  Mar-14,422.0,KKCL
41,From Investments,12  Mar-14,-374.0,KKCL
42,From Financial Activity,12  Mar-14,-314.0,KKCL
43,Net Cashflow,12  Mar-14,-265.0,KKCL
44,Net Sales,12  Mar-15,4083.0,KKCL
45,Other income,12  Mar-15,80.0,KKCL
46,Total revenues,12  Mar-15,4163.0,KKCL
47,Gross profit,12  Mar-15,965.0,KKCL
48,Depreciation,12  Mar-15,37.0,KKCL
49,Interest,12  Mar-15,27.0,KKCL
