,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,26940.0,KPIT
1,Other income,12  Mar-14*,329.0,KPIT
2,Total revenues,12  Mar-14*,27269.0,KPIT
3,Gross profit,12  Mar-14*,3776.0,KPIT
4,Depreciation,12  Mar-14*,540.0,KPIT
5,Interest,12  Mar-14*,258.0,KPIT
6,Profit before tax,12  Mar-14*,3308.0,KPIT
7,Minority Interest,12  Mar-14*,0.0,KPIT
8,Prior Period Items,12  Mar-14*,0.0,KPIT
9,Extraordinary Inc (Exp),12  Mar-14*,122.0,KPIT
10,Tax,12  Mar-14*,941.0,KPIT
11,Profit after tax,12  Mar-14*,2490.0,KPIT
12,Gross profit margin,12  Mar-14*,14.0,KPIT
13,Effective tax rate,12  Mar-14*,28.4,KPIT
14,Net profit margin,12  Mar-14*,9.2,KPIT
15,Current assets,12  Mar-14*,11897.0,KPIT
16,Current liabilities,12  Mar-14*,7164.0,KPIT
17,Net working cap to sales,12  Mar-14*,17.6,KPIT
18,Current ratio,12  Mar-14*,1.7,KPIT
19,Inventory Days,12  Mar-14*,0.0,KPIT
20,Debtors Days,12  Mar-14*,91.0,KPIT
21,Net fixed assets,12  Mar-14*,2161.0,KPIT
22,Share capital,12  Mar-14*,371.0,KPIT
23,"""Free"" reserves",12  Mar-14*,12346.0,KPIT
24,Net worth,12  Mar-14*,12751.0,KPIT
25,Long term debt,12  Mar-14*,1301.0,KPIT
26,Total assets,12  Mar-14*,21449.0,KPIT
27,Interest coverage,12  Mar-14*,13.8,KPIT
28,Debt to equity ratio,12  Mar-14*,0.1,KPIT
29,Sales to assets ratio,12  Mar-14*,1.3,KPIT
30,Return on assets,12  Mar-14*,12.8,KPIT
31,Return on equity,12  Mar-14*,19.5,KPIT
32,Return on capital,12  Mar-14*,26.2,KPIT
33,Exports to sales,12  Mar-14*,0.0,KPIT
34,Imports to sales,12  Mar-14*,0.4,KPIT
35,Exports (fob),12  Mar-14*,0.0,KPIT
36,Imports (cif),12  Mar-14*,112.0,KPIT
37,Fx inflow,12  Mar-14*,5956.0,KPIT
38,Fx outflow,12  Mar-14*,502.0,KPIT
39,Net fx,12  Mar-14*,5454.0,KPIT
40,From Operations,12  Mar-14*,1030.0,KPIT
41,From Investments,12  Mar-14*,-1908.0,KPIT
42,From Financial Activity,12  Mar-14*,790.0,KPIT
43,Net Cashflow,12  Mar-14*,-88.0,KPIT
44,Net Sales,12  Mar-15*,28643.0,KPIT
45,Other income,12  Mar-15*,352.0,KPIT
46,Total revenues,12  Mar-15*,28995.0,KPIT
47,Gross profit,12  Mar-15*,3244.0,KPIT
48,Depreciation,12  Mar-15*,851.0,KPIT
49,Interest,12  Mar-15*,260.0,KPIT
50,Profit before tax,12  Mar-15*,2485.0,KPIT
51,Minority Interest,12  Mar-15*,0.0,KPIT
52,Prior Period Items,12  Mar-15*,0.0,KPIT
53,Extraordinary Inc (Exp),12  Mar-15*,0.0,KPIT
54,Tax,12  Mar-15*,115.0,KPIT
55,Profit after tax,12  Mar-15*,2370.0,KPIT
