,No. of Mths  Year Ending,variable,value,name
0,Interest income,12  Mar-14*,92147.0,LICHF
1,Other income,12  Mar-14*,1583.0,LICHF
2,Interest expense,12  Mar-14*,71744.0,LICHF
3,Net interest income,12  Mar-14*,20404.0,LICHF
4,Operating expense,12  Mar-14*,3355.0,LICHF
5,Gross profit,12  Mar-14*,17049.0,LICHF
6,Gross profit margin,12  Mar-14*,18.5,LICHF
7,Provisions/contingencies,12  Mar-14*,293.0,LICHF
8,Profit before tax,12  Mar-14*,18339.0,LICHF
9,Extraordinary Inc (Exp),12  Mar-14*,0.0,LICHF
10,Minority Interest,12  Mar-14*,-3.0,LICHF
11,Prior Period Items,12  Mar-14*,-29.0,LICHF
12,Tax,12  Mar-14*,5124.0,LICHF
13,Profit after tax,12  Mar-14*,13182.0,LICHF
14,Net profit margin,12  Mar-14*,14.3,LICHF
15,Advances,12  Mar-14*,913409,LICHF
16,Deposits,12  Mar-14*,0,LICHF
17,Credit/Deposit ratio,12  Mar-14*,NM,LICHF
18,Yield on advances,12  Mar-14*,9.9,LICHF
19,Cost of deposits,12  Mar-14*,N.A.,LICHF
20,Net Interest Margin,12  Mar-14*,2.2,LICHF
21,Net fixed assets,12  Mar-14*,864,LICHF
22,Share capital,12  Mar-14*,1010,LICHF
23,Free reserves,12  Mar-14*,51059,LICHF
24,Net worth,12  Mar-14*,75859,LICHF
25,Borrowings,12  Mar-14*,677123,LICHF
26,Investments,12  Mar-14*,1922,LICHF
27,Total assets,12  Mar-14*,958601,LICHF
28,Debt/equity ratio,12  Mar-14*,8.9,LICHF
29,Return on assets,12  Mar-14*,1.4,LICHF
30,Return on equity,12  Mar-14*,17.4,LICHF
31,Capital adequacy ratio,12  Mar-14*,16.4,LICHF
32,Net NPAs,12  Mar-14*,0.4,LICHF
33,From Operations,12  Mar-14*,-115229,LICHF
34,From Investments,12  Mar-14*,-15,LICHF
35,From Financial Activity,12  Mar-14*,130482,LICHF
36,Net Cashflow,12  Mar-14*,15238,LICHF
37,Interest income,12  Mar-15*,106947.0,LICHF
38,Other income,12  Mar-15*,1342.0,LICHF
39,Interest expense,12  Mar-15*,83102.0,LICHF
40,Net interest income,12  Mar-15*,23845.0,LICHF
41,Operating expense,12  Mar-15*,3825.0,LICHF
42,Gross profit,12  Mar-15*,20020.0,LICHF
43,Gross profit margin,12  Mar-15*,18.7,LICHF
44,Provisions/contingencies,12  Mar-15*,169.0,LICHF
45,Profit before tax,12  Mar-15*,21193.0,LICHF
46,Extraordinary Inc (Exp),12  Mar-15*,0.0,LICHF
47,Minority Interest,12  Mar-15*,-3.0,LICHF
48,Prior Period Items,12  Mar-15*,-16.0,LICHF
49,Tax,12  Mar-15*,7218.0,LICHF
50,Profit after tax,12  Mar-15*,13956.0,LICHF
51,Net profit margin,12  Mar-15*,13.0,LICHF
52,Advances,12  Mar-15*,1083607,LICHF
53,Deposits,12  Mar-15*,0,LICHF
54,Credit/Deposit ratio,12  Mar-15*,NM,LICHF
55,Yield on advances,12  Mar-15*,9.7,LICHF
56,Cost of deposits,12  Mar-15*,N.A.,LICHF
57,Net Interest Margin,12  Mar-15*,2.2,LICHF
58,Net fixed assets,12  Mar-15*,902,LICHF
59,Share capital,12  Mar-15*,1010,LICHF
60,Free reserves,12  Mar-15*,77786,LICHF
61,Net worth,12  Mar-15*,78801,LICHF
62,Borrowings,12  Mar-15*,805186,LICHF
63,Investments,12  Mar-15*,2286,LICHF
64,Total assets,12  Mar-15*,1126303,LICHF
65,Debt/equity ratio,12  Mar-15*,10.2,LICHF
66,Return on assets,12  Mar-15*,1.2,LICHF
67,Return on equity,12  Mar-15*,17.7,LICHF
68,Capital adequacy ratio,12  Mar-15*,15.3,LICHF
69,Net NPAs,12  Mar-15*,0.2,LICHF
70,From Operations,12  Mar-15*,-143454,LICHF
71,From Investments,12  Mar-15*,-577,LICHF
72,From Financial Activity,12  Mar-15*,142316,LICHF
73,Net Cashflow,12  Mar-15*,-1714,LICHF
74,Interest income,12  Mar-16*,124103.0,LICHF
75,Other income,12  Mar-16*,922.0,LICHF
76,Interest expense,12  Mar-16*,93066.0,LICHF
77,Net interest income,12  Mar-16*,31037.0,LICHF
78,Operating expense,12  Mar-16*,4644.0,LICHF
79,Gross profit,12  Mar-16*,26393.0,LICHF
80,Gross profit margin,12  Mar-16*,21.3,LICHF
81,Provisions/contingencies,12  Mar-16*,1565.0,LICHF
82,Profit before tax,12  Mar-16*,25751.0,LICHF
83,Extraordinary Inc (Exp),12  Mar-16*,0.0,LICHF
84,Minority Interest,12  Mar-16*,-3.0,LICHF
85,Prior Period Items,12  Mar-16*,4.0,LICHF
86,Tax,12  Mar-16*,9074.0,LICHF
87,Profit after tax,12  Mar-16*,16677.0,LICHF
88,Net profit margin,12  Mar-16*,13.4,LICHF
89,Advances,12  Mar-16*,1251732,LICHF
90,Deposits,12  Mar-16*,0,LICHF
91,Credit/Deposit ratio,12  Mar-16*,NM,LICHF
92,Yield on advances,12  Mar-16*,9.8,LICHF
93,Cost of deposits,12  Mar-16*,N.A.,LICHF
94,Net Interest Margin,12  Mar-16*,2.5,LICHF
95,Net fixed assets,12  Mar-16*,1024,LICHF
96,Share capital,12  Mar-16*,1010,LICHF
97,Free reserves,12  Mar-16*,91131,LICHF
98,Net worth,12  Mar-16*,92146,LICHF
99,Borrowings,12  Mar-16*,906581,LICHF
100,Investments,12  Mar-16*,2637,LICHF
101,Total assets,12  Mar-16*,1305873,LICHF
102,Debt/equity ratio,12  Mar-16*,9.8,LICHF
103,Return on assets,12  Mar-16*,1.3,LICHF
104,Return on equity,12  Mar-16*,18.1,LICHF
105,Capital adequacy ratio,12  Mar-16*,17.0,LICHF
106,Net NPAs,12  Mar-16*,0.2,LICHF
107,From Operations,12  Mar-16*,-130394,LICHF
108,From Investments,12  Mar-16*,-576,LICHF
109,From Financial Activity,12  Mar-16*,140975,LICHF
110,Net Cashflow,12  Mar-16*,10005,LICHF
111,Interest income,12  Mar-17*,140069.0,LICHF
112,Other income,12  Mar-17*,940.0,LICHF
113,Interest expense,12  Mar-17*,102314.0,LICHF
114,Net interest income,12  Mar-17*,37755.0,LICHF
115,Operating expense,12  Mar-17*,6053.0,LICHF
116,Gross profit,12  Mar-17*,31702.0,LICHF
117,Gross profit margin,12  Mar-17*,22.6,LICHF
118,Provisions/contingencies,12  Mar-17*,2910.0,LICHF
119,Profit before tax,12  Mar-17*,29732.0,LICHF
120,Extraordinary Inc (Exp),12  Mar-17*,0.0,LICHF
121,Minority Interest,12  Mar-17*,0.0,LICHF
122,Prior Period Items,12  Mar-17*,5.0,LICHF
123,Tax,12  Mar-17*,10314.0,LICHF
124,Profit after tax,12  Mar-17*,19423.0,LICHF
125,Net profit margin,12  Mar-17*,13.9,LICHF
126,Advances,12  Mar-17*,1445340,LICHF
127,Deposits,12  Mar-17*,0,LICHF
128,Credit/Deposit ratio,12  Mar-17*,NM,LICHF
129,Yield on advances,12  Mar-17*,9.6,LICHF
130,Cost of deposits,12  Mar-17*,N.A.,LICHF
131,Net Interest Margin,12  Mar-17*,2.6,LICHF
132,Net fixed assets,12  Mar-17*,1072,LICHF
133,Share capital,12  Mar-17*,1010,LICHF
134,Free reserves,12  Mar-17*,110549,LICHF
135,Net worth,12  Mar-17*,111559,LICHF
136,Borrowings,12  Mar-17*,1037389,LICHF
137,Investments,12  Mar-17*,5192,LICHF
138,Total assets,12  Mar-17*,1509970,LICHF
139,Debt/equity ratio,12  Mar-17*,9.3,LICHF
140,Return on assets,12  Mar-17*,1.3,LICHF
141,Return on equity,12  Mar-17*,17.4,LICHF
142,Capital adequacy ratio,12  Mar-17*,15.6,LICHF
143,Net NPAs,12  Mar-17*,0.1,LICHF
144,From Operations,12  Mar-17*,-142732,LICHF
145,From Investments,12  Mar-17*,-2777,LICHF
146,From Financial Activity,12  Mar-17*,150721,LICHF
147,Net Cashflow,12  Mar-17*,5212,LICHF
148,Interest income,12  Mar-18*,149875.0,LICHF
149,Other income,12  Mar-18*,1178.0,LICHF
150,Interest expense,12  Mar-18*,111246.0,LICHF
151,Net interest income,12  Mar-18*,38629.0,LICHF
152,Operating expense,12  Mar-18*,6374.0,LICHF
153,Gross profit,12  Mar-18*,32255.0,LICHF
154,Gross profit margin,12  Mar-18*,21.5,LICHF
155,Provisions/contingencies,12  Mar-18*,2491.0,LICHF
156,Profit before tax,12  Mar-18*,30941.0,LICHF
157,Extraordinary Inc (Exp),12  Mar-18*,0.0,LICHF
158,Minority Interest,12  Mar-18*,-4.0,LICHF
159,Prior Period Items,12  Mar-18*,25.0,LICHF
160,Tax,12  Mar-18*,10823.0,LICHF
161,Profit after tax,12  Mar-18*,20139.0,LICHF
162,Net profit margin,12  Mar-18*,13.4,LICHF
163,Advances,12  Mar-18*,1663629,LICHF
164,Deposits,12  Mar-18*,0,LICHF
165,Credit/Deposit ratio,12  Mar-18*,NM,LICHF
166,Yield on advances,12  Mar-18*,8.9,LICHF
167,Cost of deposits,12  Mar-18*,N.A.,LICHF
168,Net Interest Margin,12  Mar-18*,2.3,LICHF
169,Net fixed assets,12  Mar-18*,1320,LICHF
170,Share capital,12  Mar-18*,1010,LICHF
171,Free reserves,12  Mar-18*,126921,LICHF
172,Net worth,12  Mar-18*,127931,LICHF
173,Borrowings,12  Mar-18*,1102219,LICHF
174,Investments,12  Mar-18*,9651,LICHF
175,Total assets,12  Mar-18*,1719690,LICHF
