,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,17888.0,MCRL
1,Other income,12  Mar-14*,444.0,MCRL
2,Total revenues,12  Mar-14*,18331.0,MCRL
3,Gross profit,12  Mar-14*,3526.0,MCRL
4,Depreciation,12  Mar-14*,377.0,MCRL
5,Interest,12  Mar-14*,598.0,MCRL
6,Profit before tax,12  Mar-14*,2995.0,MCRL
7,Minority Interest,12  Mar-14*,-41.0,MCRL
8,Prior Period Items,12  Mar-14*,-12.0,MCRL
9,Extraordinary Inc (Exp),12  Mar-14*,-22.0,MCRL
10,Tax,12  Mar-14*,349.0,MCRL
11,Profit after tax,12  Mar-14*,2572.0,MCRL
12,Gross profit margin,12  Mar-14*,19.7,MCRL
13,Effective tax rate,12  Mar-14*,11.6,MCRL
14,Net profit margin,12  Mar-14*,14.4,MCRL
15,Current assets,12  Mar-14*,5025.0,MCRL
16,Current liabilities,12  Mar-14*,5247.0,MCRL
17,Net working cap to sales,12  Mar-14*,-1.2,MCRL
18,Current ratio,12  Mar-14*,1.0,MCRL
19,Inventory Days,12  Mar-14*,41.0,MCRL
20,Debtors Days,12  Mar-14*,10.0,MCRL
21,Net fixed assets,12  Mar-14*,21251.0,MCRL
22,Share capital,12  Mar-14*,547.0,MCRL
23,"""Free"" reserves",12  Mar-14*,13441.0,MCRL
24,Net worth,12  Mar-14*,21568.0,MCRL
25,Long term debt,12  Mar-14*,826.0,MCRL
26,Total assets,12  Mar-14*,28876.0,MCRL
27,Interest coverage,12  Mar-14*,6.0,MCRL
28,Debt to equity ratio,12  Mar-14*,0.0,MCRL
29,Sales to assets ratio,12  Mar-14*,0.6,MCRL
30,Return on assets,12  Mar-14*,11.0,MCRL
31,Return on equity,12  Mar-14*,11.9,MCRL
32,Return on capital,12  Mar-14*,15.7,MCRL
33,Exports to sales,12  Mar-14*,23.8,MCRL
34,Imports to sales,12  Mar-14*,0.5,MCRL
35,Exports (fob),12  Mar-14*,4260.0,MCRL
36,Imports (cif),12  Mar-14*,81.0,MCRL
37,Fx inflow,12  Mar-14*,4407.0,MCRL
38,Fx outflow,12  Mar-14*,168.0,MCRL
39,Net fx,12  Mar-14*,4239.0,MCRL
40,From Operations,12  Mar-14*,1969.0,MCRL
41,From Investments,12  Mar-14*,-1352.0,MCRL
42,From Financial Activity,12  Mar-14*,-599.0,MCRL
43,Net Cashflow,12  Mar-14*,18.0,MCRL
44,Net Sales,12  Mar-15*,16460.0,MCRL
45,Other income,12  Mar-15*,447.0,MCRL
46,Total revenues,12  Mar-15*,16907.0,MCRL
47,Gross profit,12  Mar-15*,1292.0,MCRL
48,Depreciation,12  Mar-15*,768.0,MCRL
49,Interest,12  Mar-15*,719.0,MCRL
50,Profit before tax,12  Mar-15*,253.0,MCRL
51,Minority Interest,12  Mar-15*,-20.0,MCRL
52,Prior Period Items,12  Mar-15*,-8.0,MCRL
53,Extraordinary Inc (Exp),12  Mar-15*,-6.0,MCRL
54,Tax,12  Mar-15*,-93.0,MCRL
55,Profit after tax,12  Mar-15*,312.0,MCRL
56,Gross profit margin,12  Mar-15*,7.9,MCRL
57,Effective tax rate,12  Mar-15*,-36.9,MCRL
58,Net profit margin,12  Mar-15*,1.9,MCRL
59,Current assets,12  Mar-15*,6897.0,MCRL
60,Current liabilities,12  Mar-15*,6123.0,MCRL
61,Net working cap to sales,12  Mar-15*,4.7,MCRL
62,Current ratio,12  Mar-15*,1.1,MCRL
63,Inventory Days,12  Mar-15*,58.0,MCRL
64,Debtors Days,12  Mar-15*,22.0,MCRL
65,Net fixed assets,12  Mar-15*,22322.0,MCRL
66,Share capital,12  Mar-15*,412.0,MCRL
67,"""Free"" reserves",12  Mar-15*,19543.0,MCRL
68,Net worth,12  Mar-15*,19955.0,MCRL
69,Long term debt,12  Mar-15*,2632.0,MCRL
70,Total assets,12  Mar-15*,31233.0,MCRL
71,Interest coverage,12  Mar-15*,1.4,MCRL
72,Debt to equity ratio,12  Mar-15*,0.1,MCRL
