,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15,2850.0,MDPL
1,Other income,12  Mar-15,8.0,MDPL
2,Total revenues,12  Mar-15,2858.0,MDPL
3,Gross profit,12  Mar-15,400.0,MDPL
4,Depreciation,12  Mar-15,82.0,MDPL
5,Interest,12  Mar-15,73.0,MDPL
6,Profit before tax,12  Mar-15,253.0,MDPL
7,Minority Interest,12  Mar-15,0.0,MDPL
8,Prior Period Items,12  Mar-15,1.0,MDPL
9,Extraordinary Inc (Exp),12  Mar-15,0.0,MDPL
10,Tax,12  Mar-15,85.0,MDPL
11,Profit after tax,12  Mar-15,169.0,MDPL
12,Gross profit margin,12  Mar-15,14.0,MDPL
13,Effective tax rate,12  Mar-15,33.5,MDPL
14,Net profit margin,12  Mar-15,5.9,MDPL
15,Current assets,12  Mar-15,877.0,MDPL
16,Current liabilities,12  Mar-15,367.0,MDPL
17,Net working cap to sales,12  Mar-15,17.9,MDPL
18,Current ratio,12  Mar-15,2.4,MDPL
19,Inventory Days,12  Mar-15,35.0,MDPL
20,Debtors Days,12  Mar-15,57.0,MDPL
21,Net fixed assets,12  Mar-15,743.0,MDPL
22,Share capital,12  Mar-15,138.0,MDPL
23,"""Free"" reserves",12  Mar-15,1013.0,MDPL
24,Net worth,12  Mar-15,1157.0,MDPL
25,Long term debt,12  Mar-15,110.0,MDPL
26,Total assets,12  Mar-15,1693.0,MDPL
27,Interest coverage,12  Mar-15,4.5,MDPL
28,Debt to equity ratio,12  Mar-15,0.1,MDPL
29,Sales to assets ratio,12  Mar-15,1.7,MDPL
30,Return on assets,12  Mar-15,14.2,MDPL
31,Return on equity,12  Mar-15,14.6,MDPL
32,Return on capital,12  Mar-15,25.7,MDPL
33,Exports to sales,12  Mar-15,1.9,MDPL
34,Imports to sales,12  Mar-15,0.8,MDPL
35,Exports (fob),12  Mar-15,53.0,MDPL
36,Imports (cif),12  Mar-15,24.0,MDPL
37,Fx inflow,12  Mar-15,53.0,MDPL
38,Fx outflow,12  Mar-15,26.0,MDPL
39,Net fx,12  Mar-15,28.0,MDPL
40,From Operations,12  Mar-15,324.0,MDPL
41,From Investments,12  Mar-15,-91.0,MDPL
42,From Financial Activity,12  Mar-15,-229.0,MDPL
43,Net Cashflow,12  Mar-15,4.0,MDPL
44,Net Sales,12  Mar-16,2757.0,MDPL
45,Other income,12  Mar-16,7.0,MDPL
46,Total revenues,12  Mar-16,2764.0,MDPL
47,Gross profit,12  Mar-16,458.0,MDPL
48,Depreciation,12  Mar-16,85.0,MDPL
49,Interest,12  Mar-16,10.0,MDPL
50,Profit before tax,12  Mar-16,371.0,MDPL
51,Minority Interest,12  Mar-16,0.0,MDPL
52,Prior Period Items,12  Mar-16,-3.0,MDPL
53,Extraordinary Inc (Exp),12  Mar-16,0.0,MDPL
54,Tax,12  Mar-16,127.0,MDPL
55,Profit after tax,12  Mar-16,241.0,MDPL
56,Gross profit margin,12  Mar-16,16.6,MDPL
57,Effective tax rate,12  Mar-16,34.2,MDPL
58,Net profit margin,12  Mar-16,8.7,MDPL
59,Current assets,12  Mar-16,1060.0,MDPL
60,Current liabilities,12  Mar-16,610.0,MDPL
61,Net working cap to sales,12  Mar-16,16.3,MDPL
62,Current ratio,12  Mar-16,1.7,MDPL
63,Inventory Days,12  Mar-16,32.0,MDPL
64,Debtors Days,12  Mar-16,73.0,MDPL
65,Net fixed assets,12  Mar-16,895.0,MDPL
66,Share capital,12  Mar-16,139.0,MDPL
67,"""Free"" reserves",12  Mar-16,1149.0,MDPL
68,Net worth,12  Mar-16,1288.0,MDPL
69,Long term debt,12  Mar-16,66.0,MDPL
70,Total assets,12  Mar-16,2036.0,MDPL
71,Interest coverage,12  Mar-16,38.8,MDPL
72,Debt to equity ratio,12  Mar-16,0.1,MDPL
73,Sales to assets ratio,12  Mar-16,1.4,MDPL
74,Return on assets,12  Mar-16,12.3,MDPL
75,Return on equity,12  Mar-16,18.7,MDPL
76,Return on capital,12  Mar-16,27.9,MDPL
77,Exports to sales,12  Mar-16,1.5,MDPL
78,Imports to sales,12  Mar-16,0.8,MDPL
79,Exports (fob),12  Mar-16,42.0,MDPL
80,Imports (cif),12  Mar-16,22.0,MDPL
81,Fx inflow,12  Mar-16,42.0,MDPL
82,Fx outflow,12  Mar-16,25.0,MDPL
83,Net fx,12  Mar-16,17.0,MDPL
84,From Operations,12  Mar-16,380.0,MDPL
85,From Investments,12  Mar-16,-239.0,MDPL
86,From Financial Activity,12  Mar-16,-140.0,MDPL
87,Net Cashflow,12  Mar-16,0.0,MDPL
88,Net Sales,12  Mar-17*,3089.0,MDPL
89,Other income,12  Mar-17*,10.0,MDPL
90,Total revenues,12  Mar-17*,3099.0,MDPL
91,Gross profit,12  Mar-17*,494.0,MDPL
92,Depreciation,12  Mar-17*,103.0,MDPL
93,Interest,12  Mar-17*,19.0,MDPL
94,Profit before tax,12  Mar-17*,382.0,MDPL
95,Minority Interest,12  Mar-17*,0.0,MDPL
96,Prior Period Items,12  Mar-17*,1.0,MDPL
97,Extraordinary Inc (Exp),12  Mar-17*,0.0,MDPL
98,Tax,12  Mar-17*,140.0,MDPL
99,Profit after tax,12  Mar-17*,243.0,MDPL
100,Gross profit margin,12  Mar-17*,16.0,MDPL
101,Effective tax rate,12  Mar-17*,36.8,MDPL
102,Net profit margin,12  Mar-17*,7.9,MDPL
103,Current assets,12  Mar-17*,1224.0,MDPL
104,Current liabilities,12  Mar-17*,893.0,MDPL
105,Net working cap to sales,12  Mar-17*,10.7,MDPL
106,Current ratio,12  Mar-17*,1.4,MDPL
107,Inventory Days,12  Mar-17*,43.0,MDPL
108,Debtors Days,12  Mar-17*,72.0,MDPL
109,Net fixed assets,12  Mar-17*,1147.0,MDPL
110,Share capital,12  Mar-17*,139.0,MDPL
111,"""Free"" reserves",12  Mar-17*,1271.0,MDPL
112,Net worth,12  Mar-17*,1410.0,MDPL
113,Long term debt,12  Mar-17*,135.0,MDPL
114,Total assets,12  Mar-17*,2519.0,MDPL
115,Interest coverage,12  Mar-17*,20.8,MDPL
116,Debt to equity ratio,12  Mar-17*,0.1,MDPL
117,Sales to assets ratio,12  Mar-17*,1.2,MDPL
118,Return on assets,12  Mar-17*,10.4,MDPL
119,Return on equity,12  Mar-17*,17.2,MDPL
