,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,61664.0,MHSP
1,Other income,12  Mar-14*,739.0,MHSP
2,Total revenues,12  Mar-14*,62404.0,MHSP
3,Gross profit,12  Mar-14*,14603.0,MHSP
4,Depreciation,12  Mar-14*,3355.0,MHSP
5,Interest,12  Mar-14*,1511.0,MHSP
6,Profit before tax,12  Mar-14*,10476.0,MHSP
7,Minority Interest,12  Mar-14*,-472.0,MHSP
8,Prior Period Items,12  Mar-14*,0.0,MHSP
9,Extraordinary Inc (Exp),12  Mar-14*,0.0,MHSP
10,Tax,12  Mar-14*,2821.0,MHSP
11,Profit after tax,12  Mar-14*,7183.0,MHSP
12,Gross profit margin,12  Mar-14*,23.7,MHSP
13,Effective tax rate,12  Mar-14*,26.9,MHSP
14,Net profit margin,12  Mar-14*,11.6,MHSP
15,Current assets,12  Mar-14*,41274.0,MHSP
16,Current liabilities,12  Mar-14*,19703.0,MHSP
17,Net working cap to sales,12  Mar-14*,35.0,MHSP
18,Current ratio,12  Mar-14*,2.1,MHSP
19,Inventory Days,12  Mar-14*,130.0,MHSP
20,Debtors Days,12  Mar-14*,51.0,MHSP
21,Net fixed assets,12  Mar-14*,32350.0,MHSP
22,Share capital,12  Mar-14*,625.0,MHSP
23,"""Free"" reserves",12  Mar-14*,30637.0,MHSP
24,Net worth,12  Mar-14*,35284.0,MHSP
25,Long term debt,12  Mar-14*,20552.0,MHSP
26,Total assets,12  Mar-14*,78648.0,MHSP
27,Interest coverage,12  Mar-14*,7.9,MHSP
28,Debt to equity ratio,12  Mar-14*,0.6,MHSP
29,Sales to assets ratio,12  Mar-14*,0.8,MHSP
30,Return on assets,12  Mar-14*,11.1,MHSP
31,Return on equity,12  Mar-14*,20.4,MHSP
32,Return on capital,12  Mar-14*,20.6,MHSP
33,Exports to sales,12  Mar-14*,32.6,MHSP
34,Imports to sales,12  Mar-14*,9.2,MHSP
35,Exports (fob),12  Mar-14*,20079.0,MHSP
36,Imports (cif),12  Mar-14*,5677.0,MHSP
37,Fx inflow,12  Mar-14*,20079.0,MHSP
38,Fx outflow,12  Mar-14*,6017.0,MHSP
39,Net fx,12  Mar-14*,14062.0,MHSP
40,From Operations,12  Mar-14*,8339.0,MHSP
41,From Investments,12  Mar-14*,-7795.0,MHSP
42,From Financial Activity,12  Mar-14*,-386.0,MHSP
43,Net Cashflow,12  Mar-14*,158.0,MHSP
44,Net Sales,12  Mar-15*,67860.0,MHSP
45,Other income,12  Mar-15*,1662.0,MHSP
46,Total revenues,12  Mar-15*,69522.0,MHSP
47,Gross profit,12  Mar-15*,11130.0,MHSP
48,Depreciation,12  Mar-15*,5322.0,MHSP
49,Interest,12  Mar-15*,1249.0,MHSP
50,Profit before tax,12  Mar-15*,6222.0,MHSP
51,Minority Interest,12  Mar-15*,-455.0,MHSP
