,No. of Mths  Year Ending,variable,value,name
0,Interest income,12  Mar-15*,60211.0,MMFS
1,Other income,12  Mar-15*,398.0,MMFS
2,Interest expense,12  Mar-15*,26430.0,MMFS
3,Net interest income,12  Mar-15*,33781.0,MMFS
4,Operating expense,12  Mar-15*,11234.0,MMFS
5,Gross profit,12  Mar-15*,22547.0,MMFS
6,Gross profit margin,12  Mar-15*,37.4,MMFS
7,Provisions/contingencies,12  Mar-15*,8946.0,MMFS
8,Profit before tax,12  Mar-15*,13999.0,MMFS
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,MMFS
10,Minority Interest,12  Mar-15*,-120.0,MMFS
11,Prior Period Items,12  Mar-15*,0.0,MMFS
12,Tax,12  Mar-15*,4750.0,MMFS
13,Profit after tax,12  Mar-15*,9129.0,MMFS
14,Net profit margin,12  Mar-15*,15.2,MMFS
15,Advances,12  Mar-15*,198883,MMFS
16,Deposits,12  Mar-15*,0,MMFS
17,Credit/Deposit ratio,12  Mar-15*,NM,MMFS
18,Yield on advances,12  Mar-15*,24.8,MMFS
19,Cost of deposits,12  Mar-15*,N.A.,MMFS
20,Net Interest Margin,12  Mar-15*,16.5,MMFS
21,Net fixed assets,12  Mar-15*,1192,MMFS
22,Share capital,12  Mar-15*,1128,MMFS
23,Free reserves,12  Mar-15*,45585,MMFS
24,Net worth,12  Mar-15*,59427,MMFS
25,Borrowings,12  Mar-15*,168653,MMFS
26,Investments,12  Mar-15*,5597,MMFS
27,Total assets,12  Mar-15*,386331,MMFS
28,Debt/equity ratio,12  Mar-15*,2.8,MMFS
29,Return on assets,12  Mar-15*,2.4,MMFS
30,Return on equity,12  Mar-15*,15.4,MMFS
31,Capital adequacy ratio,12  Mar-15*,18.3,MMFS
32,Net NPAs,12  Mar-15*,0,MMFS
33,From Operations,12  Mar-15*,-39700,MMFS
34,From Investments,12  Mar-15*,341,MMFS
35,From Financial Activity,12  Mar-15*,39071,MMFS
36,Net Cashflow,12  Mar-15*,-289,MMFS
37,Interest income,12  Mar-16*,65539.0,MMFS
38,Other income,12  Mar-16*,437.0,MMFS
39,Interest expense,12  Mar-16*,28684.0,MMFS
40,Net interest income,12  Mar-16*,36855.0,MMFS
41,Operating expense,12  Mar-16*,13612.0,MMFS
42,Gross profit,12  Mar-16*,23244.0,MMFS
43,Gross profit margin,12  Mar-16*,35.5,MMFS
44,Provisions/contingencies,12  Mar-16*,11439.0,MMFS
45,Profit before tax,12  Mar-16*,12241.0,MMFS
46,Extraordinary Inc (Exp),12  Mar-16*,0.0,MMFS
47,Minority Interest,12  Mar-16*,-151.0,MMFS
48,Prior Period Items,12  Mar-16*,0.0,MMFS
49,Tax,12  Mar-16*,4367.0,MMFS
50,Profit after tax,12  Mar-16*,7723.0,MMFS
51,Net profit margin,12  Mar-16*,11.8,MMFS
52,Advances,12  Mar-16*,229464,MMFS
53,Deposits,12  Mar-16*,0,MMFS
54,Credit/Deposit ratio,12  Mar-16*,NM,MMFS
55,Yield on advances,12  Mar-16*,25.4,MMFS
56,Cost of deposits,12  Mar-16*,N.A.,MMFS
57,Net Interest Margin,12  Mar-16*,15.6,MMFS
58,Net fixed assets,12  Mar-16*,1291,MMFS
59,Share capital,12  Mar-16*,1129,MMFS
60,Free reserves,12  Mar-16*,51352,MMFS
