,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,48296.0,MNDRA
1,Other income,12  Mar-14*,6848.0,MNDRA
2,Total revenues,12  Mar-14*,55144.0,MNDRA
3,Gross profit,12  Mar-14*,29192.0,MNDRA
4,Depreciation,12  Mar-14*,6495.0,MNDRA
5,Interest,12  Mar-14*,9768.0,MNDRA
6,Profit before tax,12  Mar-14*,19777.0,MNDRA
7,Minority Interest,12  Mar-14*,0.0,MNDRA
8,Prior Period Items,12  Mar-14*,-14.0,MNDRA
9,Extraordinary Inc (Exp),12  Mar-14*,0.0,MNDRA
10,Tax,12  Mar-14*,2367.0,MNDRA
11,Profit after tax,12  Mar-14*,17396.0,MNDRA
12,Gross profit margin,12  Mar-14*,60.4,MNDRA
13,Effective tax rate,12  Mar-14*,12.0,MNDRA
14,Net profit margin,12  Mar-14*,36.0,MNDRA
15,Current assets,12  Mar-14*,54452.0,MNDRA
16,Current liabilities,12  Mar-14*,26999.0,MNDRA
17,Net working cap to sales,12  Mar-14*,56.8,MNDRA
18,Current ratio,12  Mar-14*,2.0,MNDRA
19,Inventory Days,12  Mar-14*,13.0,MNDRA
20,Debtors Days,12  Mar-14*,70.0,MNDRA
21,Net fixed assets,12  Mar-14*,151475.0,MNDRA
22,Share capital,12  Mar-14*,4168.0,MNDRA
23,"""Free"" reserves",12  Mar-14*,80903.0,MNDRA
24,Net worth,12  Mar-14*,87681.0,MNDRA
25,Long term debt,12  Mar-14*,112884.0,MNDRA
26,Total assets,12  Mar-14*,246772.0,MNDRA
27,Interest coverage,12  Mar-14*,3.0,MNDRA
28,Debt to equity ratio,12  Mar-14*,1.3,MNDRA
29,Sales to assets ratio,12  Mar-14*,0.2,MNDRA
30,Return on assets,12  Mar-14*,11.0,MNDRA
31,Return on equity,12  Mar-14*,19.8,MNDRA
32,Return on capital,12  Mar-14*,14.7,MNDRA
33,Exports to sales,12  Mar-14*,0.0,MNDRA
34,Imports to sales,12  Mar-14*,3.7,MNDRA
35,Exports (fob),12  Mar-14*,0.0,MNDRA
36,Imports (cif),12  Mar-14*,1804.0,MNDRA
37,Fx inflow,12  Mar-14*,11.0,MNDRA
38,Fx outflow,12  Mar-14*,4026.0,MNDRA
39,Net fx,12  Mar-14*,-4016.0,MNDRA
40,From Operations,12  Mar-14*,11319.0,MNDRA
41,From Investments,12  Mar-14*,-25100.0,MNDRA
