,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14,5544.0,MNPT
1,Other income,12  Mar-14,63.0,MNPT
2,Total revenues,12  Mar-14,5607.0,MNPT
3,Gross profit,12  Mar-14,469.0,MNPT
4,Depreciation,12  Mar-14,66.0,MNPT
5,Interest,12  Mar-14,19.0,MNPT
6,Profit before tax,12  Mar-14,448.0,MNPT
7,Minority Interest,12  Mar-14,0.0,MNPT
8,Prior Period Items,12  Mar-14,0.0,MNPT
9,Extraordinary Inc (Exp),12  Mar-14,0.0,MNPT
10,Tax,12  Mar-14,157.0,MNPT
11,Profit after tax,12  Mar-14,291.0,MNPT
12,Gross profit margin,12  Mar-14,8.5,MNPT
13,Effective tax rate,12  Mar-14,35.1,MNPT
14,Net profit margin,12  Mar-14,5.2,MNPT
15,Current assets,12  Mar-14,1868.0,MNPT
16,Current liabilities,12  Mar-14,822.0,MNPT
17,Net working cap to sales,12  Mar-14,18.9,MNPT
18,Current ratio,12  Mar-14,2.3,MNPT
19,Inventory Days,12  Mar-14,41.0,MNPT
20,Debtors Days,12  Mar-14,35.0,MNPT
21,Net fixed assets,12  Mar-14,1062.0,MNPT
22,Share capital,12  Mar-14,860.0,MNPT
23,"""Free"" reserves",12  Mar-14,1246.0,MNPT
24,Net worth,12  Mar-14,2115.0,MNPT
25,Long term debt,12  Mar-14,0.0,MNPT
26,Total assets,12  Mar-14,3119.0,MNPT
27,Interest coverage,12  Mar-14,24.6,MNPT
28,Debt to equity ratio,12  Mar-14,0.0,MNPT
29,Sales to assets ratio,12  Mar-14,1.8,MNPT
30,Return on assets,12  Mar-14,9.9,MNPT
31,Return on equity,12  Mar-14,13.7,MNPT
32,Return on capital,12  Mar-14,22.1,MNPT
33,Exports to sales,12  Mar-14,3.2,MNPT
34,Imports to sales,12  Mar-14,15.3,MNPT
35,Exports (fob),12  Mar-14,176.0,MNPT
36,Imports (cif),12  Mar-14,846.0,MNPT
37,Fx inflow,12  Mar-14,180.0,MNPT
38,Fx outflow,12  Mar-14,850.0,MNPT
39,Net fx,12  Mar-14,-670.0,MNPT
40,From Operations,12  Mar-14,454.0,MNPT
41,From Investments,12  Mar-14,-22.0,MNPT
42,From Financial Activity,12  Mar-14,-117.0,MNPT
43,Net Cashflow,12  Mar-14,315.0,MNPT
44,Net Sales,12  Mar-15,7331.0,MNPT
45,Other income,12  Mar-15,7.0,MNPT
46,Total revenues,12  Mar-15,7339.0,MNPT
47,Gross profit,12  Mar-15,768.0,MNPT
48,Depreciation,12  Mar-15,56.0,MNPT
49,Interest,12  Mar-15,25.0,MNPT
50,Profit before tax,12  Mar-15,695.0,MNPT
51,Minority Interest,12  Mar-15,0.0,MNPT
52,Prior Period Items,12  Mar-15,0.0,MNPT
53,Extraordinary Inc (Exp),12  Mar-15,0.0,MNPT
54,Tax,12  Mar-15,255.0,MNPT
55,Profit after tax,12  Mar-15,440.0,MNPT
56,Gross profit margin,12  Mar-15,10.5,MNPT
57,Effective tax rate,12  Mar-15,36.7,MNPT
58,Net profit margin,12  Mar-15,6.0,MNPT
59,Current assets,12  Mar-15,2753.0,MNPT
60,Current liabilities,12  Mar-15,1571.0,MNPT
61,Net working cap to sales,12  Mar-15,16.1,MNPT
62,Current ratio,12  Mar-15,1.8,MNPT
63,Inventory Days,12  Mar-15,38.0,MNPT
64,Debtors Days,12  Mar-15,40.0,MNPT
65,Net fixed assets,12  Mar-15,1110.0,MNPT
66,Share capital,12  Mar-15,860.0,MNPT
67,"""Free"" reserves",12  Mar-15,1580.0,MNPT
68,Net worth,12  Mar-15,2448.0,MNPT
69,Long term debt,12  Mar-15,0.0,MNPT
70,Total assets,12  Mar-15,4079.0,MNPT
71,Interest coverage,12  Mar-15,29.0,MNPT
72,Debt to equity ratio,12  Mar-15,0.0,MNPT
73,Sales to assets ratio,12  Mar-15,1.8,MNPT
74,Return on assets,12  Mar-15,11.4,MNPT
75,Return on equity,12  Mar-15,18.0,MNPT
76,Return on capital,12  Mar-15,29.4,MNPT
77,Exports to sales,12  Mar-15,4.6,MNPT
78,Imports to sales,12  Mar-15,24.2,MNPT
79,Exports (fob),12  Mar-15,337.0,MNPT
80,Imports (cif),12  Mar-15,1771.0,MNPT
81,Fx inflow,12  Mar-15,346.0,MNPT
82,Fx outflow,12  Mar-15,1786.0,MNPT
83,Net fx,12  Mar-15,-1440.0,MNPT
84,From Operations,12  Mar-15,784.0,MNPT
85,From Investments,12  Mar-15,-60.0,MNPT
86,From Financial Activity,12  Mar-15,-142.0,MNPT
87,Net Cashflow,12  Mar-15,583.0,MNPT
88,Net Sales,12  Mar-16*,5790.0,MNPT
89,Other income,12  Mar-16*,107.0,MNPT
90,Total revenues,12  Mar-16*,5898.0,MNPT
91,Gross profit,12  Mar-16*,667.0,MNPT
92,Depreciation,12  Mar-16*,59.0,MNPT
93,Interest,12  Mar-16*,25.0,MNPT
94,Profit before tax,12  Mar-16*,690.0,MNPT
95,Minority Interest,12  Mar-16*,0.0,MNPT
96,Prior Period Items,12  Mar-16*,0.0,MNPT
97,Extraordinary Inc (Exp),12  Mar-16*,0.0,MNPT
98,Tax,12  Mar-16*,211.0,MNPT
