,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,46865.0,MRCO
1,Other income,12  Mar-14*,582.0,MRCO
2,Total revenues,12  Mar-14*,47447.0,MRCO
3,Gross profit,12  Mar-14*,7477.0,MRCO
4,Depreciation,12  Mar-14*,769.0,MRCO
5,Interest,12  Mar-14*,345.0,MRCO
6,Profit before tax,12  Mar-14*,6946.0,MRCO
7,Minority Interest,12  Mar-14*,-187.0,MRCO
8,Prior Period Items,12  Mar-14*,0.0,MRCO
9,Extraordinary Inc (Exp),12  Mar-14*,0.0,MRCO
10,Tax,12  Mar-14*,1905.0,MRCO
11,Profit after tax,12  Mar-14*,4854.0,MRCO
12,Gross profit margin,12  Mar-14*,16.0,MRCO
13,Effective tax rate,12  Mar-14*,27.4,MRCO
14,Net profit margin,12  Mar-14*,10.4,MRCO
15,Current assets,12  Mar-14*,18071.0,MRCO
16,Current liabilities,12  Mar-14*,13041.0,MRCO
17,Net working cap to sales,12  Mar-14*,10.7,MRCO
18,Current ratio,12  Mar-14*,1.4,MRCO
19,Inventory Days,12  Mar-14*,62.0,MRCO
20,Debtors Days,12  Mar-14*,17.0,MRCO
21,Net fixed assets,12  Mar-14*,6378.0,MRCO
22,Share capital,12  Mar-14*,645.0,MRCO
23,"""Free"" reserves",12  Mar-14*,12412.0,MRCO
24,Net worth,12  Mar-14*,13606.0,MRCO
25,Long term debt,12  Mar-14*,2515.0,MRCO
26,Total assets,12  Mar-14*,29650.0,MRCO
27,Interest coverage,12  Mar-14*,21.2,MRCO
28,Debt to equity ratio,12  Mar-14*,0.2,MRCO
29,Sales to assets ratio,12  Mar-14*,1.6,MRCO
30,Return on assets,12  Mar-14*,17.5,MRCO
31,Return on equity,12  Mar-14*,35.7,MRCO
32,Return on capital,12  Mar-14*,44.1,MRCO
33,Exports to sales,12  Mar-14*,3.5,MRCO
34,Imports to sales,12  Mar-14*,3.2,MRCO
35,Exports (fob),12  Mar-14*,1628.0,MRCO
36,Imports (cif),12  Mar-14*,1504.0,MRCO
37,Fx inflow,12  Mar-14*,3748.0,MRCO
38,Fx outflow,12  Mar-14*,1707.0,MRCO
39,Net fx,12  Mar-14*,2040.0,MRCO
40,From Operations,12  Mar-14*,6605.0,MRCO
41,From Investments,12  Mar-14*,-2042.0,MRCO
42,From Financial Activity,12  Mar-14*,-3393.0,MRCO
43,Net Cashflow,12  Mar-14*,1169.0,MRCO
44,Net Sales,12  Mar-15*,57330.0,MRCO
45,Other income,12  Mar-15*,589.0,MRCO
46,Total revenues,12  Mar-15*,57919.0,MRCO
47,Gross profit,12  Mar-15*,8701.0,MRCO
48,Depreciation,12  Mar-15*,843.0,MRCO
49,Interest,12  Mar-15*,230.0,MRCO
50,Profit before tax,12  Mar-15*,8217.0,MRCO
51,Minority Interest,12  Mar-15*,-114.0,MRCO
52,Prior Period Items,12  Mar-15*,0.0,MRCO
53,Extraordinary Inc (Exp),12  Mar-15*,0.0,MRCO
54,Tax,12  Mar-15*,2368.0,MRCO
55,Profit after tax,12  Mar-15*,5735.0,MRCO
56,Gross profit margin,12  Mar-15*,15.2,MRCO
