,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,25171.0,MUKD
1,Other income,12  Mar-14*,1217.0,MUKD
2,Total revenues,12  Mar-14*,26388.0,MUKD
3,Gross profit,12  Mar-14*,945.0,MUKD
4,Depreciation,12  Mar-14*,677.0,MUKD
5,Interest,12  Mar-14*,2540.0,MUKD
6,Profit before tax,12  Mar-14*,-1055.0,MUKD
7,Minority Interest,12  Mar-14*,-5.0,MUKD
8,Prior Period Items,12  Mar-14*,7.0,MUKD
9,Extraordinary Inc (Exp),12  Mar-14*,-126.0,MUKD
10,Tax,12  Mar-14*,-335.0,MUKD
11,Profit after tax,12  Mar-14*,-845.0,MUKD
12,Gross profit margin,12  Mar-14*,3.8,MUKD
13,Effective tax rate,12  Mar-14*,31.7,MUKD
14,Net profit margin,12  Mar-14*,-3.4,MUKD
15,Current assets,12  Mar-14*,28037.0,MUKD
16,Current liabilities,12  Mar-14*,24381.0,MUKD
17,Net working cap to sales,12  Mar-14*,14.5,MUKD
18,Current ratio,12  Mar-14*,1.1,MUKD
19,Inventory Days,12  Mar-14*,183.0,MUKD
20,Debtors Days,12  Mar-14*,135.0,MUKD
21,Net fixed assets,12  Mar-14*,25525.0,MUKD
22,Share capital,12  Mar-14*,1471.0,MUKD
23,"""Free"" reserves",12  Mar-14*,579.0,MUKD
24,Net worth,12  Mar-14*,18734.0,MUKD
25,Long term debt,12  Mar-14*,11616.0,MUKD
26,Total assets,12  Mar-14*,56323.0,MUKD
27,Interest coverage,12  Mar-14*,0.6,MUKD
28,Debt to equity ratio,12  Mar-14*,0.6,MUKD
29,Sales to assets ratio,12  Mar-14*,0.4,MUKD
30,Return on assets,12  Mar-14*,3.0,MUKD
31,Return on equity,12  Mar-14*,-4.5,MUKD
32,Return on capital,12  Mar-14*,4.5,MUKD
33,Exports to sales,12  Mar-14*,4.9,MUKD
34,Imports to sales,12  Mar-14*,20.0,MUKD
35,Exports (fob),12  Mar-14*,1239.0,MUKD
36,Imports (cif),12  Mar-14*,5040.0,MUKD
37,Fx inflow,12  Mar-14*,1245.0,MUKD
38,Fx outflow,12  Mar-14*,5080.0,MUKD
39,Net fx,12  Mar-14*,-3834.0,MUKD
40,From Operations,12  Mar-14*,-588.0,MUKD
41,From Investments,12  Mar-14*,-87.0,MUKD
42,From Financial Activity,12  Mar-14*,775.0,MUKD
43,Net Cashflow,12  Mar-14*,100.0,MUKD
44,Net Sales,12  Mar-15*,30054.0,MUKD
45,Other income,12  Mar-15*,188.0,MUKD
46,Total revenues,12  Mar-15*,30242.0,MUKD
47,Gross profit,12  Mar-15*,3619.0,MUKD
48,Depreciation,12  Mar-15*,765.0,MUKD
49,Interest,12  Mar-15*,2757.0,MUKD
50,Profit before tax,12  Mar-15*,285.0,MUKD
51,Minority Interest,12  Mar-15*,-12.0,MUKD
52,Prior Period Items,12  Mar-15*,6.0,MUKD
53,Extraordinary Inc (Exp),12  Mar-15*,-151.0,MUKD
54,Tax,12  Mar-15*,16.0,MUKD
55,Profit after tax,12  Mar-15*,111.0,MUKD
56,Gross profit margin,12  Mar-15*,12.0,MUKD
57,Effective tax rate,12  Mar-15*,5.7,MUKD
58,Net profit margin,12  Mar-15*,0.4,MUKD
59,Current assets,12  Mar-15*,31012.0,MUKD
60,Current liabilities,12  Mar-15*,22905.0,MUKD
61,Net working cap to sales,12  Mar-15*,27.0,MUKD
62,Current ratio,12  Mar-15*,1.4,MUKD
63,Inventory Days,12  Mar-15*,177.0,MUKD
64,Debtors Days,12  Mar-15*,123.0,MUKD
65,Net fixed assets,12  Mar-15*,24985.0,MUKD
66,Share capital,12  Mar-15*,1471.0,MUKD
67,"""Free"" reserves",12  Mar-15*,661.0,MUKD
68,Net worth,12  Mar-15*,18722.0,MUKD
69,Long term debt,12  Mar-15*,15463.0,MUKD
70,Total assets,12  Mar-15*,58645.0,MUKD
71,Interest coverage,12  Mar-15*,1.1,MUKD
