,No. of Mths  Year Ending,variable,value,name
0,Net Sales,15  Mar-15,20443.0,MYCM
1,Other income,15  Mar-15,138.0,MYCM
2,Total revenues,15  Mar-15,20581.0,MYCM
3,Gross profit,15  Mar-15,3825.0,MYCM
4,Depreciation,15  Mar-15,1375.0,MYCM
5,Interest,15  Mar-15,1389.0,MYCM
6,Profit before tax,15  Mar-15,1198.0,MYCM
7,Minority Interest,15  Mar-15,0.0,MYCM
8,Prior Period Items,15  Mar-15,0.0,MYCM
9,Extraordinary Inc (Exp),15  Mar-15,0.0,MYCM
10,Tax,15  Mar-15,603.0,MYCM
11,Profit after tax,15  Mar-15,595.0,MYCM
12,Gross profit margin,15  Mar-15,18.7,MYCM
13,Effective tax rate,15  Mar-15,50.3,MYCM
14,Net profit margin,15  Mar-15,2.9,MYCM
15,Current assets,15  Mar-15,7030.0,MYCM
16,Current liabilities,15  Mar-15,9344.0,MYCM
17,Net working cap to sales,15  Mar-15,-11.3,MYCM
18,Current ratio,15  Mar-15,0.8,MYCM
19,Inventory Days,15  Mar-15,34.0,MYCM
20,Debtors Days,15  Mar-15,3.0,MYCM
21,Net fixed assets,15  Mar-15,19188.0,MYCM
22,Share capital,15  Mar-15,2266.0,MYCM
23,"""Free"" reserves",15  Mar-15,6403.0,MYCM
24,Net worth,15  Mar-15,8670.0,MYCM
25,Long term debt,15  Mar-15,9249.0,MYCM
26,Total assets,15  Mar-15,27964.0,MYCM
27,Interest coverage,15  Mar-15,1.9,MYCM
28,Debt to equity ratio,15  Mar-15,1.1,MYCM
29,Sales to assets ratio,15  Mar-15,0.7,MYCM
30,Return on assets,15  Mar-15,7.1,MYCM
31,Return on equity,15  Mar-15,6.9,MYCM
32,Return on capital,15  Mar-15,14.4,MYCM
33,Exports to sales,15  Mar-15,0.0,MYCM
34,Imports to sales,15  Mar-15,2.8,MYCM
35,Exports (fob),15  Mar-15,0.0,MYCM
36,Imports (cif),15  Mar-15,581.0,MYCM
37,Fx inflow,15  Mar-15,0.0,MYCM
38,Fx outflow,15  Mar-15,1791.0,MYCM
39,Net fx,15  Mar-15,-1791.0,MYCM
40,From Operations,15  Mar-15,2376.0,MYCM
41,From Investments,15  Mar-15,62.0,MYCM
42,From Financial Activity,15  Mar-15,-2116.0,MYCM
43,Net Cashflow,15  Mar-15,321.0,MYCM
44,Net Sales,12  Mar-16,16484.0,MYCM
45,Other income,12  Mar-16,224.0,MYCM
46,Total revenues,12  Mar-16,16708.0,MYCM
47,Gross profit,12  Mar-16,2312.0,MYCM
48,Depreciation,12  Mar-16,998.0,MYCM
49,Interest,12  Mar-16,1085.0,MYCM
50,Profit before tax,12  Mar-16,454.0,MYCM
51,Minority Interest,12  Mar-16,0.0,MYCM
52,Prior Period Items,12  Mar-16,0.0,MYCM
53,Extraordinary Inc (Exp),12  Mar-16,0.0,MYCM
54,Tax,12  Mar-16,100.0,MYCM
55,Profit after tax,12  Mar-16,354.0,MYCM
56,Gross profit margin,12  Mar-16,14.0,MYCM
57,Effective tax rate,12  Mar-16,22.0,MYCM
58,Net profit margin,12  Mar-16,2.1,MYCM
59,Current assets,12  Mar-16,5617.0,MYCM
60,Current liabilities,12  Mar-16,9722.0,MYCM
