,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,10161.0,NFIR
1,Other income,12  Mar-14*,19.0,NFIR
2,Total revenues,12  Mar-14*,10180.0,NFIR
3,Gross profit,12  Mar-14*,1126.0,NFIR
4,Depreciation,12  Mar-14*,95.0,NFIR
5,Interest,12  Mar-14*,305.0,NFIR
6,Profit before tax,12  Mar-14*,744.0,NFIR
7,Minority Interest,12  Mar-14*,0.0,NFIR
8,Prior Period Items,12  Mar-14*,0.0,NFIR
9,Extraordinary Inc (Exp),12  Mar-14*,-49.0,NFIR
10,Tax,12  Mar-14*,30.0,NFIR
11,Profit after tax,12  Mar-14*,665.0,NFIR
12,Gross profit margin,12  Mar-14*,11.1,NFIR
13,Effective tax rate,12  Mar-14*,4.1,NFIR
14,Net profit margin,12  Mar-14*,6.5,NFIR
15,Current assets,12  Mar-14*,6556.0,NFIR
16,Current liabilities,12  Mar-14*,5033.0,NFIR
17,Net working cap to sales,12  Mar-14*,15.0,NFIR
18,Current ratio,12  Mar-14*,1.3,NFIR
19,Inventory Days,12  Mar-14*,64.0,NFIR
20,Debtors Days,12  Mar-14*,108.0,NFIR
21,Net fixed assets,12  Mar-14*,1994.0,NFIR
22,Share capital,12  Mar-14*,438.0,NFIR
23,"""Free"" reserves",12  Mar-14*,3228.0,NFIR
24,Net worth,12  Mar-14*,3711.0,NFIR
25,Long term debt,12  Mar-14*,0.0,NFIR
26,Total assets,12  Mar-14*,8761.0,NFIR
27,Interest coverage,12  Mar-14*,3.4,NFIR
28,Debt to equity ratio,12  Mar-14*,0.0,NFIR
29,Sales to assets ratio,12  Mar-14*,1.2,NFIR
30,Return on assets,12  Mar-14*,11.1,NFIR
31,Return on equity,12  Mar-14*,17.9,NFIR
32,Return on capital,12  Mar-14*,27.0,NFIR
33,Exports to sales,12  Mar-14*,32.4,NFIR
34,Imports to sales,12  Mar-14*,32.6,NFIR
35,Exports (fob),12  Mar-14*,3293.0,NFIR
36,Imports (cif),12  Mar-14*,3316.0,NFIR
37,Fx inflow,12  Mar-14*,3293.0,NFIR
