,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-10,845.0,OMDCL
1,Other income,12  Mar-10,714.0,OMDCL
2,Total revenues,12  Mar-10,1559.0,OMDCL
3,Gross profit,12  Mar-10,434.0,OMDCL
4,Depreciation,12  Mar-10,25.0,OMDCL
5,Interest,12  Mar-10,0.0,OMDCL
6,Profit before tax,12  Mar-10,1123.0,OMDCL
7,Minority Interest,12  Mar-10,0.0,OMDCL
8,Prior Period Items,12  Mar-10,0.0,OMDCL
9,Extraordinary Inc (Exp),12  Mar-10,0.0,OMDCL
10,Tax,12  Mar-10,378.0,OMDCL
11,Profit after tax,12  Mar-10,745.0,OMDCL
12,Gross profit margin,12  Mar-10,51.4,OMDCL
13,Effective tax rate,12  Mar-10,33.7,OMDCL
14,Net profit margin,12  Mar-10,88.2,OMDCL
15,Current assets,12  Mar-10,10613,OMDCL
16,Current liabilities,12  Mar-10,2994,OMDCL
17,Net working cap to sales,12  Mar-10,901.7,OMDCL
18,Current ratio,12  Mar-10,3.5,OMDCL
19,Inventory Days,12  Mar-10,119,OMDCL
20,Debtors Days,12  Mar-10,8,OMDCL
21,Net fixed assets,12  Mar-10,225,OMDCL
22,Share capital,12  Mar-10,6,OMDCL
23,"""Free"" reserves",12  Mar-10,7917,OMDCL
24,Net worth,12  Mar-10,7932,OMDCL
25,Long term debt,12  Mar-10,0,OMDCL
26,Total assets,12  Mar-10,10919,OMDCL
27,Interest coverage,12  Mar-10,NM,OMDCL
28,Debt to equity ratio,12  Mar-10,0,OMDCL
29,Sales to assets ratio,12  Mar-10,0.1,OMDCL
30,Return on assets,12  Mar-10,6.8,OMDCL
31,Return on equity,12  Mar-10,9.4,OMDCL
32,Return on capital,12  Mar-10,14.2,OMDCL
33,Exports to sales,12  Mar-10,0,OMDCL
34,Imports to sales,12  Mar-10,0,OMDCL
35,Exports (fob),12  Mar-10,0,OMDCL
36,Imports (cif),12  Mar-10,0,OMDCL
37,Fx inflow,12  Mar-10,0,OMDCL
38,Fx outflow,12  Mar-10,0,OMDCL
39,Net fx,12  Mar-10,0,OMDCL
40,From Operations,12  Mar-10,-58,OMDCL
41,From Investments,12  Mar-10,767,OMDCL
42,From Financial Activity,12  Mar-10,-318,OMDCL
43,Net Cashflow,12  Mar-10,391,OMDCL
44,Net Sales,12  Mar-11,498.0,OMDCL
45,Other income,12  Mar-11,494.0,OMDCL
46,Total revenues,12  Mar-11,992.0,OMDCL
47,Gross profit,12  Mar-11,-117.0,OMDCL
48,Depreciation,12  Mar-11,215.0,OMDCL
49,Interest,12  Mar-11,0.0,OMDCL
50,Profit before tax,12  Mar-11,162.0,OMDCL
51,Minority Interest,12  Mar-11,0.0,OMDCL
52,Prior Period Items,12  Mar-11,-22.0,OMDCL
53,Extraordinary Inc (Exp),12  Mar-11,-29.0,OMDCL
54,Tax,12  Mar-11,35.0,OMDCL
55,Profit after tax,12  Mar-11,77.0,OMDCL
56,Gross profit margin,12  Mar-11,-23.4,OMDCL
57,Effective tax rate,12  Mar-11,21.4,OMDCL
58,Net profit margin,12  Mar-11,15.5,OMDCL
59,Current assets,12  Mar-11,8326,OMDCL
60,Current liabilities,12  Mar-11,1261,OMDCL
61,Net working cap to sales,12  Mar-11,1419.4,OMDCL
62,Current ratio,12  Mar-11,6.6,OMDCL
63,Inventory Days,12  Mar-11,204,OMDCL
64,Debtors Days,12  Mar-11,12,OMDCL
65,Net fixed assets,12  Mar-11,854,OMDCL
66,Share capital,12  Mar-11,6,OMDCL
67,"""Free"" reserves",12  Mar-11,7980,OMDCL
68,Net worth,12  Mar-11,7995,OMDCL
69,Long term debt,12  Mar-11,0,OMDCL
70,Total assets,12  Mar-11,9268,OMDCL
71,Interest coverage,12  Mar-11,NM,OMDCL
72,Debt to equity ratio,12  Mar-11,0,OMDCL
73,Sales to assets ratio,12  Mar-11,0.1,OMDCL
74,Return on assets,12  Mar-11,0.8,OMDCL
