,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,7625.0,PARS
1,Other income,12  Mar-15*,173.0,PARS
2,Total revenues,12  Mar-15*,7799.0,PARS
3,Gross profit,12  Mar-15*,3247.0,PARS
4,Depreciation,12  Mar-15*,54.0,PARS
5,Interest,12  Mar-15*,1799.0,PARS
6,Profit before tax,12  Mar-15*,1567.0,PARS
7,Minority Interest,12  Mar-15*,0.0,PARS
8,Prior Period Items,12  Mar-15*,50.0,PARS
9,Extraordinary Inc (Exp),12  Mar-15*,-4697.0,PARS
10,Tax,12  Mar-15*,-2004.0,PARS
11,Profit after tax,12  Mar-15*,-1077.0,PARS
12,Gross profit margin,12  Mar-15*,42.6,PARS
13,Effective tax rate,12  Mar-15*,-127.9,PARS
14,Net profit margin,12  Mar-15*,-14.1,PARS
15,Current assets,12  Mar-15*,54830.0,PARS
16,Current liabilities,12  Mar-15*,20760.0,PARS
17,Net working cap to sales,12  Mar-15*,446.8,PARS
18,Current ratio,12  Mar-15*,2.6,PARS
19,Inventory Days,12  Mar-15*,12776.0,PARS
20,Debtors Days,12  Mar-15*,317.0,PARS
21,Net fixed assets,12  Mar-15*,10945.0,PARS
22,Share capital,12  Mar-15*,2176.0,PARS
23,"""Free"" reserves",12  Mar-15*,24150.0,PARS
24,Net worth,12  Mar-15*,26713.0,PARS
25,Long term debt,12  Mar-15*,23514.0,PARS
26,Total assets,12  Mar-15*,72939.0,PARS
27,Interest coverage,12  Mar-15*,1.9,PARS
28,Debt to equity ratio,12  Mar-15*,0.9,PARS
29,Sales to assets ratio,12  Mar-15*,0.1,PARS
30,Return on assets,12  Mar-15*,1.0,PARS
31,Return on equity,12  Mar-15*,-4.0,PARS
32,Return on capital,12  Mar-15*,-2.5,PARS
33,Exports to sales,12  Mar-15*,0.0,PARS
34,Imports to sales,12  Mar-15*,0.0,PARS
35,Exports (fob),12  Mar-15*,0.0,PARS
36,Imports (cif),12  Mar-15*,0.0,PARS
37,Fx inflow,12  Mar-15*,0.0,PARS
38,Fx outflow,12  Mar-15*,18.0,PARS
39,Net fx,12  Mar-15*,-18.0,PARS
40,From Operations,12  Mar-15*,5622.0,PARS
41,From Investments,12  Mar-15*,-67.0,PARS
42,From Financial Activity,12  Mar-15*,-4627.0,PARS
43,Net Cashflow,12  Mar-15*,928.0,PARS
44,Net Sales,12  Mar-16*,3962.0,PARS
45,Other income,12  Mar-16*,311.0,PARS
46,Total revenues,12  Mar-16*,4273.0,PARS
47,Gross profit,12  Mar-16*,892.0,PARS
48,Depreciation,12  Mar-16*,289.0,PARS
49,Interest,12  Mar-16*,1794.0,PARS
50,Profit before tax,12  Mar-16*,-880.0,PARS
51,Minority Interest,12  Mar-16*,0.0,PARS
52,Prior Period Items,12  Mar-16*,128.0,PARS
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,PARS
54,Tax,12  Mar-16*,-397.0,PARS
55,Profit after tax,12  Mar-16*,-356.0,PARS
56,Gross profit margin,12  Mar-16*,22.5,PARS
57,Effective tax rate,12  Mar-16*,45.1,PARS
58,Net profit margin,12  Mar-16*,-9.0,PARS
59,Current assets,12  Mar-16*,42293.0,PARS
60,Current liabilities,12  Mar-16*,19595.0,PARS
61,Net working cap to sales,12  Mar-16*,572.9,PARS
62,Current ratio,12  Mar-16*,2.2,PARS
63,Inventory Days,12  Mar-16*,2487.0,PARS
64,Debtors Days,12  Mar-16*,619.0,PARS
65,Net fixed assets,12  Mar-16*,11288.0,PARS
66,Share capital,12  Mar-16*,2176.0,PARS
67,"""Free"" reserves",12  Mar-16*,23794.0,PARS
68,Net worth,12  Mar-16*,26361.0,PARS
69,Long term debt,12  Mar-16*,26122.0,PARS
70,Total assets,12  Mar-16*,73941.0,PARS
71,Interest coverage,12  Mar-16*,0.5,PARS
72,Debt to equity ratio,12  Mar-16*,1.0,PARS
73,Sales to assets ratio,12  Mar-16*,0.1,PARS
74,Return on assets,12  Mar-16*,1.9,PARS
75,Return on equity,12  Mar-16*,-1.3,PARS
76,Return on capital,12  Mar-16*,2.0,PARS
77,Exports to sales,12  Mar-16*,0.0,PARS
78,Imports to sales,12  Mar-16*,0.0,PARS
79,Exports (fob),12  Mar-16*,0.0,PARS
80,Imports (cif),12  Mar-16*,0.0,PARS
81,Fx inflow,12  Mar-16*,0.0,PARS
82,Fx outflow,12  Mar-16*,2.0,PARS
83,Net fx,12  Mar-16*,-2.0,PARS
84,From Operations,12  Mar-16*,-428.0,PARS
85,From Investments,12  Mar-16*,-551.0,PARS
86,From Financial Activity,12  Mar-16*,-532.0,PARS
87,Net Cashflow,12  Mar-16*,-1511.0,PARS
88,Net Sales,12  Mar-17*,2789.0,PARS
