,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,63613.0,PCJL
1,Other income,12  Mar-15*,592.0,PCJL
2,Total revenues,12  Mar-15*,64205.0,PCJL
3,Gross profit,12  Mar-15*,7232.0,PCJL
4,Depreciation,12  Mar-15*,230.0,PCJL
5,Interest,12  Mar-15*,2199.0,PCJL
6,Profit before tax,12  Mar-15*,5395.0,PCJL
7,Minority Interest,12  Mar-15*,0.0,PCJL
8,Prior Period Items,12  Mar-15*,0.0,PCJL
9,Extraordinary Inc (Exp),12  Mar-15*,14.0,PCJL
10,Tax,12  Mar-15*,1625.0,PCJL
11,Profit after tax,12  Mar-15*,3784.0,PCJL
12,Gross profit margin,12  Mar-15*,11.4,PCJL
13,Effective tax rate,12  Mar-15*,30.1,PCJL
14,Net profit margin,12  Mar-15*,5.9,PCJL
15,Current assets,12  Mar-15*,45478.0,PCJL
16,Current liabilities,12  Mar-15*,26428.0,PCJL
17,Net working cap to sales,12  Mar-15*,29.9,PCJL
18,Current ratio,12  Mar-15*,1.7,PCJL
19,Inventory Days,12  Mar-15*,185.0,PCJL
20,Debtors Days,12  Mar-15*,45.0,PCJL
21,Net fixed assets,12  Mar-15*,896.0,PCJL
22,Share capital,12  Mar-15*,1791.0,PCJL
23,"""Free"" reserves",12  Mar-15*,18925.0,PCJL
24,Net worth,12  Mar-15*,20716.0,PCJL
25,Long term debt,12  Mar-15*,4.0,PCJL
26,Total assets,12  Mar-15*,47176.0,PCJL
27,Interest coverage,12  Mar-15*,3.5,PCJL
28,Debt to equity ratio,12  Mar-15*,0.0,PCJL
29,Sales to assets ratio,12  Mar-15*,1.3,PCJL
30,Return on assets,12  Mar-15*,12.7,PCJL
31,Return on equity,12  Mar-15*,18.3,PCJL
32,Return on capital,12  Mar-15*,36.7,PCJL
33,Exports to sales,12  Mar-15*,28.5,PCJL
34,Imports to sales,12  Mar-15*,17.3,PCJL
35,Exports (fob),12  Mar-15*,18098.0,PCJL
36,Imports (cif),12  Mar-15*,10973.0,PCJL
37,Fx inflow,12  Mar-15*,18110.0,PCJL
38,Fx outflow,12  Mar-15*,10980.0,PCJL
39,Net fx,12  Mar-15*,7130.0,PCJL
40,From Operations,12  Mar-15*,3327.0,PCJL
41,From Investments,12  Mar-15*,2131.0,PCJL
42,From Financial Activity,12  Mar-15*,-5648.0,PCJL
43,Net Cashflow,12  Mar-15*,-190.0,PCJL
44,Net Sales,12  Mar-16*,73032.0,PCJL
45,Other income,12  Mar-16*,499.0,PCJL
46,Total revenues,12  Mar-16*,73532.0,PCJL
47,Gross profit,12  Mar-16*,7521.0,PCJL
48,Depreciation,12  Mar-16*,227.0,PCJL
49,Interest,12  Mar-16*,2450.0,PCJL
50,Profit before tax,12  Mar-16*,5344.0,PCJL
51,Minority Interest,12  Mar-16*,0.0,PCJL
52,Prior Period Items,12  Mar-16*,0.0,PCJL
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,PCJL
54,Tax,12  Mar-16*,1362.0,PCJL
55,Profit after tax,12  Mar-16*,3982.0,PCJL
56,Gross profit margin,12  Mar-16*,10.3,PCJL
57,Effective tax rate,12  Mar-16*,25.5,PCJL
58,Net profit margin,12  Mar-16*,5.5,PCJL
59,Current assets,12  Mar-16*,55843.0,PCJL
60,Current liabilities,12  Mar-16*,32792.0,PCJL
61,Net working cap to sales,12  Mar-16*,31.6,PCJL
62,Current ratio,12  Mar-16*,1.7,PCJL
63,Inventory Days,12  Mar-16*,193.0,PCJL
64,Debtors Days,12  Mar-16*,49.0,PCJL
65,Net fixed assets,12  Mar-16*,912.0,PCJL
66,Share capital,12  Mar-16*,1791.0,PCJL
67,"""Free"" reserves",12  Mar-16*,22300.0,PCJL
68,Net worth,12  Mar-16*,24091.0,PCJL
69,Long term debt,12  Mar-16*,582.0,PCJL
70,Total assets,12  Mar-16*,57509.0,PCJL
71,Interest coverage,12  Mar-16*,3.2,PCJL
72,Debt to equity ratio,12  Mar-16*,0.0,PCJL
73,Sales to assets ratio,12  Mar-16*,1.3,PCJL
74,Return on assets,12  Mar-16*,11.2,PCJL
75,Return on equity,12  Mar-16*,16.5,PCJL
76,Return on capital,12  Mar-16*,31.6,PCJL
77,Exports to sales,12  Mar-16*,28.7,PCJL
78,Imports to sales,12  Mar-16*,26.8,PCJL
79,Exports (fob),12  Mar-16*,20929.0,PCJL
80,Imports (cif),12  Mar-16*,19570.0,PCJL
81,Fx inflow,12  Mar-16*,20940.0,PCJL
82,Fx outflow,12  Mar-16*,19598.0,PCJL
83,Net fx,12  Mar-16*,1342.0,PCJL
84,From Operations,12  Mar-16*,160.0,PCJL
85,From Investments,12  Mar-16*,-250.0,PCJL
86,From Financial Activity,12  Mar-16*,163.0,PCJL
87,Net Cashflow,12  Mar-16*,73.0,PCJL
88,Net Sales,12  Mar-17*,84744.0,PCJL
89,Other income,12  Mar-17*,973.0,PCJL
90,Total revenues,12  Mar-17*,85717.0,PCJL
91,Gross profit,12  Mar-17*,7579.0,PCJL
92,Depreciation,12  Mar-17*,225.0,PCJL
93,Interest,12  Mar-17*,2786.0,PCJL
94,Profit before tax,12  Mar-17*,5542.0,PCJL
95,Minority Interest,12  Mar-17*,0.0,PCJL
96,Prior Period Items,12  Mar-17*,0.0,PCJL
97,Extraordinary Inc (Exp),12  Mar-17*,0.0,PCJL
98,Tax,12  Mar-17*,1331.0,PCJL
99,Profit after tax,12  Mar-17*,4210.0,PCJL
100,Gross profit margin,12  Mar-17*,8.9,PCJL
101,Effective tax rate,12  Mar-17*,24.0,PCJL
102,Net profit margin,12  Mar-17*,5.0,PCJL
103,Current assets,12  Mar-17*,72012.0,PCJL
104,Current liabilities,12  Mar-17*,39808.0,PCJL
105,Net working cap to sales,12  Mar-17*,38.0,PCJL
106,Current ratio,12  Mar-17*,1.8,PCJL
107,Inventory Days,12  Mar-17*,180.0,PCJL
108,Debtors Days,12  Mar-17*,66.0,PCJL
109,Net fixed assets,12  Mar-17*,882.0,PCJL
110,Share capital,12  Mar-17*,1791.0,PCJL
111,"""Free"" reserves",12  Mar-17*,31728.0,PCJL
112,Net worth,12  Mar-17*,33519.0,PCJL
113,Long term debt,12  Mar-17*,577.0,PCJL
114,Total assets,12  Mar-17*,73966.0,PCJL
115,Interest coverage,12  Mar-17*,3.0,PCJL
116,Debt to equity ratio,12  Mar-17*,0.0,PCJL
117,Sales to assets ratio,12  Mar-17*,1.1,PCJL
118,Return on assets,12  Mar-17*,9.5,PCJL
119,Return on equity,12  Mar-17*,12.6,PCJL
120,Return on capital,12  Mar-17*,24.4,PCJL
121,Exports to sales,12  Mar-17*,0.0,PCJL
122,Imports to sales,12  Mar-17*,0.0,PCJL
123,Exports (fob),12  Mar-17*,0.0,PCJL
124,Imports (cif),12  Mar-17*,0.0,PCJL
125,Fx inflow,12  Mar-17*,27671.0,PCJL
126,Fx outflow,12  Mar-17*,19.0,PCJL
127,Net fx,12  Mar-17*,27652.0,PCJL
128,From Operations,12  Mar-17*,7944.0,PCJL
129,From Investments,12  Mar-17*,-5301.0,PCJL
