,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,4526.0,PRMC
1,Other income,12  Mar-15*,21.0,PRMC
2,Total revenues,12  Mar-15*,4547.0,PRMC
3,Gross profit,12  Mar-15*,-349.0,PRMC
4,Depreciation,12  Mar-15*,93.0,PRMC
5,Interest,12  Mar-15*,610.0,PRMC
6,Profit before tax,12  Mar-15*,-1031.0,PRMC
7,Minority Interest,12  Mar-15*,0.0,PRMC
8,Prior Period Items,12  Mar-15*,0.0,PRMC
9,Extraordinary Inc (Exp),12  Mar-15*,22.0,PRMC
10,Tax,12  Mar-15*,0.0,PRMC
11,Profit after tax,12  Mar-15*,-1010.0,PRMC
12,Gross profit margin,12  Mar-15*,-7.7,PRMC
13,Effective tax rate,12  Mar-15*,0.0,PRMC
14,Net profit margin,12  Mar-15*,-22.3,PRMC
15,Current assets,12  Mar-15*,2710.0,PRMC
16,Current liabilities,12  Mar-15*,4504.0,PRMC
17,Net working cap to sales,12  Mar-15*,-39.6,PRMC
18,Current ratio,12  Mar-15*,0.6,PRMC
19,Inventory Days,12  Mar-15*,61.0,PRMC
20,Debtors Days,12  Mar-15*,127.0,PRMC
21,Net fixed assets,12  Mar-15*,810.0,PRMC
22,Share capital,12  Mar-15*,327.0,PRMC
23,"""Free"" reserves",12  Mar-15*,-2471.0,PRMC
24,Net worth,12  Mar-15*,-2132.0,PRMC
25,Long term debt,12  Mar-15*,1160.0,PRMC
26,Total assets,12  Mar-15*,3550.0,PRMC
27,Interest coverage,12  Mar-15*,-0.7,PRMC
28,Debt to equity ratio,12  Mar-15*,-0.5,PRMC
29,Sales to assets ratio,12  Mar-15*,1.3,PRMC
30,Return on assets,12  Mar-15*,-11.3,PRMC
31,Return on equity,12  Mar-15*,47.4,PRMC
32,Return on capital,12  Mar-15*,41.1,PRMC
33,Exports to sales,12  Mar-15*,3.4,PRMC
34,Imports to sales,12  Mar-15*,12.7,PRMC
35,Exports (fob),12  Mar-15*,155.0,PRMC
36,Imports (cif),12  Mar-15*,574.0,PRMC
37,Fx inflow,12  Mar-15*,155.0,PRMC
38,Fx outflow,12  Mar-15*,604.0,PRMC
39,Net fx,12  Mar-15*,-449.0,PRMC
40,From Operations,12  Mar-15*,142.0,PRMC
41,From Investments,12  Mar-15*,-23.0,PRMC
42,From Financial Activity,12  Mar-15*,-69.0,PRMC
43,Net Cashflow,12  Mar-15*,49.0,PRMC
44,Net Sales,12  Mar-16*,3094.0,PRMC
45,Other income,12  Mar-16*,24.0,PRMC
46,Total revenues,12  Mar-16*,3118.0,PRMC
47,Gross profit,12  Mar-16*,-440.0,PRMC
48,Depreciation,12  Mar-16*,86.0,PRMC
49,Interest,12  Mar-16*,738.0,PRMC
50,Profit before tax,12  Mar-16*,-1239.0,PRMC
51,Minority Interest,12  Mar-16*,0.0,PRMC
52,Prior Period Items,12  Mar-16*,0.0,PRMC
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,PRMC
54,Tax,12  Mar-16*,0.0,PRMC
55,Profit after tax,12  Mar-16*,-1239.0,PRMC
56,Gross profit margin,12  Mar-16*,-14.2,PRMC
57,Effective tax rate,12  Mar-16*,0.0,PRMC
58,Net profit margin,12  Mar-16*,-40.0,PRMC
59,Current assets,12  Mar-16*,2214.0,PRMC
60,Current liabilities,12  Mar-16*,2273.0,PRMC
61,Net working cap to sales,12  Mar-16*,-1.9,PRMC
62,Current ratio,12  Mar-16*,1.0,PRMC
63,Inventory Days,12  Mar-16*,64.0,PRMC
64,Debtors Days,12  Mar-16*,158.0,PRMC
65,Net fixed assets,12  Mar-16*,1466.0,PRMC
66,Share capital,12  Mar-16*,251.0,PRMC
67,"""Free"" reserves",12  Mar-16*,-3692.0,PRMC
68,Net worth,12  Mar-16*,-3430.0,PRMC
