,No. of Mths  Year Ending,variable,value,name
0,Net Sales,18  Sep-13*,31886.0,PSLH
1,Other income,18  Sep-13*,196.0,PSLH
2,Total revenues,18  Sep-13*,32082.0,PSLH
3,Gross profit,18  Sep-13*,-116.0,PSLH
4,Depreciation,18  Sep-13*,2533.0,PSLH
5,Interest,18  Sep-13*,3958.0,PSLH
6,Profit before tax,18  Sep-13*,-6410.0,PSLH
7,Minority Interest,18  Sep-13*,0.0,PSLH
8,Prior Period Items,18  Sep-13*,0.0,PSLH
9,Extraordinary Inc (Exp),18  Sep-13*,0.0,PSLH
10,Tax,18  Sep-13*,189.0,PSLH
11,Profit after tax,18  Sep-13*,-6599.0,PSLH
12,Gross profit margin,18  Sep-13*,-0.4,PSLH
13,Effective tax rate,18  Sep-13*,-2.9,PSLH
14,Net profit margin,18  Sep-13*,-20.7,PSLH
15,Current assets,18  Sep-13*,27334.0,PSLH
16,Current liabilities,18  Sep-13*,17304.0,PSLH
17,Net working cap to sales,18  Sep-13*,31.5,PSLH
18,Current ratio,18  Sep-13*,1.6,PSLH
19,Inventory Days,18  Sep-13*,212.0,PSLH
20,Debtors Days,18  Sep-13*,63.0,PSLH
21,Net fixed assets,18  Sep-13*,29792.0,PSLH
22,Share capital,18  Sep-13*,533.0,PSLH
23,"""Free"" reserves",18  Sep-13*,-2609.0,PSLH
24,Net worth,18  Sep-13*,4042.0,PSLH
25,Long term debt,18  Sep-13*,41591.0,PSLH
26,Total assets,18  Sep-13*,63229.0,PSLH
27,Interest coverage,18  Sep-13*,-0.6,PSLH
28,Debt to equity ratio,18  Sep-13*,10.3,PSLH
29,Sales to assets ratio,18  Sep-13*,0.5,PSLH
30,Return on assets,18  Sep-13*,-4.2,PSLH
31,Return on equity,18  Sep-13*,-163.3,PSLH
32,Return on capital,18  Sep-13*,-5.4,PSLH
33,Exports to sales,18  Sep-13*,10.3,PSLH
34,Imports to sales,18  Sep-13*,9.0,PSLH
35,Exports (fob),18  Sep-13*,3295.0,PSLH
36,Imports (cif),18  Sep-13*,2862.0,PSLH
37,Fx inflow,18  Sep-13*,3295.0,PSLH
38,Fx outflow,18  Sep-13*,2878.0,PSLH
39,Net fx,18  Sep-13*,417.0,PSLH
40,From Operations,18  Sep-13*,-9058.0,PSLH
41,From Investments,18  Sep-13*,-6568.0,PSLH
42,From Financial Activity,18  Sep-13*,13566.0,PSLH
