,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,0,PSPR
1,Other income,12  Mar-15*,0,PSPR
2,Total revenues,12  Mar-15*,0,PSPR
3,Gross profit,12  Mar-15*,0,PSPR
4,Depreciation,12  Mar-15*,0,PSPR
5,Interest,12  Mar-15*,0,PSPR
6,Profit before tax,12  Mar-15*,0,PSPR
7,Minority Interest,12  Mar-15*,0,PSPR
8,Prior Period Items,12  Mar-15*,0,PSPR
9,Extraordinary Inc (Exp),12  Mar-15*,0,PSPR
10,Tax,12  Mar-15*,0,PSPR
11,Profit after tax,12  Mar-15*,0,PSPR
12,Gross profit margin,12  Mar-15*,NM,PSPR
13,Effective tax rate,12  Mar-15*,NM,PSPR
14,Net profit margin,12  Mar-15*,NM,PSPR
15,Current assets,12  Mar-15*,0,PSPR
16,Current liabilities,12  Mar-15*,0,PSPR
17,Net working cap to sales,12  Mar-15*,NM,PSPR
18,Current ratio,12  Mar-15*,NM,PSPR
19,Inventory Days,12  Mar-15*,NM,PSPR
20,Debtors Days,12  Mar-15*,NM,PSPR
21,Net fixed assets,12  Mar-15*,0,PSPR
22,Share capital,12  Mar-15*,0,PSPR
23,"""Free"" reserves",12  Mar-15*,0,PSPR
24,Net worth,12  Mar-15*,0,PSPR
25,Long term debt,12  Mar-15*,0,PSPR
26,Total assets,12  Mar-15*,0,PSPR
27,Interest coverage,12  Mar-15*,NM,PSPR
28,Debt to equity ratio,12  Mar-15*,NM,PSPR
29,Sales to assets ratio,12  Mar-15*,NM,PSPR
30,Return on assets,12  Mar-15*,NM,PSPR
31,Return on equity,12  Mar-15*,NM,PSPR
32,Return on capital,12  Mar-15*,NM,PSPR
33,Exports to sales,12  Mar-15*,NM,PSPR
34,Imports to sales,12  Mar-15*,NM,PSPR
35,Exports (fob),12  Mar-15*,0,PSPR
36,Imports (cif),12  Mar-15*,0,PSPR
37,Fx inflow,12  Mar-15*,0,PSPR
38,Fx outflow,12  Mar-15*,0,PSPR
39,Net fx,12  Mar-15*,0,PSPR
40,From Operations,12  Mar-15*,0,PSPR
