,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15,825.0,RAJTV
1,Other income,12  Mar-15,14.0,RAJTV
2,Total revenues,12  Mar-15,839.0,RAJTV
3,Gross profit,12  Mar-15,244.0,RAJTV
4,Depreciation,12  Mar-15,63.0,RAJTV
5,Interest,12  Mar-15,65.0,RAJTV
6,Profit before tax,12  Mar-15,130.0,RAJTV
7,Minority Interest,12  Mar-15,0.0,RAJTV
8,Prior Period Items,12  Mar-15,0.0,RAJTV
9,Extraordinary Inc (Exp),12  Mar-15,0.0,RAJTV
10,Tax,12  Mar-15,48.0,RAJTV
11,Profit after tax,12  Mar-15,82.0,RAJTV
12,Gross profit margin,12  Mar-15,29.6,RAJTV
13,Effective tax rate,12  Mar-15,37.1,RAJTV
14,Net profit margin,12  Mar-15,9.9,RAJTV
15,Current assets,12  Mar-15,761.0,RAJTV
16,Current liabilities,12  Mar-15,344.0,RAJTV
17,Net working cap to sales,12  Mar-15,50.5,RAJTV
18,Current ratio,12  Mar-15,2.2,RAJTV
19,Inventory Days,12  Mar-15,49.0,RAJTV
20,Debtors Days,12  Mar-15,275.0,RAJTV
21,Net fixed assets,12  Mar-15,1027.0,RAJTV
22,Share capital,12  Mar-15,260.0,RAJTV
23,"""Free"" reserves",12  Mar-15,1293.0,RAJTV
24,Net worth,12  Mar-15,1553.0,RAJTV
25,Long term debt,12  Mar-15,14.0,RAJTV
26,Total assets,12  Mar-15,2002.0,RAJTV
27,Interest coverage,12  Mar-15,3.0,RAJTV
28,Debt to equity ratio,12  Mar-15,0.0,RAJTV
29,Sales to assets ratio,12  Mar-15,0.4,RAJTV
30,Return on assets,12  Mar-15,7.3,RAJTV
31,Return on equity,12  Mar-15,5.3,RAJTV
32,Return on capital,12  Mar-15,12.4,RAJTV
33,Exports to sales,12  Mar-15,0.0,RAJTV
34,Imports to sales,12  Mar-15,0.0,RAJTV
35,Exports (fob),12  Mar-15,0.0,RAJTV
36,Imports (cif),12  Mar-15,0.0,RAJTV
37,Fx inflow,12  Mar-15,51.0,RAJTV
38,Fx outflow,12  Mar-15,86.0,RAJTV
39,Net fx,12  Mar-15,-35.0,RAJTV
40,From Operations,12  Mar-15,154.0,RAJTV
41,From Investments,12  Mar-15,-6.0,RAJTV
42,From Financial Activity,12  Mar-15,-197.0,RAJTV
43,Net Cashflow,12  Mar-15,-49.0,RAJTV
44,Net Sales,12  Mar-16,825.0,RAJTV
45,Other income,12  Mar-16,5.0,RAJTV
46,Total revenues,12  Mar-16,829.0,RAJTV
47,Gross profit,12  Mar-16,52.0,RAJTV
48,Depreciation,12  Mar-16,65.0,RAJTV
49,Interest,12  Mar-16,45.0,RAJTV
50,Profit before tax,12  Mar-16,-54.0,RAJTV
51,Minority Interest,12  Mar-16,0.0,RAJTV
52,Prior Period Items,12  Mar-16,0.0,RAJTV
53,Extraordinary Inc (Exp),12  Mar-16,0.0,RAJTV
54,Tax,12  Mar-16,7.0,RAJTV
55,Profit after tax,12  Mar-16,-60.0,RAJTV
56,Gross profit margin,12  Mar-16,6.4,RAJTV
57,Effective tax rate,12  Mar-16,-12.8,RAJTV
58,Net profit margin,12  Mar-16,-7.3,RAJTV
59,Current assets,12  Mar-16,821.0,RAJTV
60,Current liabilities,12  Mar-16,428.0,RAJTV
61,Net working cap to sales,12  Mar-16,47.6,RAJTV
62,Current ratio,12  Mar-16,1.9,RAJTV
63,Inventory Days,12  Mar-16,48.0,RAJTV
64,Debtors Days,12  Mar-16,213.0,RAJTV
65,Net fixed assets,12  Mar-16,986.0,RAJTV
66,Share capital,12  Mar-16,260.0,RAJTV
67,"""Free"" reserves",12  Mar-16,1217.0,RAJTV
68,Net worth,12  Mar-16,1477.0,RAJTV
69,Long term debt,12  Mar-16,32.0,RAJTV
70,Total assets,12  Mar-16,1923.0,RAJTV
71,Interest coverage,12  Mar-16,-0.2,RAJTV
72,Debt to equity ratio,12  Mar-16,0.0,RAJTV
73,Sales to assets ratio,12  Mar-16,0.4,RAJTV
74,Return on assets,12  Mar-16,-0.8,RAJTV
75,Return on equity,12  Mar-16,-4.1,RAJTV
76,Return on capital,12  Mar-16,-0.6,RAJTV
77,Exports to sales,12  Mar-16,0.0,RAJTV
78,Imports to sales,12  Mar-16,0.0,RAJTV
79,Exports (fob),12  Mar-16,0.0,RAJTV
80,Imports (cif),12  Mar-16,0.0,RAJTV
81,Fx inflow,12  Mar-16,70.0,RAJTV
82,Fx outflow,12  Mar-16,66.0,RAJTV
83,Net fx,12  Mar-16,4.0,RAJTV
84,From Operations,12  Mar-16,45.0,RAJTV
85,From Investments,12  Mar-16,-24.0,RAJTV
86,From Financial Activity,12  Mar-16,0.0,RAJTV
87,Net Cashflow,12  Mar-16,21.0,RAJTV
88,Net Sales,12  Mar-17,612.0,RAJTV
89,Other income,12  Mar-17,9.0,RAJTV
90,Total revenues,12  Mar-17,621.0,RAJTV
91,Gross profit,12  Mar-17,76.0,RAJTV
92,Depreciation,12  Mar-17,66.0,RAJTV
93,Interest,12  Mar-17,48.0,RAJTV
94,Profit before tax,12  Mar-17,-31.0,RAJTV
95,Minority Interest,12  Mar-17,0.0,RAJTV
96,Prior Period Items,12  Mar-17,0.0,RAJTV
97,Extraordinary Inc (Exp),12  Mar-17,0.0,RAJTV
98,Tax,12  Mar-17,17.0,RAJTV
99,Profit after tax,12  Mar-17,-48.0,RAJTV
100,Gross profit margin,12  Mar-17,12.3,RAJTV
101,Effective tax rate,12  Mar-17,-57.0,RAJTV
102,Net profit margin,12  Mar-17,-7.8,RAJTV
103,Current assets,12  Mar-17,485.0,RAJTV
104,Current liabilities,12  Mar-17,178.0,RAJTV
105,Net working cap to sales,12  Mar-17,50.2,RAJTV
106,Current ratio,12  Mar-17,2.7,RAJTV
107,Inventory Days,12  Mar-17,19.0,RAJTV
108,Debtors Days,12  Mar-17,257.0,RAJTV
