,No. of Mths  Year Ending,variable,value,name
0,Interest income,12  Mar-14*,171222.0,REC
1,Other income,12  Mar-14*,1067.0,REC
2,Interest expense,12  Mar-14*,100347.0,REC
3,Net interest income,12  Mar-14*,70875.0,REC
4,Operating expense,12  Mar-14*,2604.0,REC
5,Gross profit,12  Mar-14*,68270.0,REC
6,Gross profit margin,12  Mar-14*,39.9,REC
7,Provisions/contingencies,12  Mar-14*,3126.0,REC
8,Profit before tax,12  Mar-14*,66167.0,REC
9,Extraordinary Inc (Exp),12  Mar-14*,0.0,REC
10,Minority Interest,12  Mar-14*,0.0,REC
11,Prior Period Items,12  Mar-14*,-141.0,REC
12,Tax,12  Mar-14*,18613.0,REC
13,Profit after tax,12  Mar-14*,47413.0,REC
14,Net profit margin,12  Mar-14*,27.7,REC
15,Advances,12  Mar-14*,1362826,REC
16,Deposits,12  Mar-14*,0,REC
17,Credit/Deposit ratio,12  Mar-14*,NM,REC
18,Yield on advances,12  Mar-14*,12.3,REC
19,Cost of deposits,12  Mar-14*,N.A.,REC
20,Net Interest Margin,12  Mar-14*,5.1,REC
21,Net fixed assets,12  Mar-14*,835,REC
22,Share capital,12  Mar-14*,9875,REC
23,Free reserves,12  Mar-14*,112750,REC
24,Net worth,12  Mar-14*,208031,REC
25,Borrowings,12  Mar-14*,1100953,REC
26,Investments,12  Mar-14*,16430,REC
27,Total assets,12  Mar-14*,1529443,REC
28,Debt/equity ratio,12  Mar-14*,5.3,REC
29,Return on assets,12  Mar-14*,3.1,REC
30,Return on equity,12  Mar-14*,22.8,REC
31,Capital adequacy ratio,12  Mar-14*,19.4,REC
32,Net NPAs,12  Mar-14*,0.2,REC
33,From Operations,12  Mar-14*,-172438,REC
34,From Investments,12  Mar-14*,1360,REC
35,From Financial Activity,12  Mar-14*,168147,REC
36,Net Cashflow,12  Mar-14*,-2931,REC
37,Interest income,12  Mar-15*,203843.0,REC
38,Other income,12  Mar-15*,1656.0,REC
39,Interest expense,12  Mar-15*,118396.0,REC
40,Net interest income,12  Mar-15*,85448.0,REC
41,Operating expense,12  Mar-15*,3429.0,REC
42,Gross profit,12  Mar-15*,82018.0,REC
