,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,34468.0,SAEL
1,Other income,12  Mar-15*,442.0,SAEL
2,Total revenues,12  Mar-15*,34910.0,SAEL
3,Gross profit,12  Mar-15*,5524.0,SAEL
4,Depreciation,12  Mar-15*,2193.0,SAEL
5,Interest,12  Mar-15*,6150.0,SAEL
6,Profit before tax,12  Mar-15*,-2377.0,SAEL
7,Minority Interest,12  Mar-15*,872.0,SAEL
8,Prior Period Items,12  Mar-15*,-23.0,SAEL
9,Extraordinary Inc (Exp),12  Mar-15*,117.0,SAEL
10,Tax,12  Mar-15*,343.0,SAEL
11,Profit after tax,12  Mar-15*,-1755.0,SAEL
12,Gross profit margin,12  Mar-15*,16.0,SAEL
13,Effective tax rate,12  Mar-15*,-14.4,SAEL
14,Net profit margin,12  Mar-15*,-5.1,SAEL
15,Current assets,12  Mar-15*,17310.0,SAEL
16,Current liabilities,12  Mar-15*,14150.0,SAEL
17,Net working cap to sales,12  Mar-15*,9.2,SAEL
18,Current ratio,12  Mar-15*,1.2,SAEL
19,Inventory Days,12  Mar-15*,23.0,SAEL
20,Debtors Days,12  Mar-15*,71.0,SAEL
21,Net fixed assets,12  Mar-15*,74688.0,SAEL
22,Share capital,12  Mar-15*,172.0,SAEL
23,"""Free"" reserves",12  Mar-15*,10816.0,SAEL
24,Net worth,12  Mar-15*,10987.0,SAEL
25,Long term debt,12  Mar-15*,62754.0,SAEL
26,Total assets,12  Mar-15*,98560.0,SAEL
27,Interest coverage,12  Mar-15*,0.6,SAEL
28,Debt to equity ratio,12  Mar-15*,5.7,SAEL
29,Sales to assets ratio,12  Mar-15*,0.3,SAEL
30,Return on assets,12  Mar-15*,4.5,SAEL
31,Return on equity,12  Mar-15*,-16.0,SAEL
32,Return on capital,12  Mar-15*,6.4,SAEL
33,Exports to sales,12  Mar-15*,0.0,SAEL
34,Imports to sales,12  Mar-15*,0.3,SAEL
35,Exports (fob),12  Mar-15*,0.0,SAEL
36,Imports (cif),12  Mar-15*,99.0,SAEL
37,Fx inflow,12  Mar-15*,0.0,SAEL
38,Fx outflow,12  Mar-15*,145.0,SAEL
39,Net fx,12  Mar-15*,-145.0,SAEL
40,From Operations,12  Mar-15*,3850.0,SAEL
41,From Investments,12  Mar-15*,-13574.0,SAEL
42,From Financial Activity,12  Mar-15*,10367.0,SAEL
43,Net Cashflow,12  Mar-15*,643.0,SAEL
44,Net Sales,12  Mar-16*,40658.0,SAEL
45,Other income,12  Mar-16*,667.0,SAEL
46,Total revenues,12  Mar-16*,41325.0,SAEL
47,Gross profit,12  Mar-16*,10424.0,SAEL
48,Depreciation,12  Mar-16*,2326.0,SAEL
49,Interest,12  Mar-16*,10752.0,SAEL
50,Profit before tax,12  Mar-16*,-1987.0,SAEL
51,Minority Interest,12  Mar-16*,0.0,SAEL
52,Prior Period Items,12  Mar-16*,0.0,SAEL
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,SAEL
54,Tax,12  Mar-16*,219.0,SAEL
55,Profit after tax,12  Mar-16*,-2205.0,SAEL
56,Gross profit margin,12  Mar-16*,25.6,SAEL
57,Effective tax rate,12  Mar-16*,-11.0,SAEL
58,Net profit margin,12  Mar-16*,-5.4,SAEL
59,Current assets,12  Mar-16*,16926.0,SAEL
60,Current liabilities,12  Mar-16*,18417.0,SAEL
61,Net working cap to sales,12  Mar-16*,-3.7,SAEL
62,Current ratio,12  Mar-16*,0.9,SAEL
63,Inventory Days,12  Mar-16*,127.0,SAEL
64,Debtors Days,12  Mar-16*,73.0,SAEL
65,Net fixed assets,12  Mar-16*,103107.0,SAEL
66,Share capital,12  Mar-16*,172.0,SAEL
67,"""Free"" reserves",12  Mar-16*,9919.0,SAEL
68,Net worth,12  Mar-16*,10090.0,SAEL
69,Long term debt,12  Mar-16*,80381.0,SAEL
70,Total assets,12  Mar-16*,127377.0,SAEL
71,Interest coverage,12  Mar-16*,0.8,SAEL
72,Debt to equity ratio,12  Mar-16*,8.0,SAEL
73,Sales to assets ratio,12  Mar-16*,0.3,SAEL
74,Return on assets,12  Mar-16*,6.7,SAEL
75,Return on equity,12  Mar-16*,-21.9,SAEL
76,Return on capital,12  Mar-16*,9.7,SAEL
77,Exports to sales,12  Mar-16*,0.0,SAEL
78,Imports to sales,12  Mar-16*,0.8,SAEL
79,Exports (fob),12  Mar-16*,0.0,SAEL
80,Imports (cif),12  Mar-16*,337.0,SAEL
81,Fx inflow,12  Mar-16*,0.0,SAEL
82,Fx outflow,12  Mar-16*,389.0,SAEL
83,Net fx,12  Mar-16*,-389.0,SAEL
84,From Operations,12  Mar-16*,13266.0,SAEL
85,From Investments,12  Mar-16*,-13757.0,SAEL
86,From Financial Activity,12  Mar-16*,-209.0,SAEL
87,Net Cashflow,12  Mar-16*,-699.0,SAEL
