,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Jun-95,2222.0,SAUC
1,Other income,12  Jun-95,21.0,SAUC
2,Total revenues,12  Jun-95,2243.0,SAUC
3,Gross profit,12  Jun-95,407.0,SAUC
4,Depreciation,12  Jun-95,55.0,SAUC
5,Interest,12  Jun-95,155.0,SAUC
6,Profit before tax,12  Jun-95,218.0,SAUC
7,Minority Interest,12  Jun-95,0.0,SAUC
8,Prior Period Items,12  Jun-95,0.0,SAUC
9,Extraordinary Inc (Exp),12  Jun-95,0.0,SAUC
10,Tax,12  Jun-95,0.0,SAUC
11,Profit after tax,12  Jun-95,218.0,SAUC
12,Gross profit margin,12  Jun-95,18.3,SAUC
13,Effective tax rate,12  Jun-95,0.0,SAUC
14,Net profit margin,12  Jun-95,9.8,SAUC
15,Current assets,12  Jun-95,1142.0,SAUC
16,Current liabilities,12  Jun-95,430.0,SAUC
17,Net working cap to sales,12  Jun-95,32.0,SAUC
18,Current ratio,12  Jun-95,2.7,SAUC
19,Inventory Days,12  Jun-95,39.0,SAUC
20,Debtors Days,12  Jun-95,48.0,SAUC
21,Net fixed assets,12  Jun-95,1638.0,SAUC
22,Share capital,12  Jun-95,122.0,SAUC
23,"""Free"" reserves",12  Jun-95,588.0,SAUC
24,Net worth,12  Jun-95,1427.0,SAUC
25,Long term debt,12  Jun-95,763.0,SAUC
26,Total assets,12  Jun-95,3252.0,SAUC
27,Interest coverage,12  Jun-95,2.4,SAUC
28,Debt to equity ratio,12  Jun-95,0.5,SAUC
29,Sales to assets ratio,12  Jun-95,0.7,SAUC
30,Return on assets,12  Jun-95,11.5,SAUC
31,Return on equity,12  Jun-95,15.3,SAUC
32,Return on capital,12  Jun-95,17.0,SAUC
33,Exports to sales,12  Jun-95,10.1,SAUC
34,Imports to sales,12  Jun-95,0.9,SAUC
35,Exports (fob),12  Jun-95,225.0,SAUC
36,Imports (cif),12  Jun-95,19.0,SAUC
37,Fx inflow,12  Jun-95,229.0,SAUC
38,Fx outflow,12  Jun-95,28.0,SAUC
39,Net fx,12  Jun-95,201.0,SAUC
40,From Operations,12  Jun-95,0.0,SAUC
41,From Investments,12  Jun-95,0.0,SAUC
42,From Financial Activity,12  Jun-95,0.0,SAUC
43,Net Cashflow,12  Jun-95,0.0,SAUC
44,Net Sales,12  Jun-96,1974.0,SAUC
45,Other income,12  Jun-96,22.0,SAUC
46,Total revenues,12  Jun-96,1996.0,SAUC
47,Gross profit,12  Jun-96,414.0,SAUC
48,Depreciation,12  Jun-96,87.0,SAUC
49,Interest,12  Jun-96,178.0,SAUC
50,Profit before tax,12  Jun-96,171.0,SAUC
