,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,18238.0,SBPR
1,Other income,12  Mar-15*,857.0,SBPR
2,Total revenues,12  Mar-15*,19095.0,SBPR
3,Gross profit,12  Mar-15*,1497.0,SBPR
4,Depreciation,12  Mar-15*,244.0,SBPR
5,Interest,12  Mar-15*,1976.0,SBPR
6,Profit before tax,12  Mar-15*,134.0,SBPR
7,Minority Interest,12  Mar-15*,-7.0,SBPR
8,Prior Period Items,12  Mar-15*,-25.0,SBPR
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,SBPR
10,Tax,12  Mar-15*,92.0,SBPR
11,Profit after tax,12  Mar-15*,9.0,SBPR
12,Gross profit margin,12  Mar-15*,8.2,SBPR
13,Effective tax rate,12  Mar-15*,68.7,SBPR
14,Net profit margin,12  Mar-15*,0.1,SBPR
15,Current assets,12  Mar-15*,16110.0,SBPR
16,Current liabilities,12  Mar-15*,18660.0,SBPR
17,Net working cap to sales,12  Mar-15*,-14.0,SBPR
18,Current ratio,12  Mar-15*,0.9,SBPR
19,Inventory Days,12  Mar-15*,10.0,SBPR
20,Debtors Days,12  Mar-15*,141.0,SBPR
21,Net fixed assets,12  Mar-15*,4063.0,SBPR
22,Share capital,12  Mar-15*,82.0,SBPR
23,"""Free"" reserves",12  Mar-15*,4134.0,SBPR
24,Net worth,12  Mar-15*,4719.0,SBPR
25,Long term debt,12  Mar-15*,1887.0,SBPR
26,Total assets,12  Mar-15*,27048.0,SBPR
27,Interest coverage,12  Mar-15*,1.1,SBPR
28,Debt to equity ratio,12  Mar-15*,0.4,SBPR
29,Sales to assets ratio,12  Mar-15*,0.7,SBPR
30,Return on assets,12  Mar-15*,7.3,SBPR
31,Return on equity,12  Mar-15*,0.2,SBPR
32,Return on capital,12  Mar-15*,31.4,SBPR
33,Exports to sales,12  Mar-15*,0.0,SBPR
34,Imports to sales,12  Mar-15*,1.5,SBPR
35,Exports (fob),12  Mar-15*,0.0,SBPR
36,Imports (cif),12  Mar-15*,267.0,SBPR
37,Fx inflow,12  Mar-15*,0.0,SBPR
