,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Dec-14,24156.0,SKF
1,Other income,12  Dec-14,789.0,SKF
2,Total revenues,12  Dec-14,24945.0,SKF
3,Gross profit,12  Dec-14,2812.0,SKF
4,Depreciation,12  Dec-14,540.0,SKF
5,Interest,12  Dec-14,0.0,SKF
6,Profit before tax,12  Dec-14,3062.0,SKF
7,Minority Interest,12  Dec-14,0.0,SKF
8,Prior Period Items,12  Dec-14,0.0,SKF
9,Extraordinary Inc (Exp),12  Dec-14,0.0,SKF
10,Tax,12  Dec-14,1034.0,SKF
11,Profit after tax,12  Dec-14,2028.0,SKF
12,Gross profit margin,12  Dec-14,11.6,SKF
13,Effective tax rate,12  Dec-14,33.8,SKF
14,Net profit margin,12  Dec-14,8.4,SKF
15,Current assets,12  Dec-14,12942,SKF
16,Current liabilities,12  Dec-14,4521,SKF
17,Net working cap to sales,12  Dec-14,34.9,SKF
18,Current ratio,12  Dec-14,2.9,SKF
19,Inventory Days,12  Dec-14,44,SKF
20,Debtors Days,12  Dec-14,56,SKF
21,Net fixed assets,12  Dec-14,3653,SKF
22,Share capital,12  Dec-14,527,SKF
23,"""Free"" reserves",12  Dec-14,13793,SKF
24,Net worth,12  Dec-14,14320,SKF
25,Long term debt,12  Dec-14,0,SKF
26,Total assets,12  Dec-14,19112,SKF
27,Interest coverage,12  Dec-14,NM,SKF
28,Debt to equity ratio,12  Dec-14,0,SKF
29,Sales to assets ratio,12  Dec-14,1.3,SKF
30,Return on assets,12  Dec-14,10.6,SKF
31,Return on equity,12  Dec-14,14.2,SKF
32,Return on capital,12  Dec-14,21.4,SKF
33,Exports to sales,12  Dec-14,7.5,SKF
34,Imports to sales,12  Dec-14,32.5,SKF
35,Exports (fob),12  Dec-14,1818,SKF
36,Imports (cif),12  Dec-14,7863,SKF
37,Fx inflow,12  Dec-14,2173,SKF
38,Fx outflow,12  Dec-14,9344,SKF
39,Net fx,12  Dec-14,-7172,SKF
40,From Operations,12  Dec-14,2177,SKF
41,From Investments,12  Dec-14,-27,SKF
42,From Financial Activity,12  Dec-14,-925,SKF
43,Net Cashflow,12  Dec-14,1225,SKF
44,Net Sales,15  Mar-16,29973.0,SKF
45,Other income,15  Mar-16,1014.0,SKF
46,Total revenues,15  Mar-16,30987.0,SKF
47,Gross profit,15  Mar-16,3615.0,SKF
48,Depreciation,15  Mar-16,684.0,SKF
49,Interest,15  Mar-16,0.0,SKF
50,Profit before tax,15  Mar-16,3945.0,SKF
51,Minority Interest,15  Mar-16,0.0,SKF
52,Prior Period Items,15  Mar-16,0.0,SKF
53,Extraordinary Inc (Exp),15  Mar-16,0.0,SKF
54,Tax,15  Mar-16,1386.0,SKF
55,Profit after tax,15  Mar-16,2559.0,SKF
56,Gross profit margin,15  Mar-16,12.1,SKF
57,Effective tax rate,15  Mar-16,35.1,SKF
58,Net profit margin,15  Mar-16,8.5,SKF
59,Current assets,15  Mar-16,16127,SKF
60,Current liabilities,15  Mar-16,4565,SKF
61,Net working cap to sales,15  Mar-16,38.6,SKF
62,Current ratio,15  Mar-16,3.5,SKF
63,Inventory Days,15  Mar-16,41,SKF
64,Debtors Days,15  Mar-16,59,SKF
65,Net fixed assets,15  Mar-16,3098,SKF
66,Share capital,15  Mar-16,527,SKF
67,"""Free"" reserves",15  Mar-16,16119,SKF
68,Net worth,15  Mar-16,16646,SKF
69,Long term debt,15  Mar-16,0,SKF
70,Total assets,15  Mar-16,21486,SKF
71,Interest coverage,15  Mar-16,NM,SKF
72,Debt to equity ratio,15  Mar-16,0,SKF
73,Sales to assets ratio,15  Mar-16,1.4,SKF
74,Return on assets,15  Mar-16,11.9,SKF
75,Return on equity,15  Mar-16,15.4,SKF
76,Return on capital,15  Mar-16,23.7,SKF
77,Exports to sales,15  Mar-16,7.3,SKF
78,Imports to sales,15  Mar-16,31.7,SKF
79,Exports (fob),15  Mar-16,2185,SKF
80,Imports (cif),15  Mar-16,9500,SKF
81,Fx inflow,15  Mar-16,2500,SKF
82,Fx outflow,15  Mar-16,10674,SKF
83,Net fx,15  Mar-16,-8174,SKF
84,From Operations,15  Mar-16,262,SKF
