,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,31561.0,SNFS
1,Other income,12  Mar-15*,167.0,SNFS
2,Total revenues,12  Mar-15*,31728.0,SNFS
3,Gross profit,12  Mar-15*,3762.0,SNFS
4,Depreciation,12  Mar-15*,1158.0,SNFS
5,Interest,12  Mar-15*,945.0,SNFS
6,Profit before tax,12  Mar-15*,1826.0,SNFS
7,Minority Interest,12  Mar-15*,-7.0,SNFS
8,Prior Period Items,12  Mar-15*,-2.0,SNFS
9,Extraordinary Inc (Exp),12  Mar-15*,-2.0,SNFS
10,Tax,12  Mar-15*,504.0,SNFS
11,Profit after tax,12  Mar-15*,1312.0,SNFS
12,Gross profit margin,12  Mar-15*,11.9,SNFS
13,Effective tax rate,12  Mar-15*,27.6,SNFS
14,Net profit margin,12  Mar-15*,4.2,SNFS
15,Current assets,12  Mar-15*,12277.0,SNFS
16,Current liabilities,12  Mar-15*,11530.0,SNFS
17,Net working cap to sales,12  Mar-15*,2.4,SNFS
18,Current ratio,12  Mar-15*,1.1,SNFS
19,Inventory Days,12  Mar-15*,61.0,SNFS
20,Debtors Days,12  Mar-15*,57.0,SNFS
21,Net fixed assets,12  Mar-15*,10406.0,SNFS
22,Share capital,12  Mar-15*,210.0,SNFS
23,"""Free"" reserves",12  Mar-15*,7841.0,SNFS
24,Net worth,12  Mar-15*,8788.0,SNFS
25,Long term debt,12  Mar-15*,2030.0,SNFS
26,Total assets,12  Mar-15*,23411.0,SNFS
27,Interest coverage,12  Mar-15*,2.9,SNFS
28,Debt to equity ratio,12  Mar-15*,0.2,SNFS
29,Sales to assets ratio,12  Mar-15*,1.3,SNFS
30,Return on assets,12  Mar-15*,9.6,SNFS
31,Return on equity,12  Mar-15*,14.9,SNFS
32,Return on capital,12  Mar-15*,25.5,SNFS
33,Exports to sales,12  Mar-15*,28.5,SNFS
34,Imports to sales,12  Mar-15*,9.9,SNFS
35,Exports (fob),12  Mar-15*,8987.0,SNFS
36,Imports (cif),12  Mar-15*,3129.0,SNFS
37,Fx inflow,12  Mar-15*,9159.0,SNFS
38,Fx outflow,12  Mar-15*,3684.0,SNFS
39,Net fx,12  Mar-15*,5475.0,SNFS
40,From Operations,12  Mar-15*,1060.0,SNFS
41,From Investments,12  Mar-15*,-1273.0,SNFS
42,From Financial Activity,12  Mar-15*,203.0,SNFS
43,Net Cashflow,12  Mar-15*,-10.0,SNFS
44,Net Sales,12  Mar-16*,32549.0,SNFS
45,Other income,12  Mar-16*,617.0,SNFS
46,Total revenues,12  Mar-16*,33166.0,SNFS
47,Gross profit,12  Mar-16*,3840.0,SNFS
48,Depreciation,12  Mar-16*,1164.0,SNFS
49,Interest,12  Mar-16*,728.0,SNFS
50,Profit before tax,12  Mar-16*,2566.0,SNFS
51,Minority Interest,12  Mar-16*,0.0,SNFS
52,Prior Period Items,12  Mar-16*,0.0,SNFS
53,Extraordinary Inc (Exp),12  Mar-16*,-1176.0,SNFS
54,Tax,12  Mar-16*,139.0,SNFS
55,Profit after tax,12  Mar-16*,1251.0,SNFS
56,Gross profit margin,12  Mar-16*,11.8,SNFS
57,Effective tax rate,12  Mar-16*,5.4,SNFS
58,Net profit margin,12  Mar-16*,3.8,SNFS
59,Current assets,12  Mar-16*,11089.0,SNFS
60,Current liabilities,12  Mar-16*,9980.0,SNFS
61,Net working cap to sales,12  Mar-16*,3.4,SNFS
62,Current ratio,12  Mar-16*,1.1,SNFS
63,Inventory Days,12  Mar-16*,48.0,SNFS
64,Debtors Days,12  Mar-16*,61.0,SNFS
65,Net fixed assets,12  Mar-16*,9806.0,SNFS
66,Share capital,12  Mar-16*,210.0,SNFS
67,"""Free"" reserves",12  Mar-16*,9326.0,SNFS
68,Net worth,12  Mar-16*,9536.0,SNFS
69,Long term debt,12  Mar-16*,1757.0,SNFS
70,Total assets,12  Mar-16*,22019.0,SNFS
71,Interest coverage,12  Mar-16*,4.5,SNFS
72,Debt to equity ratio,12  Mar-16*,0.2,SNFS
73,Sales to assets ratio,12  Mar-16*,1.5,SNFS
74,Return on assets,12  Mar-16*,9.0,SNFS
75,Return on equity,12  Mar-16*,13.1,SNFS
76,Return on capital,12  Mar-16*,18.7,SNFS
77,Exports to sales,12  Mar-16*,27.9,SNFS
78,Imports to sales,12  Mar-16*,9.6,SNFS
79,Exports (fob),12  Mar-16*,9081.0,SNFS
80,Imports (cif),12  Mar-16*,3135.0,SNFS
81,Fx inflow,12  Mar-16*,9176.0,SNFS
82,Fx outflow,12  Mar-16*,3902.0,SNFS
83,Net fx,12  Mar-16*,5273.0,SNFS
84,From Operations,12  Mar-16*,5952.0,SNFS
85,From Investments,12  Mar-16*,-1789.0,SNFS
86,From Financial Activity,12  Mar-16*,-4154.0,SNFS
87,Net Cashflow,12  Mar-16*,9.0,SNFS
88,Net Sales,12  Mar-17*,33029.0,SNFS
89,Other income,12  Mar-17*,154.0,SNFS
90,Total revenues,12  Mar-17*,33183.0,SNFS
91,Gross profit,12  Mar-17*,5891.0,SNFS
92,Depreciation,12  Mar-17*,1045.0,SNFS
93,Interest,12  Mar-17*,391.0,SNFS
94,Profit before tax,12  Mar-17*,4609.0,SNFS
95,Minority Interest,12  Mar-17*,0.0,SNFS
96,Prior Period Items,12  Mar-17*,0.0,SNFS
97,Extraordinary Inc (Exp),12  Mar-17*,-24.0,SNFS
98,Tax,12  Mar-17*,1203.0,SNFS
99,Profit after tax,12  Mar-17*,3382.0,SNFS
100,Gross profit margin,12  Mar-17*,17.8,SNFS
101,Effective tax rate,12  Mar-17*,26.1,SNFS
102,Net profit margin,12  Mar-17*,10.2,SNFS
103,Current assets,12  Mar-17*,12206.0,SNFS
104,Current liabilities,12  Mar-17*,10514.0,SNFS
105,Net working cap to sales,12  Mar-17*,5.1,SNFS
106,Current ratio,12  Mar-17*,1.2,SNFS
107,Inventory Days,12  Mar-17*,50.0,SNFS
108,Debtors Days,12  Mar-17*,72.0,SNFS
109,Net fixed assets,12  Mar-17*,10992.0,SNFS
110,Share capital,12  Mar-17*,210.0,SNFS
111,"""Free"" reserves",12  Mar-17*,12151.0,SNFS
112,Net worth,12  Mar-17*,12361.0,SNFS
113,Long term debt,12  Mar-17*,1500.0,SNFS
114,Total assets,12  Mar-17*,25277.0,SNFS
115,Interest coverage,12  Mar-17*,12.8,SNFS
116,Debt to equity ratio,12  Mar-17*,0.1,SNFS
117,Sales to assets ratio,12  Mar-17*,1.3,SNFS
118,Return on assets,12  Mar-17*,14.9,SNFS
119,Return on equity,12  Mar-17*,27.4,SNFS
120,Return on capital,12  Mar-17*,35.9,SNFS
121,Exports to sales,12  Mar-17*,31.6,SNFS
122,Imports to sales,12  Mar-17*,0.0,SNFS
123,Exports (fob),12  Mar-17*,10441.0,SNFS
124,Imports (cif),12  Mar-17*,0.0,SNFS
125,Fx inflow,12  Mar-17*,10520.0,SNFS
126,Fx outflow,12  Mar-17*,3199.0,SNFS
127,Net fx,12  Mar-17*,7321.0,SNFS
128,From Operations,12  Mar-17*,2436.0,SNFS
129,From Investments,12  Mar-17*,-2358.0,SNFS
130,From Financial Activity,12  Mar-17*,56.0,SNFS
131,Net Cashflow,12  Mar-17*,121.0,SNFS
132,Net Sales,12  Mar-18*,38549.0,SNFS
133,Other income,12  Mar-18*,232.0,SNFS
134,Total revenues,12  Mar-18*,38781.0,SNFS
135,Gross profit,12  Mar-18*,6805.0,SNFS
136,Depreciation,12  Mar-18*,1123.0,SNFS
137,Interest,12  Mar-18*,375.0,SNFS
138,Profit before tax,12  Mar-18*,5539.0,SNFS
139,Minority Interest,12  Mar-18*,0.0,SNFS
140,Prior Period Items,12  Mar-18*,0.0,SNFS
141,Extraordinary Inc (Exp),12  Mar-18*,0.0,SNFS
142,Tax,12  Mar-18*,1658.0,SNFS
143,Profit after tax,12  Mar-18*,3882.0,SNFS
144,Gross profit margin,12  Mar-18*,17.7,SNFS
145,Effective tax rate,12  Mar-18*,29.9,SNFS
146,Net profit margin,12  Mar-18*,10.1,SNFS
147,Current assets,12  Mar-18*,14537.0,SNFS
148,Current liabilities,12  Mar-18*,10913.0,SNFS
149,Net working cap to sales,12  Mar-18*,9.4,SNFS
150,Current ratio,12  Mar-18*,1.3,SNFS
151,Inventory Days,12  Mar-18*,50.0,SNFS
152,Debtors Days,12  Mar-18*,75.0,SNFS
153,Net fixed assets,12  Mar-18*,12671.0,SNFS
154,Share capital,12  Mar-18*,210.0,SNFS
