,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,45398.0,SRFL
1,Other income,12  Mar-15*,646.0,SRFL
2,Total revenues,12  Mar-15*,46044.0,SRFL
3,Gross profit,12  Mar-15*,7175.0,SRFL
4,Depreciation,12  Mar-15*,2450.0,SRFL
5,Interest,12  Mar-15*,1376.0,SRFL
6,Profit before tax,12  Mar-15*,3994.0,SRFL
7,Minority Interest,12  Mar-15*,0.0,SRFL
8,Prior Period Items,12  Mar-15*,0.0,SRFL
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,SRFL
10,Tax,12  Mar-15*,966.0,SRFL
11,Profit after tax,12  Mar-15*,3028.0,SRFL
12,Gross profit margin,12  Mar-15*,15.8,SRFL
13,Effective tax rate,12  Mar-15*,24.2,SRFL
14,Net profit margin,12  Mar-15*,6.7,SRFL
15,Current assets,12  Mar-15*,16826.0,SRFL
16,Current liabilities,12  Mar-15*,13840.0,SRFL
17,Net working cap to sales,12  Mar-15*,6.6,SRFL
18,Current ratio,12  Mar-15*,1.2,SRFL
19,Inventory Days,12  Mar-15*,59.0,SRFL
20,Debtors Days,12  Mar-15*,49.0,SRFL
21,Net fixed assets,12  Mar-15*,40336.0,SRFL
22,Share capital,12  Mar-15*,584.0,SRFL
23,"""Free"" reserves",12  Mar-15*,23463.0,SRFL
24,Net worth,12  Mar-15*,24047.0,SRFL
25,Long term debt,12  Mar-15*,18271.0,SRFL
26,Total assets,12  Mar-15*,59744.0,SRFL
27,Interest coverage,12  Mar-15*,3.9,SRFL
28,Debt to equity ratio,12  Mar-15*,0.8,SRFL
29,Sales to assets ratio,12  Mar-15*,0.8,SRFL
30,Return on assets,12  Mar-15*,7.4,SRFL
31,Return on equity,12  Mar-15*,12.6,SRFL
32,Return on capital,12  Mar-15*,12.7,SRFL
33,Exports to sales,12  Mar-15*,21.2,SRFL
34,Imports to sales,12  Mar-15*,20.7,SRFL
35,Exports (fob),12  Mar-15*,9603.0,SRFL
36,Imports (cif),12  Mar-15*,9412.0,SRFL
37,Fx inflow,12  Mar-15*,9677.0,SRFL
38,Fx outflow,12  Mar-15*,10558.0,SRFL
39,Net fx,12  Mar-15*,-881.0,SRFL
40,From Operations,12  Mar-15*,5423.0,SRFL
41,From Investments,12  Mar-15*,-4998.0,SRFL
42,From Financial Activity,12  Mar-15*,-181.0,SRFL
43,Net Cashflow,12  Mar-15*,244.0,SRFL
44,Net Sales,12  Mar-16*,45927.0,SRFL
45,Other income,12  Mar-16*,278.0,SRFL
46,Total revenues,12  Mar-16*,46206.0,SRFL
47,Gross profit,12  Mar-16*,9625.0,SRFL
48,Depreciation,12  Mar-16*,2750.0,SRFL
49,Interest,12  Mar-16*,1305.0,SRFL
50,Profit before tax,12  Mar-16*,5849.0,SRFL
51,Minority Interest,12  Mar-16*,0.0,SRFL
52,Prior Period Items,12  Mar-16*,0.0,SRFL
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,SRFL
54,Tax,12  Mar-16*,1551.0,SRFL
55,Profit after tax,12  Mar-16*,4299.0,SRFL
56,Gross profit margin,12  Mar-16*,21.0,SRFL
57,Effective tax rate,12  Mar-16*,26.5,SRFL
58,Net profit margin,12  Mar-16*,9.4,SRFL
59,Current assets,12  Mar-16*,19837.0,SRFL
60,Current liabilities,12  Mar-16*,14212.0,SRFL
61,Net working cap to sales,12  Mar-16*,12.2,SRFL
62,Current ratio,12  Mar-16*,1.4,SRFL
