,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,23954.0,SUNTV
1,Other income,12  Mar-15*,989.0,SUNTV
2,Total revenues,12  Mar-15*,24943.0,SUNTV
3,Gross profit,12  Mar-15*,16772.0,SUNTV
4,Depreciation,12  Mar-15*,6153.0,SUNTV
5,Interest,12  Mar-15*,23.0,SUNTV
6,Profit before tax,12  Mar-15*,11586.0,SUNTV
7,Minority Interest,12  Mar-15*,-141.0,SUNTV
8,Prior Period Items,12  Mar-15*,135.0,SUNTV
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,SUNTV
10,Tax,12  Mar-15*,3760.0,SUNTV
11,Profit after tax,12  Mar-15*,7820.0,SUNTV
12,Gross profit margin,12  Mar-15*,70.0,SUNTV
13,Effective tax rate,12  Mar-15*,32.5,SUNTV
14,Net profit margin,12  Mar-15*,32.6,SUNTV
15,Current assets,12  Mar-15*,18932.0,SUNTV
16,Current liabilities,12  Mar-15*,2219.0,SUNTV
17,Net working cap to sales,12  Mar-15*,69.8,SUNTV
18,Current ratio,12  Mar-15*,8.5,SUNTV
19,Inventory Days,12  Mar-15*,0.0,SUNTV
20,Debtors Days,12  Mar-15*,109.0,SUNTV
21,Net fixed assets,12  Mar-15*,11206.0,SUNTV
22,Share capital,12  Mar-15*,1970.0,SUNTV
23,"""Free"" reserves",12  Mar-15*,30904.0,SUNTV
24,Net worth,12  Mar-15*,32874.0,SUNTV
25,Long term debt,12  Mar-15*,0.0,SUNTV
26,Total assets,12  Mar-15*,35335.0,SUNTV
27,Interest coverage,12  Mar-15*,506.9,SUNTV
28,Debt to equity ratio,12  Mar-15*,0.0,SUNTV
29,Sales to assets ratio,12  Mar-15*,0.7,SUNTV
30,Return on assets,12  Mar-15*,22.2,SUNTV
31,Return on equity,12  Mar-15*,23.8,SUNTV
32,Return on capital,12  Mar-15*,35.3,SUNTV
33,Exports to sales,12  Mar-15*,0.0,SUNTV
34,Imports to sales,12  Mar-15*,0.9,SUNTV
35,Exports (fob),12  Mar-15*,0.0,SUNTV
36,Imports (cif),12  Mar-15*,217.0,SUNTV
37,Fx inflow,12  Mar-15*,1489.0,SUNTV
38,Fx outflow,12  Mar-15*,826.0,SUNTV
39,Net fx,12  Mar-15*,663.0,SUNTV
40,From Operations,12  Mar-15*,11623.0,SUNTV
41,From Investments,12  Mar-15*,-5183.0,SUNTV
42,From Financial Activity,12  Mar-15*,-6348.0,SUNTV
43,Net Cashflow,12  Mar-15*,91.0,SUNTV
44,Net Sales,12  Mar-16*,24736.0,SUNTV
45,Other income,12  Mar-16*,1163.0,SUNTV
46,Total revenues,12  Mar-16*,25900.0,SUNTV
47,Gross profit,12  Mar-16*,17327.0,SUNTV
48,Depreciation,12  Mar-16*,4967.0,SUNTV
49,Interest,12  Mar-16*,22.0,SUNTV
50,Profit before tax,12  Mar-16*,13502.0,SUNTV
51,Minority Interest,12  Mar-16*,0.0,SUNTV
52,Prior Period Items,12  Mar-16*,310.0,SUNTV
53,Extraordinary Inc (Exp),12  Mar-16*,180.0,SUNTV
54,Tax,12  Mar-16*,4768.0,SUNTV
55,Profit after tax,12  Mar-16*,9223.0,SUNTV
