,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15,5209.0,SVNP
1,Other income,12  Mar-15,86.0,SVNP
2,Total revenues,12  Mar-15,5294.0,SVNP
3,Gross profit,12  Mar-15,1595.0,SVNP
4,Depreciation,12  Mar-15,118.0,SVNP
5,Interest,12  Mar-15,47.0,SVNP
6,Profit before tax,12  Mar-15,1516.0,SVNP
7,Minority Interest,12  Mar-15,0.0,SVNP
8,Prior Period Items,12  Mar-15,0.0,SVNP
9,Extraordinary Inc (Exp),12  Mar-15,0.0,SVNP
10,Tax,12  Mar-15,428.0,SVNP
11,Profit after tax,12  Mar-15,1088.0,SVNP
12,Gross profit margin,12  Mar-15,30.6,SVNP
13,Effective tax rate,12  Mar-15,28.2,SVNP
14,Net profit margin,12  Mar-15,20.9,SVNP
15,Current assets,12  Mar-15,4494.0,SVNP
16,Current liabilities,12  Mar-15,1185.0,SVNP
17,Net working cap to sales,12  Mar-15,63.5,SVNP
18,Current ratio,12  Mar-15,3.8,SVNP
19,Inventory Days,12  Mar-15,57.0,SVNP
20,Debtors Days,12  Mar-15,28.0,SVNP
21,Net fixed assets,12  Mar-15,2790.0,SVNP
22,Share capital,12  Mar-15,127.0,SVNP
23,"""Free"" reserves",12  Mar-15,5510.0,SVNP
24,Net worth,12  Mar-15,5637.0,SVNP
25,Long term debt,12  Mar-15,594.0,SVNP
26,Total assets,12  Mar-15,7456.0,SVNP
27,Interest coverage,12  Mar-15,33.2,SVNP
28,Debt to equity ratio,12  Mar-15,0.1,SVNP
29,Sales to assets ratio,12  Mar-15,0.7,SVNP
30,Return on assets,12  Mar-15,15.2,SVNP
31,Return on equity,12  Mar-15,19.3,SVNP
32,Return on capital,12  Mar-15,25.1,SVNP
33,Exports to sales,12  Mar-15,88.1,SVNP
34,Imports to sales,12  Mar-15,11.6,SVNP
35,Exports (fob),12  Mar-15,4590.0,SVNP
36,Imports (cif),12  Mar-15,602.0,SVNP
37,Fx inflow,12  Mar-15,4779.0,SVNP
38,Fx outflow,12  Mar-15,855.0,SVNP
39,Net fx,12  Mar-15,3924.0,SVNP
40,From Operations,12  Mar-15,1429.0,SVNP
41,From Investments,12  Mar-15,-1105.0,SVNP
42,From Financial Activity,12  Mar-15,1791.0,SVNP
43,Net Cashflow,12  Mar-15,2116.0,SVNP
44,Net Sales,12  Mar-16,4995.0,SVNP
45,Other income,12  Mar-16,194.0,SVNP
46,Total revenues,12  Mar-16,5189.0,SVNP
47,Gross profit,12  Mar-16,1016.0,SVNP
48,Depreciation,12  Mar-16,175.0,SVNP
49,Interest,12  Mar-16,59.0,SVNP
50,Profit before tax,12  Mar-16,976.0,SVNP
51,Minority Interest,12  Mar-16,0.0,SVNP
52,Prior Period Items,12  Mar-16,0.0,SVNP
53,Extraordinary Inc (Exp),12  Mar-16,0.0,SVNP
54,Tax,12  Mar-16,257.0,SVNP
55,Profit after tax,12  Mar-16,718.0,SVNP
56,Gross profit margin,12  Mar-16,20.3,SVNP
57,Effective tax rate,12  Mar-16,26.4,SVNP
58,Net profit margin,12  Mar-16,14.4,SVNP
59,Current assets,12  Mar-16,4277.0,SVNP
60,Current liabilities,12  Mar-16,1107.0,SVNP
61,Net working cap to sales,12  Mar-16,63.5,SVNP
62,Current ratio,12  Mar-16,3.9,SVNP
63,Inventory Days,12  Mar-16,61.0,SVNP
64,Debtors Days,12  Mar-16,39.0,SVNP
65,Net fixed assets,12  Mar-16,3126.0,SVNP
66,Share capital,12  Mar-16,127.0,SVNP
67,"""Free"" reserves",12  Mar-16,5826.0,SVNP
68,Net worth,12  Mar-16,5953.0,SVNP
69,Long term debt,12  Mar-16,416.0,SVNP
70,Total assets,12  Mar-16,7515.0,SVNP
71,Interest coverage,12  Mar-16,17.6,SVNP
72,Debt to equity ratio,12  Mar-16,0.1,SVNP
73,Sales to assets ratio,12  Mar-16,0.7,SVNP
74,Return on assets,12  Mar-16,10.3,SVNP
75,Return on equity,12  Mar-16,12.1,SVNP
76,Return on capital,12  Mar-16,16.2,SVNP
77,Exports to sales,12  Mar-16,87.5,SVNP
78,Imports to sales,12  Mar-16,12.2,SVNP
79,Exports (fob),12  Mar-16,4371.0,SVNP
80,Imports (cif),12  Mar-16,611.0,SVNP
81,Fx inflow,12  Mar-16,4666.0,SVNP
82,Fx outflow,12  Mar-16,942.0,SVNP
83,Net fx,12  Mar-16,3724.0,SVNP
84,From Operations,12  Mar-16,675.0,SVNP
85,From Investments,12  Mar-16,-386.0,SVNP
86,From Financial Activity,12  Mar-16,-681.0,SVNP
87,Net Cashflow,12  Mar-16,-392.0,SVNP
88,Net Sales,12  Mar-17,5435.0,SVNP
