,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15,10981.0,SWMZ
1,Other income,12  Mar-15,88.0,SWMZ
2,Total revenues,12  Mar-15,11069.0,SWMZ
3,Gross profit,12  Mar-15,656.0,SWMZ
4,Depreciation,12  Mar-15,198.0,SWMZ
5,Interest,12  Mar-15,58.0,SWMZ
6,Profit before tax,12  Mar-15,488.0,SWMZ
7,Minority Interest,12  Mar-15,0.0,SWMZ
8,Prior Period Items,12  Mar-15,0.0,SWMZ
9,Extraordinary Inc (Exp),12  Mar-15,0.0,SWMZ
10,Tax,12  Mar-15,118.0,SWMZ
11,Profit after tax,12  Mar-15,369.0,SWMZ
12,Gross profit margin,12  Mar-15,6.0,SWMZ
13,Effective tax rate,12  Mar-15,24.2,SWMZ
14,Net profit margin,12  Mar-15,3.4,SWMZ
15,Current assets,12  Mar-15,4608.0,SWMZ
16,Current liabilities,12  Mar-15,3142.0,SWMZ
17,Net working cap to sales,12  Mar-15,13.3,SWMZ
18,Current ratio,12  Mar-15,1.5,SWMZ
19,Inventory Days,12  Mar-15,95.0,SWMZ
20,Debtors Days,12  Mar-15,35.0,SWMZ
21,Net fixed assets,12  Mar-15,1645.0,SWMZ
22,Share capital,12  Mar-15,145.0,SWMZ
23,"""Free"" reserves",12  Mar-15,2883.0,SWMZ
24,Net worth,12  Mar-15,3029.0,SWMZ
25,Long term debt,12  Mar-15,0.0,SWMZ
26,Total assets,12  Mar-15,6751.0,SWMZ
27,Interest coverage,12  Mar-15,9.4,SWMZ
28,Debt to equity ratio,12  Mar-15,0.0,SWMZ
29,Sales to assets ratio,12  Mar-15,1.6,SWMZ
30,Return on assets,12  Mar-15,6.3,SWMZ
31,Return on equity,12  Mar-15,12.2,SWMZ
32,Return on capital,12  Mar-15,18.0,SWMZ
33,Exports to sales,12  Mar-15,3.0,SWMZ
34,Imports to sales,12  Mar-15,1.0,SWMZ
35,Exports (fob),12  Mar-15,331.0,SWMZ
36,Imports (cif),12  Mar-15,109.0,SWMZ
37,Fx inflow,12  Mar-15,331.0,SWMZ
38,Fx outflow,12  Mar-15,115.0,SWMZ
39,Net fx,12  Mar-15,216.0,SWMZ
40,From Operations,12  Mar-15,688.0,SWMZ
41,From Investments,12  Mar-15,-1032.0,SWMZ
42,From Financial Activity,12  Mar-15,114.0,SWMZ
43,Net Cashflow,12  Mar-15,-231.0,SWMZ
44,Net Sales,12  Mar-16,11572.0,SWMZ
45,Other income,12  Mar-16,62.0,SWMZ
46,Total revenues,12  Mar-16,11634.0,SWMZ
47,Gross profit,12  Mar-16,868.0,SWMZ
48,Depreciation,12  Mar-16,196.0,SWMZ
49,Interest,12  Mar-16,52.0,SWMZ
50,Profit before tax,12  Mar-16,683.0,SWMZ
51,Minority Interest,12  Mar-16,0.0,SWMZ
52,Prior Period Items,12  Mar-16,0.0,SWMZ
53,Extraordinary Inc (Exp),12  Mar-16,0.0,SWMZ
54,Tax,12  Mar-16,172.0,SWMZ
55,Profit after tax,12  Mar-16,512.0,SWMZ
56,Gross profit margin,12  Mar-16,7.5,SWMZ
57,Effective tax rate,12  Mar-16,25.1,SWMZ
58,Net profit margin,12  Mar-16,4.4,SWMZ
59,Current assets,12  Mar-16,4928.0,SWMZ
60,Current liabilities,12  Mar-16,3116.0,SWMZ
61,Net working cap to sales,12  Mar-16,15.7,SWMZ
62,Current ratio,12  Mar-16,1.6,SWMZ
63,Inventory Days,12  Mar-16,107.0,SWMZ
64,Debtors Days,12  Mar-16,32.0,SWMZ
65,Net fixed assets,12  Mar-16,2114.0,SWMZ
66,Share capital,12  Mar-16,145.0,SWMZ
67,"""Free"" reserves",12  Mar-16,3257.0,SWMZ
68,Net worth,12  Mar-16,3401.0,SWMZ
