,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,3144.0,SWNM
1,Other income,12  Mar-15*,144.0,SWNM
2,Total revenues,12  Mar-15*,3288.0,SWNM
3,Gross profit,12  Mar-15*,307.0,SWNM
4,Depreciation,12  Mar-15*,103.0,SWNM
5,Interest,12  Mar-15*,296.0,SWNM
6,Profit before tax,12  Mar-15*,53.0,SWNM
7,Minority Interest,12  Mar-15*,0.0,SWNM
8,Prior Period Items,12  Mar-15*,0.0,SWNM
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,SWNM
10,Tax,12  Mar-15*,22.0,SWNM
11,Profit after tax,12  Mar-15*,30.0,SWNM
12,Gross profit margin,12  Mar-15*,9.8,SWNM
13,Effective tax rate,12  Mar-15*,42.6,SWNM
14,Net profit margin,12  Mar-15*,1.0,SWNM
15,Current assets,12  Mar-15*,7475.0,SWNM
16,Current liabilities,12  Mar-15*,4564.0,SWNM
17,Net working cap to sales,12  Mar-15*,92.6,SWNM
18,Current ratio,12  Mar-15*,1.6,SWNM
19,Inventory Days,12  Mar-15*,645.0,SWNM
20,Debtors Days,12  Mar-15*,67.0,SWNM
21,Net fixed assets,12  Mar-15*,8821.0,SWNM
22,Share capital,12  Mar-15*,221.0,SWNM
23,"""Free"" reserves",12  Mar-15*,4083.0,SWNM
24,Net worth,12  Mar-15*,4304.0,SWNM
25,Long term debt,12  Mar-15*,3598.0,SWNM
26,Total assets,12  Mar-15*,16900.0,SWNM
27,Interest coverage,12  Mar-15*,1.2,SWNM
28,Debt to equity ratio,12  Mar-15*,0.8,SWNM
29,Sales to assets ratio,12  Mar-15*,0.2,SWNM
30,Return on assets,12  Mar-15*,1.9,SWNM
31,Return on equity,12  Mar-15*,0.7,SWNM
32,Return on capital,12  Mar-15*,4.4,SWNM
33,Exports to sales,12  Mar-15*,2.2,SWNM
34,Imports to sales,12  Mar-15*,0.1,SWNM
35,Exports (fob),12  Mar-15*,70.0,SWNM
36,Imports (cif),12  Mar-15*,3.0,SWNM
37,Fx inflow,12  Mar-15*,70.0,SWNM
38,Fx outflow,12  Mar-15*,3.0,SWNM
39,Net fx,12  Mar-15*,67.0,SWNM
40,From Operations,12  Mar-15*,-1101.0,SWNM
41,From Investments,12  Mar-15*,-613.0,SWNM
42,From Financial Activity,12  Mar-15*,1732.0,SWNM
43,Net Cashflow,12  Mar-15*,18.0,SWNM
44,Net Sales,12  Mar-16*,3317.0,SWNM
