,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,1046.0,TANSL
1,Other income,12  Mar-14*,317.0,TANSL
2,Total revenues,12  Mar-14*,1363.0,TANSL
3,Gross profit,12  Mar-14*,357.0,TANSL
4,Depreciation,12  Mar-14*,841.0,TANSL
5,Interest,12  Mar-14*,0.0,TANSL
6,Profit before tax,12  Mar-14*,-167.0,TANSL
7,Minority Interest,12  Mar-14*,0.0,TANSL
8,Prior Period Items,12  Mar-14*,0.0,TANSL
9,Extraordinary Inc (Exp),12  Mar-14*,-97.0,TANSL
10,Tax,12  Mar-14*,-65.0,TANSL
11,Profit after tax,12  Mar-14*,-198.0,TANSL
12,Gross profit margin,12  Mar-14*,34.1,TANSL
13,Effective tax rate,12  Mar-14*,39.1,TANSL
14,Net profit margin,12  Mar-14*,-19.0,TANSL
15,Current assets,12  Mar-14*,953,TANSL
16,Current liabilities,12  Mar-14*,205,TANSL
17,Net working cap to sales,12  Mar-14*,71.5,TANSL
18,Current ratio,12  Mar-14*,4.6,TANSL
19,Inventory Days,12  Mar-14*,81,TANSL
20,Debtors Days,12  Mar-14*,123,TANSL
21,Net fixed assets,12  Mar-14*,5180,TANSL
22,Share capital,12  Mar-14*,102,TANSL
23,"""Free"" reserves",12  Mar-14*,4762,TANSL
24,Net worth,12  Mar-14*,6017,TANSL
25,Long term debt,12  Mar-14*,1,TANSL
26,Total assets,12  Mar-14*,6224,TANSL
27,Interest coverage,12  Mar-14*,NM,TANSL
28,Debt to equity ratio,12  Mar-14*,0,TANSL
29,Sales to assets ratio,12  Mar-14*,0.2,TANSL
30,Return on assets,12  Mar-14*,-3.2,TANSL
31,Return on equity,12  Mar-14*,-3.3,TANSL
32,Return on capital,12  Mar-14*,-4.4,TANSL
33,Exports to sales,12  Mar-14*,0,TANSL
34,Imports to sales,12  Mar-14*,0,TANSL
35,Exports (fob),12  Mar-14*,0,TANSL
36,Imports (cif),12  Mar-14*,0,TANSL
37,Fx inflow,12  Mar-14*,3,TANSL
38,Fx outflow,12  Mar-14*,35,TANSL
39,Net fx,12  Mar-14*,-32,TANSL
40,From Operations,12  Mar-14*,388,TANSL
41,From Investments,12  Mar-14*,-436,TANSL
42,From Financial Activity,12  Mar-14*,-5,TANSL
43,Net Cashflow,12  Mar-14*,-53,TANSL
44,Net Sales,12  Mar-15*,2425.0,TANSL
45,Other income,12  Mar-15*,52.0,TANSL
46,Total revenues,12  Mar-15*,2477.0,TANSL
47,Gross profit,12  Mar-15*,759.0,TANSL
48,Depreciation,12  Mar-15*,757.0,TANSL
49,Interest,12  Mar-15*,0.0,TANSL
50,Profit before tax,12  Mar-15*,55.0,TANSL
51,Minority Interest,12  Mar-15*,0.0,TANSL
52,Prior Period Items,12  Mar-15*,0.0,TANSL
53,Extraordinary Inc (Exp),12  Mar-15*,0.0,TANSL
54,Tax,12  Mar-15*,29.0,TANSL
55,Profit after tax,12  Mar-15*,26.0,TANSL
56,Gross profit margin,12  Mar-15*,31.3,TANSL
57,Effective tax rate,12  Mar-15*,52.7,TANSL
58,Net profit margin,12  Mar-15*,1.1,TANSL
59,Current assets,12  Mar-15*,2059,TANSL
60,Current liabilities,12  Mar-15*,563,TANSL
61,Net working cap to sales,12  Mar-15*,61.7,TANSL
62,Current ratio,12  Mar-15*,3.7,TANSL
63,Inventory Days,12  Mar-15*,40,TANSL
64,Debtors Days,12  Mar-15*,212,TANSL
65,Net fixed assets,12  Mar-15*,4598,TANSL
66,Share capital,12  Mar-15*,102,TANSL
67,"""Free"" reserves",12  Mar-15*,6114,TANSL
68,Net worth,12  Mar-15*,6216,TANSL
69,Long term debt,12  Mar-15*,3,TANSL
70,Total assets,12  Mar-15*,6781,TANSL
71,Interest coverage,12  Mar-15*,NM,TANSL
72,Debt to equity ratio,12  Mar-15*,0,TANSL
73,Sales to assets ratio,12  Mar-15*,0.4,TANSL
74,Return on assets,12  Mar-15*,0.4,TANSL
75,Return on equity,12  Mar-15*,0.4,TANSL
76,Return on capital,12  Mar-15*,0.9,TANSL
77,Exports to sales,12  Mar-15*,0,TANSL
78,Imports to sales,12  Mar-15*,0,TANSL
79,Exports (fob),12  Mar-15*,0,TANSL
80,Imports (cif),12  Mar-15*,0,TANSL
81,Fx inflow,12  Mar-15*,2,TANSL
82,Fx outflow,12  Mar-15*,42,TANSL
83,Net fx,12  Mar-15*,-40,TANSL
84,From Operations,12  Mar-15*,509,TANSL
85,From Investments,12  Mar-15*,-402,TANSL
86,From Financial Activity,12  Mar-15*,0,TANSL
87,Net Cashflow,12  Mar-15*,107,TANSL
88,Net Sales,12  Mar-16*,4316.0,TANSL
89,Other income,12  Mar-16*,11.0,TANSL
90,Total revenues,12  Mar-16*,4326.0,TANSL
91,Gross profit,12  Mar-16*,655.0,TANSL
92,Depreciation,12  Mar-16*,530.0,TANSL
93,Interest,12  Mar-16*,0.0,TANSL
94,Profit before tax,12  Mar-16*,137.0,TANSL
95,Minority Interest,12  Mar-16*,0.0,TANSL
96,Prior Period Items,12  Mar-16*,0.0,TANSL
97,Extraordinary Inc (Exp),12  Mar-16*,0.0,TANSL
98,Tax,12  Mar-16*,64.0,TANSL
99,Profit after tax,12  Mar-16*,72.0,TANSL
100,Gross profit margin,12  Mar-16*,15.2,TANSL
101,Effective tax rate,12  Mar-16*,47.0,TANSL
102,Net profit margin,12  Mar-16*,1.7,TANSL
103,Current assets,12  Mar-16*,1748,TANSL
104,Current liabilities,12  Mar-16*,982,TANSL
105,Net working cap to sales,12  Mar-16*,17.8,TANSL
106,Current ratio,12  Mar-16*,1.8,TANSL
107,Inventory Days,12  Mar-16*,25,TANSL
108,Debtors Days,12  Mar-16*,70,TANSL
109,Net fixed assets,12  Mar-16*,5543,TANSL
110,Share capital,12  Mar-16*,102,TANSL
111,"""Free"" reserves",12  Mar-16*,6447,TANSL
112,Net worth,12  Mar-16*,6548,TANSL
113,Long term debt,12  Mar-16*,0,TANSL
114,Total assets,12  Mar-16*,7532,TANSL
115,Interest coverage,12  Mar-16*,NM,TANSL
116,Debt to equity ratio,12  Mar-16*,0,TANSL
117,Sales to assets ratio,12  Mar-16*,0.6,TANSL
118,Return on assets,12  Mar-16*,1.0,TANSL
119,Return on equity,12  Mar-16*,1.1,TANSL
120,Return on capital,12  Mar-16*,2.1,TANSL
121,Exports to sales,12  Mar-16*,0,TANSL
122,Imports to sales,12  Mar-16*,0,TANSL
123,Exports (fob),12  Mar-16*,0,TANSL
124,Imports (cif),12  Mar-16*,0,TANSL
125,Fx inflow,12  Mar-16*,0,TANSL
126,Fx outflow,12  Mar-16*,0,TANSL
127,Net fx,12  Mar-16*,0,TANSL
128,From Operations,12  Mar-16*,927,TANSL
