,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,10288.0,TIIL
1,Other income,12  Mar-15*,146.0,TIIL
2,Total revenues,12  Mar-15*,10435.0,TIIL
3,Gross profit,12  Mar-15*,1347.0,TIIL
4,Depreciation,12  Mar-15*,319.0,TIIL
5,Interest,12  Mar-15*,86.0,TIIL
6,Profit before tax,12  Mar-15*,1089.0,TIIL
7,Minority Interest,12  Mar-15*,0.0,TIIL
8,Prior Period Items,12  Mar-15*,0.0,TIIL
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,TIIL
10,Tax,12  Mar-15*,336.0,TIIL
11,Profit after tax,12  Mar-15*,752.0,TIIL
12,Gross profit margin,12  Mar-15*,13.1,TIIL
13,Effective tax rate,12  Mar-15*,30.9,TIIL
14,Net profit margin,12  Mar-15*,7.3,TIIL
15,Current assets,12  Mar-15*,6037.0,TIIL
16,Current liabilities,12  Mar-15*,3418.0,TIIL
17,Net working cap to sales,12  Mar-15*,25.5,TIIL
18,Current ratio,12  Mar-15*,1.8,TIIL
19,Inventory Days,12  Mar-15*,81.0,TIIL
20,Debtors Days,12  Mar-15*,86.0,TIIL
21,Net fixed assets,12  Mar-15*,1571.0,TIIL
22,Share capital,12  Mar-15*,315.0,TIIL
23,"""Free"" reserves",12  Mar-15*,5873.0,TIIL
24,Net worth,12  Mar-15*,6209.0,TIIL
25,Long term debt,12  Mar-15*,148.0,TIIL
26,Total assets,12  Mar-15*,9909.0,TIIL
27,Interest coverage,12  Mar-15*,13.6,TIIL
28,Debt to equity ratio,12  Mar-15*,0.0,TIIL
29,Sales to assets ratio,12  Mar-15*,1.0,TIIL
30,Return on assets,12  Mar-15*,8.5,TIIL
31,Return on equity,12  Mar-15*,12.1,TIIL
32,Return on capital,12  Mar-15*,18.5,TIIL
33,Exports to sales,12  Mar-15*,59.6,TIIL
34,Imports to sales,12  Mar-15*,9.0,TIIL
35,Exports (fob),12  Mar-15*,6128.0,TIIL
36,Imports (cif),12  Mar-15*,926.0,TIIL
37,Fx inflow,12  Mar-15*,6128.0,TIIL
38,Fx outflow,12  Mar-15*,1068.0,TIIL
39,Net fx,12  Mar-15*,5059.0,TIIL
40,From Operations,12  Mar-15*,644.0,TIIL
41,From Investments,12  Mar-15*,-906.0,TIIL
42,From Financial Activity,12  Mar-15*,392.0,TIIL
43,Net Cashflow,12  Mar-15*,130.0,TIIL
44,Net Sales,12  Mar-16*,9211.0,TIIL
45,Other income,12  Mar-16*,168.0,TIIL
46,Total revenues,12  Mar-16*,9379.0,TIIL
47,Gross profit,12  Mar-16*,1503.0,TIIL
48,Depreciation,12  Mar-16*,260.0,TIIL
49,Interest,12  Mar-16*,99.0,TIIL
50,Profit before tax,12  Mar-16*,1312.0,TIIL
51,Minority Interest,12  Mar-16*,0.0,TIIL
52,Prior Period Items,12  Mar-16*,0.0,TIIL
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,TIIL
54,Tax,12  Mar-16*,415.0,TIIL
55,Profit after tax,12  Mar-16*,897.0,TIIL
56,Gross profit margin,12  Mar-16*,16.3,TIIL
57,Effective tax rate,12  Mar-16*,31.6,TIIL
58,Net profit margin,12  Mar-16*,9.7,TIIL
59,Current assets,12  Mar-16*,6828.0,TIIL
60,Current liabilities,12  Mar-16*,3799.0,TIIL
61,Net working cap to sales,12  Mar-16*,32.9,TIIL
62,Current ratio,12  Mar-16*,1.8,TIIL
63,Inventory Days,12  Mar-16*,85.0,TIIL
64,Debtors Days,12  Mar-16*,72.0,TIIL
65,Net fixed assets,12  Mar-16*,1787.0,TIIL
66,Share capital,12  Mar-16*,263.0,TIIL
67,"""Free"" reserves",12  Mar-16*,5305.0,TIIL
68,Net worth,12  Mar-16*,5597.0,TIIL
69,Long term debt,12  Mar-16*,270.0,TIIL
70,Total assets,12  Mar-16*,9832.0,TIIL
71,Interest coverage,12  Mar-16*,14.3,TIIL
72,Debt to equity ratio,12  Mar-16*,0.0,TIIL
73,Sales to assets ratio,12  Mar-16*,0.9,TIIL
74,Return on assets,12  Mar-16*,10.1,TIIL
75,Return on equity,12  Mar-16*,16.0,TIIL
76,Return on capital,12  Mar-16*,24.0,TIIL
77,Exports to sales,12  Mar-16*,65.3,TIIL
78,Imports to sales,12  Mar-16*,2.3,TIIL
79,Exports (fob),12  Mar-16*,6019.0,TIIL
80,Imports (cif),12  Mar-16*,215.0,TIIL
81,Fx inflow,12  Mar-16*,6019.0,TIIL
82,Fx outflow,12  Mar-16*,357.0,TIIL
83,Net fx,12  Mar-16*,5662.0,TIIL
84,From Operations,12  Mar-16*,1245.0,TIIL
85,From Investments,12  Mar-16*,-424.0,TIIL
86,From Financial Activity,12  Mar-16*,-464.0,TIIL
87,Net Cashflow,12  Mar-16*,357.0,TIIL
88,Net Sales,12  Mar-17*,9359.0,TIIL
89,Other income,12  Mar-17*,412.0,TIIL
90,Total revenues,12  Mar-17*,9771.0,TIIL
