,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-16*,1063399.0,TISCO
1,Other income,12  Mar-16*,4122.0,TISCO
2,Total revenues,12  Mar-16*,1067521.0,TISCO
3,Gross profit,12  Mar-16*,78579.0,TISCO
4,Depreciation,12  Mar-16*,53064.0,TISCO
5,Interest,12  Mar-16*,42214.0,TISCO
6,Profit before tax,12  Mar-16*,-12576.0,TISCO
7,Minority Interest,12  Mar-16*,0.0,TISCO
8,Prior Period Items,12  Mar-16*,0.0,TISCO
9,Extraordinary Inc (Exp),12  Mar-16*,39904.0,TISCO
10,Tax,12  Mar-16*,6900.0,TISCO
11,Profit after tax,12  Mar-16*,20428.0,TISCO
12,Gross profit margin,12  Mar-16*,7.4,TISCO
13,Effective tax rate,12  Mar-16*,-54.9,TISCO
14,Net profit margin,12  Mar-16*,1.9,TISCO
15,Current assets,12  Mar-16*,457659.0,TISCO
16,Current liabilities,12  Mar-16*,479540.0,TISCO
17,Net working cap to sales,12  Mar-16*,-2.1,TISCO
18,Current ratio,12  Mar-16*,1.0,TISCO
19,Inventory Days,12  Mar-16*,69.0,TISCO
20,Debtors Days,12  Mar-16*,41.0,TISCO
21,Net fixed assets,12  Mar-16*,1081959.0,TISCO
22,Share capital,12  Mar-16*,9702.0,TISCO
23,"""Free"" reserves",12  Mar-16*,404873.0,TISCO
24,Net worth,12  Mar-16*,414576.0,TISCO
25,Long term debt,12  Mar-16*,648728.0,TISCO
26,Total assets,12  Mar-16*,1775114.0,TISCO
27,Interest coverage,12  Mar-16*,0.7,TISCO
28,Debt to equity ratio,12  Mar-16*,1.6,TISCO
29,Sales to assets ratio,12  Mar-16*,0.6,TISCO
30,Return on assets,12  Mar-16*,3.5,TISCO
31,Return on equity,12  Mar-16*,4.9,TISCO
32,Return on capital,12  Mar-16*,6.5,TISCO
33,Exports to sales,12  Mar-16*,0.9,TISCO
34,Imports to sales,12  Mar-16*,6.0,TISCO
35,Exports (fob),12  Mar-16*,10014.0,TISCO
36,Imports (cif),12  Mar-16*,63704.0,TISCO
37,Fx inflow,12  Mar-16*,10896.0,TISCO
38,Fx outflow,12  Mar-16*,69146.0,TISCO
39,Net fx,12  Mar-16*,-58250.0,TISCO
40,From Operations,12  Mar-16*,114554.0,TISCO
41,From Investments,12  Mar-16*,-92538.0,TISCO
42,From Financial Activity,12  Mar-16*,-47291.0,TISCO
43,Net Cashflow,12  Mar-16*,-20681.0,TISCO
44,Net Sales,12  Mar-17*,1121520.0,TISCO
45,Other income,12  Mar-17*,5275.0,TISCO
46,Total revenues,12  Mar-17*,1126795.0,TISCO
47,Gross profit,12  Mar-17*,170155.0,TISCO
48,Depreciation,12  Mar-17*,56729.0,TISCO
49,Interest,12  Mar-17*,50722.0,TISCO
50,Profit before tax,12  Mar-17*,67979.0,TISCO
51,Minority Interest,12  Mar-17*,0.0,TISCO
52,Prior Period Items,12  Mar-17*,0.0,TISCO
53,Extraordinary Inc (Exp),12  Mar-17*,-43242.0,TISCO
54,Tax,12  Mar-17*,27780.0,TISCO
55,Profit after tax,12  Mar-17*,-3044.0,TISCO
56,Gross profit margin,12  Mar-17*,15.2,TISCO
57,Effective tax rate,12  Mar-17*,40.9,TISCO
58,Net profit margin,12  Mar-17*,-0.3,TISCO
59,Current assets,12  Mar-17*,499436.0,TISCO
60,Current liabilities,12  Mar-17*,500513.0,TISCO
61,Net working cap to sales,12  Mar-17*,-0.1,TISCO
62,Current ratio,12  Mar-17*,1.0,TISCO
63,Inventory Days,12  Mar-17*,81.0,TISCO
64,Debtors Days,12  Mar-17*,38.0,TISCO
65,Net fixed assets,12  Mar-17*,1077907.0,TISCO
66,Share capital,12  Mar-17*,9702.0,TISCO
67,"""Free"" reserves",12  Mar-17*,345741.0,TISCO
68,Net worth,12  Mar-17*,355443.0,TISCO
69,Long term debt,12  Mar-17*,640223.0,TISCO
70,Total assets,12  Mar-17*,1733332.0,TISCO
71,Interest coverage,12  Mar-17*,2.3,TISCO
72,Debt to equity ratio,12  Mar-17*,1.8,TISCO
73,Sales to assets ratio,12  Mar-17*,0.6,TISCO
74,Return on assets,12  Mar-17*,2.8,TISCO
