,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15,13883.0,TKPR
1,Other income,12  Mar-15,51.0,TKPR
2,Total revenues,12  Mar-15,13934.0,TKPR
3,Gross profit,12  Mar-15,1492.0,TKPR
4,Depreciation,12  Mar-15,190.0,TKPR
5,Interest,12  Mar-15,45.0,TKPR
6,Profit before tax,12  Mar-15,1309.0,TKPR
7,Minority Interest,12  Mar-15,0.0,TKPR
8,Prior Period Items,12  Mar-15,0.0,TKPR
9,Extraordinary Inc (Exp),12  Mar-15,24.0,TKPR
10,Tax,12  Mar-15,410.0,TKPR
11,Profit after tax,12  Mar-15,923.0,TKPR
12,Gross profit margin,12  Mar-15,10.7,TKPR
13,Effective tax rate,12  Mar-15,31.3,TKPR
14,Net profit margin,12  Mar-15,6.6,TKPR
15,Current assets,12  Mar-15,5251.0,TKPR
16,Current liabilities,12  Mar-15,2154.0,TKPR
17,Net working cap to sales,12  Mar-15,22.3,TKPR
18,Current ratio,12  Mar-15,2.4,TKPR
19,Inventory Days,12  Mar-15,72.0,TKPR
20,Debtors Days,12  Mar-15,419.0,TKPR
21,Net fixed assets,12  Mar-15,3392.0,TKPR
22,Share capital,12  Mar-15,117.0,TKPR
23,"""Free"" reserves",12  Mar-15,6314.0,TKPR
24,Net worth,12  Mar-15,6460.0,TKPR
25,Long term debt,12  Mar-15,0.0,TKPR
26,Total assets,12  Mar-15,8959.0,TKPR
27,Interest coverage,12  Mar-15,30.3,TKPR
28,Debt to equity ratio,12  Mar-15,0.0,TKPR
29,Sales to assets ratio,12  Mar-15,1.5,TKPR
30,Return on assets,12  Mar-15,10.8,TKPR
31,Return on equity,12  Mar-15,14.3,TKPR
32,Return on capital,12  Mar-15,21.3,TKPR
33,Exports to sales,12  Mar-15,3.8,TKPR
34,Imports to sales,12  Mar-15,13.4,TKPR
35,Exports (fob),12  Mar-15,528.0,TKPR
36,Imports (cif),12  Mar-15,1865.0,TKPR
37,Fx inflow,12  Mar-15,528.0,TKPR
38,Fx outflow,12  Mar-15,1898.0,TKPR
39,Net fx,12  Mar-15,-1371.0,TKPR
40,From Operations,12  Mar-15,675.0,TKPR
41,From Investments,12  Mar-15,-125.0,TKPR
42,From Financial Activity,12  Mar-15,-586.0,TKPR
43,Net Cashflow,12  Mar-15,-37.0,TKPR
44,Net Sales,12  Mar-16,15251.0,TKPR
45,Other income,12  Mar-16,96.0,TKPR
46,Total revenues,12  Mar-16,15347.0,TKPR
47,Gross profit,12  Mar-16,1825.0,TKPR
48,Depreciation,12  Mar-16,209.0,TKPR
49,Interest,12  Mar-16,18.0,TKPR
50,Profit before tax,12  Mar-16,1693.0,TKPR
51,Minority Interest,12  Mar-16,0.0,TKPR
52,Prior Period Items,12  Mar-16,0.0,TKPR
53,Extraordinary Inc (Exp),12  Mar-16,-37.0,TKPR
54,Tax,12  Mar-16,508.0,TKPR
55,Profit after tax,12  Mar-16,1148.0,TKPR
56,Gross profit margin,12  Mar-16,12.0,TKPR
57,Effective tax rate,12  Mar-16,30.0,TKPR
58,Net profit margin,12  Mar-16,7.5,TKPR
59,Current assets,12  Mar-16,6276.0,TKPR
60,Current liabilities,12  Mar-16,2357.0,TKPR
61,Net working cap to sales,12  Mar-16,25.7,TKPR
62,Current ratio,12  Mar-16,2.7,TKPR
