,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,46535.0,TORR
1,Other income,12  Mar-15*,2856.0,TORR
2,Total revenues,12  Mar-15*,49390.0,TORR
3,Gross profit,12  Mar-15*,10202.0,TORR
4,Depreciation,12  Mar-15*,1907.0,TORR
5,Interest,12  Mar-15*,1752.0,TORR
6,Profit before tax,12  Mar-15*,9398.0,TORR
7,Minority Interest,12  Mar-15*,0.0,TORR
8,Prior Period Items,12  Mar-15*,0.0,TORR
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,TORR
10,Tax,12  Mar-15*,1888.0,TORR
11,Profit after tax,12  Mar-15*,7509.0,TORR
12,Gross profit margin,12  Mar-15*,21.9,TORR
13,Effective tax rate,12  Mar-15*,20.1,TORR
14,Net profit margin,12  Mar-15*,16.1,TORR
15,Current assets,12  Mar-15*,40983.0,TORR
16,Current liabilities,12  Mar-15*,27046.0,TORR
17,Net working cap to sales,12  Mar-15*,30.0,TORR
18,Current ratio,12  Mar-15*,1.5,TORR
19,Inventory Days,12  Mar-15*,84.0,TORR
20,Debtors Days,12  Mar-15*,125.0,TORR
21,Net fixed assets,12  Mar-15*,34720.0,TORR
22,Share capital,12  Mar-15*,846.0,TORR
23,"""Free"" reserves",12  Mar-15*,25583.0,TORR
24,Net worth,12  Mar-15*,26430.0,TORR
25,Long term debt,12  Mar-15*,21729.0,TORR
26,Total assets,12  Mar-15*,79641.0,TORR
27,Interest coverage,12  Mar-15*,6.4,TORR
28,Debt to equity ratio,12  Mar-15*,0.8,TORR
29,Sales to assets ratio,12  Mar-15*,0.6,TORR
30,Return on assets,12  Mar-15*,11.6,TORR
31,Return on equity,12  Mar-15*,28.4,TORR
32,Return on capital,12  Mar-15*,23.2,TORR
33,Exports to sales,12  Mar-15*,30.4,TORR
34,Imports to sales,12  Mar-15*,6.0,TORR
35,Exports (fob),12  Mar-15*,14136.0,TORR
36,Imports (cif),12  Mar-15*,2801.0,TORR
37,Fx inflow,12  Mar-15*,14265.0,TORR
38,Fx outflow,12  Mar-15*,5184.0,TORR
39,Net fx,12  Mar-15*,9081.0,TORR
40,From Operations,12  Mar-15*,8102.0,TORR
41,From Investments,12  Mar-15*,-21623.0,TORR
42,From Financial Activity,12  Mar-15*,12123.0,TORR
43,Net Cashflow,12  Mar-15*,-1399.0,TORR
44,Net Sales,12  Mar-16*,66764.0,TORR
45,Other income,12  Mar-16*,2256.0,TORR
46,Total revenues,12  Mar-16*,69020.0,TORR
47,Gross profit,12  Mar-16*,27330.0,TORR
48,Depreciation,12  Mar-16*,2376.0,TORR
49,Interest,12  Mar-16*,1840.0,TORR
50,Profit before tax,12  Mar-16*,25371.0,TORR
51,Minority Interest,12  Mar-16*,0.0,TORR
52,Prior Period Items,12  Mar-16*,0.0,TORR
53,Extraordinary Inc (Exp),12  Mar-16*,-1936.0,TORR
54,Tax,12  Mar-16*,6102.0,TORR
55,Profit after tax,12  Mar-16*,17333.0,TORR
56,Gross profit margin,12  Mar-16*,40.9,TORR
57,Effective tax rate,12  Mar-16*,24.1,TORR
58,Net profit margin,12  Mar-16*,26.0,TORR
59,Current assets,12  Mar-16*,46882.0,TORR
60,Current liabilities,12  Mar-16*,32855.0,TORR
61,Net working cap to sales,12  Mar-16*,21.0,TORR
62,Current ratio,12  Mar-16*,1.4,TORR
63,Inventory Days,12  Mar-16*,74.0,TORR
64,Debtors Days,12  Mar-16*,79.0,TORR
65,Net fixed assets,12  Mar-16*,39007.0,TORR
66,Share capital,12  Mar-16*,846.0,TORR
67,"""Free"" reserves",12  Mar-16*,34095.0,TORR
