,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,22843.0,TRENT
1,Other income,12  Mar-15*,972.0,TRENT
2,Total revenues,12  Mar-15*,23815.0,TRENT
3,Gross profit,12  Mar-15*,720.0,TRENT
4,Depreciation,12  Mar-15*,743.0,TRENT
5,Interest,12  Mar-15*,107.0,TRENT
6,Profit before tax,12  Mar-15*,841.0,TRENT
7,Minority Interest,12  Mar-15*,1.0,TRENT
8,Prior Period Items,12  Mar-15*,0.0,TRENT
9,Extraordinary Inc (Exp),12  Mar-15*,1152.0,TRENT
10,Tax,12  Mar-15*,701.0,TRENT
11,Profit after tax,12  Mar-15*,1293.0,TRENT
12,Gross profit margin,12  Mar-15*,3.2,TRENT
13,Effective tax rate,12  Mar-15*,83.3,TRENT
14,Net profit margin,12  Mar-15*,5.7,TRENT
15,Current assets,12  Mar-15*,4882.0,TRENT
16,Current liabilities,12  Mar-15*,4649.0,TRENT
17,Net working cap to sales,12  Mar-15*,1.0,TRENT
18,Current ratio,12  Mar-15*,1.0,TRENT
19,Inventory Days,12  Mar-15*,42.0,TRENT
20,Debtors Days,12  Mar-15*,2.0,TRENT
21,Net fixed assets,12  Mar-15*,4517.0,TRENT
22,Share capital,12  Mar-15*,332.0,TRENT
23,"""Free"" reserves",12  Mar-15*,14534.0,TRENT
24,Net worth,12  Mar-15*,14867.0,TRENT
25,Long term debt,12  Mar-15*,914.0,TRENT
26,Total assets,12  Mar-15*,20596.0,TRENT
27,Interest coverage,12  Mar-15*,8.8,TRENT
28,Debt to equity ratio,12  Mar-15*,0.1,TRENT
29,Sales to assets ratio,12  Mar-15*,1.1,TRENT
30,Return on assets,12  Mar-15*,6.8,TRENT
31,Return on equity,12  Mar-15*,8.7,TRENT
32,Return on capital,12  Mar-15*,13.3,TRENT
33,Exports to sales,12  Mar-15*,0.0,TRENT
34,Imports to sales,12  Mar-15*,3.0,TRENT
35,Exports (fob),12  Mar-15*,0.0,TRENT
36,Imports (cif),12  Mar-15*,683.0,TRENT
37,Fx inflow,12  Mar-15*,252.0,TRENT
38,Fx outflow,12  Mar-15*,776.0,TRENT
39,Net fx,12  Mar-15*,-524.0,TRENT
40,From Operations,12  Mar-15*,-101.0,TRENT
41,From Investments,12  Mar-15*,-3040.0,TRENT
42,From Financial Activity,12  Mar-15*,3099.0,TRENT
43,Net Cashflow,12  Mar-15*,-43.0,TRENT
44,Net Sales,12  Mar-16*,15893.0,TRENT
45,Other income,12  Mar-16*,573.0,TRENT
46,Total revenues,12  Mar-16*,16466.0,TRENT
47,Gross profit,12  Mar-16*,928.0,TRENT
48,Depreciation,12  Mar-16*,386.0,TRENT
49,Interest,12  Mar-16*,376.0,TRENT
50,Profit before tax,12  Mar-16*,739.0,TRENT
51,Minority Interest,12  Mar-16*,79.0,TRENT
52,Prior Period Items,12  Mar-16*,0.0,TRENT
53,Extraordinary Inc (Exp),12  Mar-16*,113.0,TRENT
54,Tax,12  Mar-16*,347.0,TRENT
55,Profit after tax,12  Mar-16*,585.0,TRENT
56,Gross profit margin,12  Mar-16*,5.8,TRENT
57,Effective tax rate,12  Mar-16*,46.9,TRENT
58,Net profit margin,12  Mar-16*,3.7,TRENT
59,Current assets,12  Mar-16*,5082.0,TRENT
60,Current liabilities,12  Mar-16*,5736.0,TRENT
61,Net working cap to sales,12  Mar-16*,-4.1,TRENT
62,Current ratio,12  Mar-16*,0.9,TRENT
63,Inventory Days,12  Mar-16*,64.0,TRENT
64,Debtors Days,12  Mar-16*,3.0,TRENT
65,Net fixed assets,12  Mar-16*,5317.0,TRENT
66,Share capital,12  Mar-16*,332.0,TRENT
67,"""Free"" reserves",12  Mar-16*,14312.0,TRENT
68,Net worth,12  Mar-16*,14644.0,TRENT
69,Long term debt,12  Mar-16*,960.0,TRENT
70,Total assets,12  Mar-16*,21566.0,TRENT
71,Interest coverage,12  Mar-16*,3.0,TRENT
72,Debt to equity ratio,12  Mar-16*,0.1,TRENT
73,Sales to assets ratio,12  Mar-16*,0.7,TRENT
74,Return on assets,12  Mar-16*,4.5,TRENT
75,Return on equity,12  Mar-16*,4.0,TRENT
76,Return on capital,12  Mar-16*,8.4,TRENT
77,Exports to sales,12  Mar-16*,0.0,TRENT
78,Imports to sales,12  Mar-16*,5.1,TRENT
79,Exports (fob),12  Mar-16*,0.0,TRENT
