,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,53044.0,TRMX
1,Other income,12  Mar-15*,1230.0,TRMX
2,Total revenues,12  Mar-15*,54275.0,TRMX
3,Gross profit,12  Mar-15*,4614.0,TRMX
4,Depreciation,12  Mar-15*,1341.0,TRMX
5,Interest,12  Mar-15*,820.0,TRMX
6,Profit before tax,12  Mar-15*,3684.0,TRMX
7,Minority Interest,12  Mar-15*,616.0,TRMX
8,Prior Period Items,12  Mar-15*,0.0,TRMX
9,Extraordinary Inc (Exp),12  Mar-15*,-494.0,TRMX
10,Tax,12  Mar-15*,1708.0,TRMX
11,Profit after tax,12  Mar-15*,2098.0,TRMX
12,Gross profit margin,12  Mar-15*,8.7,TRMX
13,Effective tax rate,12  Mar-15*,46.4,TRMX
14,Net profit margin,12  Mar-15*,4.0,TRMX
15,Current assets,12  Mar-15*,38312.0,TRMX
16,Current liabilities,12  Mar-15*,28783.0,TRMX
17,Net working cap to sales,12  Mar-15*,18.0,TRMX
18,Current ratio,12  Mar-15*,1.3,TRMX
19,Inventory Days,12  Mar-15*,26.0,TRMX
20,Debtors Days,12  Mar-15*,106.0,TRMX
21,Net fixed assets,12  Mar-15*,6876.0,TRMX
22,Share capital,12  Mar-15*,225.0,TRMX
23,"""Free"" reserves",12  Mar-15*,21851.0,TRMX
24,Net worth,12  Mar-15*,22076.0,TRMX
25,Long term debt,12  Mar-15*,524.0,TRMX
26,Total assets,12  Mar-15*,52279.0,TRMX
27,Interest coverage,12  Mar-15*,5.5,TRMX
28,Debt to equity ratio,12  Mar-15*,0.0,TRMX
29,Sales to assets ratio,12  Mar-15*,1.0,TRMX
30,Return on assets,12  Mar-15*,5.6,TRMX
31,Return on equity,12  Mar-15*,9.5,TRMX
32,Return on capital,12  Mar-15*,20.5,TRMX
33,Exports to sales,12  Mar-15*,18.7,TRMX
34,Imports to sales,12  Mar-15*,5.4,TRMX
35,Exports (fob),12  Mar-15*,9931.0,TRMX
36,Imports (cif),12  Mar-15*,2850.0,TRMX
37,Fx inflow,12  Mar-15*,10261.0,TRMX
38,Fx outflow,12  Mar-15*,3889.0,TRMX
39,Net fx,12  Mar-15*,6372.0,TRMX
40,From Operations,12  Mar-15*,3108.0,TRMX
41,From Investments,12  Mar-15*,796.0,TRMX
42,From Financial Activity,12  Mar-15*,-3512.0,TRMX
43,Net Cashflow,12  Mar-15*,391.0,TRMX
44,Net Sales,12  Mar-16*,51450.0,TRMX
45,Other income,12  Mar-16*,1224.0,TRMX
46,Total revenues,12  Mar-16*,52674.0,TRMX
47,Gross profit,12  Mar-16*,4892.0,TRMX
48,Depreciation,12  Mar-16*,722.0,TRMX
49,Interest,12  Mar-16*,722.0,TRMX
50,Profit before tax,12  Mar-16*,4671.0,TRMX
51,Minority Interest,12  Mar-16*,-409.0,TRMX
52,Prior Period Items,12  Mar-16*,0.0,TRMX
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,TRMX
54,Tax,12  Mar-16*,1439.0,TRMX
55,Profit after tax,12  Mar-16*,2823.0,TRMX
56,Gross profit margin,12  Mar-16*,9.5,TRMX
57,Effective tax rate,12  Mar-16*,30.8,TRMX
58,Net profit margin,12  Mar-16*,5.5,TRMX
59,Current assets,12  Mar-16*,36100.0,TRMX
60,Current liabilities,12  Mar-16*,26153.0,TRMX
61,Net working cap to sales,12  Mar-16*,19.3,TRMX
62,Current ratio,12  Mar-16*,1.4,TRMX
63,Inventory Days,12  Mar-16*,21.0,TRMX
64,Debtors Days,12  Mar-16*,95.0,TRMX
65,Net fixed assets,12  Mar-16*,7173.0,TRMX
66,Share capital,12  Mar-16*,225.0,TRMX
67,"""Free"" reserves",12  Mar-16*,23936.0,TRMX
68,Net worth,12  Mar-16*,24162.0,TRMX
69,Long term debt,12  Mar-16*,342.0,TRMX
70,Total assets,12  Mar-16*,51810.0,TRMX
71,Interest coverage,12  Mar-16*,7.5,TRMX
72,Debt to equity ratio,12  Mar-16*,0.0,TRMX
73,Sales to assets ratio,12  Mar-16*,1.0,TRMX
74,Return on assets,12  Mar-16*,6.8,TRMX
75,Return on equity,12  Mar-16*,11.7,TRMX
76,Return on capital,12  Mar-16*,20.3,TRMX
77,Exports to sales,12  Mar-16*,27.5,TRMX
78,Imports to sales,12  Mar-16*,4.6,TRMX
79,Exports (fob),12  Mar-16*,14141.0,TRMX
80,Imports (cif),12  Mar-16*,2384.0,TRMX
81,Fx inflow,12  Mar-16*,14374.0,TRMX
82,Fx outflow,12  Mar-16*,3276.0,TRMX
83,Net fx,12  Mar-16*,11098.0,TRMX
84,From Operations,12  Mar-16*,2526.0,TRMX
85,From Investments,12  Mar-16*,-1458.0,TRMX
86,From Financial Activity,12  Mar-16*,-1123.0,TRMX
87,Net Cashflow,12  Mar-16*,132.0,TRMX
88,Net Sales,12  Mar-17*,44831.0,TRMX
89,Other income,12  Mar-17*,1141.0,TRMX
90,Total revenues,12  Mar-17*,45971.0,TRMX
91,Gross profit,12  Mar-17*,4330.0,TRMX
92,Depreciation,12  Mar-17*,819.0,TRMX
93,Interest,12  Mar-17*,97.0,TRMX
