,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,10723.0,TUMI
1,Other income,12  Mar-15*,77.0,TUMI
2,Total revenues,12  Mar-15*,10799.0,TUMI
3,Gross profit,12  Mar-15*,381.0,TUMI
4,Depreciation,12  Mar-15*,178.0,TUMI
5,Interest,12  Mar-15*,347.0,TUMI
6,Profit before tax,12  Mar-15*,-68.0,TUMI
7,Minority Interest,12  Mar-15*,0.0,TUMI
8,Prior Period Items,12  Mar-15*,-18.0,TUMI
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,TUMI
10,Tax,12  Mar-15*,51.0,TUMI
11,Profit after tax,12  Mar-15*,-137.0,TUMI
12,Gross profit margin,12  Mar-15*,3.5,TUMI
13,Effective tax rate,12  Mar-15*,-75.6,TUMI
14,Net profit margin,12  Mar-15*,-1.3,TUMI
15,Current assets,12  Mar-15*,2755.0,TUMI
16,Current liabilities,12  Mar-15*,2874.0,TUMI
17,Net working cap to sales,12  Mar-15*,-1.1,TUMI
18,Current ratio,12  Mar-15*,1.0,TUMI
19,Inventory Days,12  Mar-15*,33.0,TUMI
20,Debtors Days,12  Mar-15*,52.0,TUMI
21,Net fixed assets,12  Mar-15*,2499.0,TUMI
22,Share capital,12  Mar-15*,102.0,TUMI
23,"""Free"" reserves",12  Mar-15*,1262.0,TUMI
24,Net worth,12  Mar-15*,1931.0,TUMI
25,Long term debt,12  Mar-15*,388.0,TUMI
26,Total assets,12  Mar-15*,5468.0,TUMI
27,Interest coverage,12  Mar-15*,0.8,TUMI
28,Debt to equity ratio,12  Mar-15*,0.2,TUMI
29,Sales to assets ratio,12  Mar-15*,2.0,TUMI
30,Return on assets,12  Mar-15*,3.8,TUMI
31,Return on equity,12  Mar-15*,-7.1,TUMI
32,Return on capital,12  Mar-15*,11.3,TUMI
33,Exports to sales,12  Mar-15*,9.8,TUMI
34,Imports to sales,12  Mar-15*,3.1,TUMI
35,Exports (fob),12  Mar-15*,1055.0,TUMI
36,Imports (cif),12  Mar-15*,335.0,TUMI
37,Fx inflow,12  Mar-15*,1100.0,TUMI
38,Fx outflow,12  Mar-15*,371.0,TUMI
39,Net fx,12  Mar-15*,730.0,TUMI
40,From Operations,12  Mar-15*,1536.0,TUMI
41,From Investments,12  Mar-15*,-192.0,TUMI
42,From Financial Activity,12  Mar-15*,-1422.0,TUMI
43,Net Cashflow,12  Mar-15*,-79.0,TUMI
44,Net Sales,12  Mar-16*,9442.0,TUMI
