,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14*,3894.0,TVTD
1,Other income,12  Mar-14*,117.0,TVTD
2,Total revenues,12  Mar-14*,4012.0,TVTD
3,Gross profit,12  Mar-14*,1093.0,TVTD
4,Depreciation,12  Mar-14*,242.0,TVTD
5,Interest,12  Mar-14*,36.0,TVTD
6,Profit before tax,12  Mar-14*,932.0,TVTD
7,Minority Interest,12  Mar-14*,0.0,TVTD
8,Prior Period Items,12  Mar-14*,0.0,TVTD
9,Extraordinary Inc (Exp),12  Mar-14*,0.0,TVTD
10,Tax,12  Mar-14*,319.0,TVTD
11,Profit after tax,12  Mar-14*,613.0,TVTD
12,Gross profit margin,12  Mar-14*,28.1,TVTD
13,Effective tax rate,12  Mar-14*,34.2,TVTD
14,Net profit margin,12  Mar-14*,15.7,TVTD
15,Current assets,12  Mar-14*,2148.0,TVTD
16,Current liabilities,12  Mar-14*,1072.0,TVTD
17,Net working cap to sales,12  Mar-14*,27.7,TVTD
18,Current ratio,12  Mar-14*,2.0,TVTD
19,Inventory Days,12  Mar-14*,0.0,TVTD
20,Debtors Days,12  Mar-14*,103.0,TVTD
21,Net fixed assets,12  Mar-14*,2170.0,TVTD
22,Share capital,12  Mar-14*,297.0,TVTD
23,"""Free"" reserves",12  Mar-14*,3491.0,TVTD
24,Net worth,12  Mar-14*,3791.0,TVTD
25,Long term debt,12  Mar-14*,0.0,TVTD
26,Total assets,12  Mar-14*,4987.0,TVTD
27,Interest coverage,12  Mar-14*,27.0,TVTD
28,Debt to equity ratio,12  Mar-14*,0.0,TVTD
29,Sales to assets ratio,12  Mar-14*,0.8,TVTD
30,Return on assets,12  Mar-14*,13.0,TVTD
31,Return on equity,12  Mar-14*,16.2,TVTD
32,Return on capital,12  Mar-14*,25.5,TVTD
33,Exports to sales,12  Mar-14*,0.0,TVTD
34,Imports to sales,12  Mar-14*,0.3,TVTD
35,Exports (fob),12  Mar-14*,0.0,TVTD
36,Imports (cif),12  Mar-14*,13.0,TVTD
37,Fx inflow,12  Mar-14*,106.0,TVTD
38,Fx outflow,12  Mar-14*,147.0,TVTD
39,Net fx,12  Mar-14*,-41.0,TVTD
40,From Operations,12  Mar-14*,805.0,TVTD
41,From Investments,12  Mar-14*,-30.0,TVTD
42,From Financial Activity,12  Mar-14*,-515.0,TVTD
43,Net Cashflow,12  Mar-14*,259.0,TVTD
44,Net Sales,12  Mar-15*,4766.0,TVTD
45,Other income,12  Mar-15*,227.0,TVTD
46,Total revenues,12  Mar-15*,4993.0,TVTD
47,Gross profit,12  Mar-15*,1317.0,TVTD
48,Depreciation,12  Mar-15*,300.0,TVTD
49,Interest,12  Mar-15*,15.0,TVTD
50,Profit before tax,12  Mar-15*,1229.0,TVTD
51,Minority Interest,12  Mar-15*,0.0,TVTD
52,Prior Period Items,12  Mar-15*,0.0,TVTD
53,Extraordinary Inc (Exp),12  Mar-15*,0.0,TVTD
