,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,170.0,TXML
1,Other income,12  Mar-15*,57.0,TXML
2,Total revenues,12  Mar-15*,227.0,TXML
3,Gross profit,12  Mar-15*,55.0,TXML
4,Depreciation,12  Mar-15*,25.0,TXML
5,Interest,12  Mar-15*,0.0,TXML
6,Profit before tax,12  Mar-15*,87.0,TXML
7,Minority Interest,12  Mar-15*,0.0,TXML
8,Prior Period Items,12  Mar-15*,33.0,TXML
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,TXML
10,Tax,12  Mar-15*,23.0,TXML
11,Profit after tax,12  Mar-15*,97.0,TXML
12,Gross profit margin,12  Mar-15*,32.5,TXML
13,Effective tax rate,12  Mar-15*,26.2,TXML
14,Net profit margin,12  Mar-15*,57.2,TXML
15,Current assets,12  Mar-15*,957.0,TXML
16,Current liabilities,12  Mar-15*,28.0,TXML
17,Net working cap to sales,12  Mar-15*,547.7,TXML
18,Current ratio,12  Mar-15*,34.2,TXML
19,Inventory Days,12  Mar-15*,0.0,TXML
20,Debtors Days,12  Mar-15*,66.0,TXML
21,Net fixed assets,12  Mar-15*,1445.0,TXML
22,Share capital,12  Mar-15*,127.0,TXML
23,"""Free"" reserves",12  Mar-15*,5490.0,TXML
24,Net worth,12  Mar-15*,5618.0,TXML
25,Long term debt,12  Mar-15*,0.0,TXML
26,Total assets,12  Mar-15*,5789.0,TXML
27,Interest coverage,12  Mar-15*,291.0,TXML
28,Debt to equity ratio,12  Mar-15*,0.0,TXML
29,Sales to assets ratio,12  Mar-15*,0.0,TXML
30,Return on assets,12  Mar-15*,1.7,TXML
31,Return on equity,12  Mar-15*,1.7,TXML
32,Return on capital,12  Mar-15*,2.1,TXML
33,Exports to sales,12  Mar-15*,0.0,TXML
34,Imports to sales,12  Mar-15*,0.0,TXML
35,Exports (fob),12  Mar-15*,0.0,TXML
36,Imports (cif),12  Mar-15*,0.0,TXML
37,Fx inflow,12  Mar-15*,0.0,TXML
38,Fx outflow,12  Mar-15*,0.0,TXML
39,Net fx,12  Mar-15*,0.0,TXML
40,From Operations,12  Mar-15*,61.0,TXML
41,From Investments,12  Mar-15*,-34.0,TXML
42,From Financial Activity,12  Mar-15*,-23.0,TXML
43,Net Cashflow,12  Mar-15*,4.0,TXML
44,Net Sales,12  Mar-16*,203.0,TXML
45,Other income,12  Mar-16*,116.0,TXML
46,Total revenues,12  Mar-16*,320.0,TXML
47,Gross profit,12  Mar-16*,81.0,TXML
48,Depreciation,12  Mar-16*,25.0,TXML
49,Interest,12  Mar-16*,6.0,TXML
50,Profit before tax,12  Mar-16*,166.0,TXML
51,Minority Interest,12  Mar-16*,0.0,TXML
52,Prior Period Items,12  Mar-16*,0.0,TXML
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,TXML
54,Tax,12  Mar-16*,4.0,TXML
55,Profit after tax,12  Mar-16*,163.0,TXML
56,Gross profit margin,12  Mar-16*,40.0,TXML
57,Effective tax rate,12  Mar-16*,2.3,TXML
58,Net profit margin,12  Mar-16*,79.9,TXML
59,Current assets,12  Mar-16*,1056.0,TXML
60,Current liabilities,12  Mar-16*,31.0,TXML
61,Net working cap to sales,12  Mar-16*,504.4,TXML
62,Current ratio,12  Mar-16*,34.6,TXML
63,Inventory Days,12  Mar-16*,0.0,TXML
64,Debtors Days,12  Mar-16*,46.0,TXML
65,Net fixed assets,12  Mar-16*,1453.0,TXML
66,Share capital,12  Mar-16*,127.0,TXML
67,"""Free"" reserves",12  Mar-16*,5530.0,TXML
68,Net worth,12  Mar-16*,5657.0,TXML
69,Long term debt,12  Mar-16*,2.0,TXML
70,Total assets,12  Mar-16*,5836.0,TXML
71,Interest coverage,12  Mar-16*,27.8,TXML
72,Debt to equity ratio,12  Mar-16*,0.0,TXML
73,Sales to assets ratio,12  Mar-16*,0.0,TXML
74,Return on assets,12  Mar-16*,2.9,TXML
75,Return on equity,12  Mar-16*,2.9,TXML
76,Return on capital,12  Mar-16*,3.0,TXML
77,Exports to sales,12  Mar-16*,0.0,TXML
78,Imports to sales,12  Mar-16*,0.0,TXML
79,Exports (fob),12  Mar-16*,0.0,TXML
80,Imports (cif),12  Mar-16*,0.0,TXML
81,Fx inflow,12  Mar-16*,0.0,TXML
82,Fx outflow,12  Mar-16*,0.0,TXML
83,Net fx,12  Mar-16*,0.0,TXML
84,From Operations,12  Mar-16*,49.0,TXML
85,From Investments,12  Mar-16*,-35.0,TXML
86,From Financial Activity,12  Mar-16*,-5.0,TXML
87,Net Cashflow,12  Mar-16*,10.0,TXML
88,Net Sales,12  Mar-17*,239.0,TXML
89,Other income,12  Mar-17*,113.0,TXML
90,Total revenues,12  Mar-17*,352.0,TXML
91,Gross profit,12  Mar-17*,65.0,TXML
92,Depreciation,12  Mar-17*,25.0,TXML
93,Interest,12  Mar-17*,10.0,TXML
94,Profit before tax,12  Mar-17*,142.0,TXML
95,Minority Interest,12  Mar-17*,0.0,TXML
96,Prior Period Items,12  Mar-17*,84.0,TXML
97,Extraordinary Inc (Exp),12  Mar-17*,0.0,TXML
98,Tax,12  Mar-17*,15.0,TXML
99,Profit after tax,12  Mar-17*,210.0,TXML
100,Gross profit margin,12  Mar-17*,27.0,TXML
101,Effective tax rate,12  Mar-17*,10.6,TXML
102,Net profit margin,12  Mar-17*,88.0,TXML
