,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-10*,15255.0,UNFRA
1,Other income,12  Mar-10*,128.0,UNFRA
2,Total revenues,12  Mar-10*,15382.0,UNFRA
3,Gross profit,12  Mar-10*,1880.0,UNFRA
4,Depreciation,12  Mar-10*,179.0,UNFRA
5,Interest,12  Mar-10*,512.0,UNFRA
6,Profit before tax,12  Mar-10*,1318.0,UNFRA
7,Minority Interest,12  Mar-10*,0.0,UNFRA
8,Prior Period Items,12  Mar-10*,-14.0,UNFRA
9,Extraordinary Inc (Exp),12  Mar-10*,0.0,UNFRA
10,Tax,12  Mar-10*,447.0,UNFRA
11,Profit after tax,12  Mar-10*,856.0,UNFRA
12,Gross profit margin,12  Mar-10*,12.3,UNFRA
13,Effective tax rate,12  Mar-10*,33.9,UNFRA
14,Net profit margin,12  Mar-10*,5.6,UNFRA
15,Current assets,12  Mar-10*,15064.0,UNFRA
16,Current liabilities,12  Mar-10*,8611.0,UNFRA
17,Net working cap to sales,12  Mar-10*,42.3,UNFRA
18,Current ratio,12  Mar-10*,1.7,UNFRA
19,Inventory Days,12  Mar-10*,56.0,UNFRA
20,Debtors Days,12  Mar-10*,123.0,UNFRA
21,Net fixed assets,12  Mar-10*,1050.0,UNFRA
22,Share capital,12  Mar-10*,148.0,UNFRA
23,"""Free"" reserves",12  Mar-10*,5514.0,UNFRA
24,Net worth,12  Mar-10*,5661.0,UNFRA
25,Long term debt,12  Mar-10*,2287.0,UNFRA
26,Total assets,12  Mar-10*,16567.0,UNFRA
27,Interest coverage,12  Mar-10*,3.6,UNFRA
28,Debt to equity ratio,12  Mar-10*,0.4,UNFRA
29,Sales to assets ratio,12  Mar-10*,0.9,UNFRA
30,Return on assets,12  Mar-10*,8.3,UNFRA
31,Return on equity,12  Mar-10*,15.1,UNFRA
32,Return on capital,12  Mar-10*,22.8,UNFRA
33,Exports to sales,12  Mar-10*,0.0,UNFRA
34,Imports to sales,12  Mar-10*,0.4,UNFRA
35,Exports (fob),12  Mar-10*,0.0,UNFRA
36,Imports (cif),12  Mar-10*,61.0,UNFRA
37,Fx inflow,12  Mar-10*,0.0,UNFRA
38,Fx outflow,12  Mar-10*,131.0,UNFRA
39,Net fx,12  Mar-10*,-131.0,UNFRA
40,From Operations,12  Mar-10*,-1350.0,UNFRA
41,From Investments,12  Mar-10*,-241.0,UNFRA
42,From Financial Activity,12  Mar-10*,2075.0,UNFRA
43,Net Cashflow,12  Mar-10*,483.0,UNFRA
44,Net Sales,12  Mar-11*,17722.0,UNFRA
45,Other income,12  Mar-11*,161.0,UNFRA
46,Total revenues,12  Mar-11*,17883.0,UNFRA
47,Gross profit,12  Mar-11*,2349.0,UNFRA
48,Depreciation,12  Mar-11*,187.0,UNFRA
49,Interest,12  Mar-11*,857.0,UNFRA
50,Profit before tax,12  Mar-11*,1465.0,UNFRA
51,Minority Interest,12  Mar-11*,0.0,UNFRA
52,Prior Period Items,12  Mar-11*,0.0,UNFRA
53,Extraordinary Inc (Exp),12  Mar-11*,0.0,UNFRA
54,Tax,12  Mar-11*,505.0,UNFRA
55,Profit after tax,12  Mar-11*,960.0,UNFRA
56,Gross profit margin,12  Mar-11*,13.3,UNFRA
57,Effective tax rate,12  Mar-11*,34.5,UNFRA
58,Net profit margin,12  Mar-11*,5.4,UNFRA
59,Current assets,12  Mar-11*,16442.0,UNFRA
60,Current liabilities,12  Mar-11*,12740.0,UNFRA
61,Net working cap to sales,12  Mar-11*,20.9,UNFRA
62,Current ratio,12  Mar-11*,1.3,UNFRA
63,Inventory Days,12  Mar-11*,68.0,UNFRA
64,Debtors Days,12  Mar-11*,125.0,UNFRA
65,Net fixed assets,12  Mar-11*,1707.0,UNFRA
66,Share capital,12  Mar-11*,148.0,UNFRA
67,"""Free"" reserves",12  Mar-11*,6376.0,UNFRA
68,Net worth,12  Mar-11*,6524.0,UNFRA
69,Long term debt,12  Mar-11*,1712.0,UNFRA
70,Total assets,12  Mar-11*,22265.0,UNFRA
71,Interest coverage,12  Mar-11*,2.7,UNFRA
72,Debt to equity ratio,12  Mar-11*,0.3,UNFRA
73,Sales to assets ratio,12  Mar-11*,0.8,UNFRA
74,Return on assets,12  Mar-11*,8.2,UNFRA
75,Return on equity,12  Mar-11*,14.7,UNFRA
76,Return on capital,12  Mar-11*,28.2,UNFRA
77,Exports to sales,12  Mar-11*,0.0,UNFRA
78,Imports to sales,12  Mar-11*,1.0,UNFRA
79,Exports (fob),12  Mar-11*,0.0,UNFRA
80,Imports (cif),12  Mar-11*,176.0,UNFRA
81,Fx inflow,12  Mar-11*,0.0,UNFRA
82,Fx outflow,12  Mar-11*,317.0,UNFRA
83,Net fx,12  Mar-11*,-317.0,UNFRA
84,From Operations,12  Mar-11*,241.0,UNFRA
85,From Investments,12  Mar-11*,-575.0,UNFRA
86,From Financial Activity,12  Mar-11*,429.0,UNFRA
87,Net Cashflow,12  Mar-11*,95.0,UNFRA
88,Net Sales,12  Mar-12*,20667.0,UNFRA
89,Other income,12  Mar-12*,184.0,UNFRA
90,Total revenues,12  Mar-12*,20852.0,UNFRA
91,Gross profit,12  Mar-12*,3034.0,UNFRA
92,Depreciation,12  Mar-12*,218.0,UNFRA
93,Interest,12  Mar-12*,1437.0,UNFRA
94,Profit before tax,12  Mar-12*,1563.0,UNFRA
95,Minority Interest,12  Mar-12*,0.0,UNFRA
96,Prior Period Items,12  Mar-12*,0.0,UNFRA
97,Extraordinary Inc (Exp),12  Mar-12*,0.0,UNFRA
98,Tax,12  Mar-12*,499.0,UNFRA
99,Profit after tax,12  Mar-12*,1065.0,UNFRA
100,Gross profit margin,12  Mar-12*,14.7,UNFRA
101,Effective tax rate,12  Mar-12*,31.9,UNFRA
102,Net profit margin,12  Mar-12*,5.2,UNFRA
103,Current assets,12  Mar-12*,18910.0,UNFRA
104,Current liabilities,12  Mar-12*,15007.0,UNFRA
105,Net working cap to sales,12  Mar-12*,18.9,UNFRA
106,Current ratio,12  Mar-12*,1.3,UNFRA
107,Inventory Days,12  Mar-12*,94.0,UNFRA
108,Debtors Days,12  Mar-12*,135.0,UNFRA
109,Net fixed assets,12  Mar-12*,2111.0,UNFRA
110,Share capital,12  Mar-12*,148.0,UNFRA
111,"""Free"" reserves",12  Mar-12*,7354.0,UNFRA
112,Net worth,12  Mar-12*,7503.0,UNFRA
113,Long term debt,12  Mar-12*,2006.0,UNFRA
114,Total assets,12  Mar-12*,25291.0,UNFRA
115,Interest coverage,12  Mar-12*,2.1,UNFRA
116,Debt to equity ratio,12  Mar-12*,0.3,UNFRA
117,Sales to assets ratio,12  Mar-12*,0.8,UNFRA
118,Return on assets,12  Mar-12*,9.9,UNFRA
119,Return on equity,12  Mar-12*,14.2,UNFRA
120,Return on capital,12  Mar-12*,31.6,UNFRA
121,Exports to sales,12  Mar-12*,0.0,UNFRA
122,Imports to sales,12  Mar-12*,1.0,UNFRA
123,Exports (fob),12  Mar-12*,0.0,UNFRA
124,Imports (cif),12  Mar-12*,203.0,UNFRA
125,Fx inflow,12  Mar-12*,0.0,UNFRA
126,Fx outflow,12  Mar-12*,349.0,UNFRA
127,Net fx,12  Mar-12*,-349.0,UNFRA
128,From Operations,12  Mar-12*,1773.0,UNFRA
129,From Investments,12  Mar-12*,-580.0,UNFRA
130,From Financial Activity,12  Mar-12*,-752.0,UNFRA
131,Net Cashflow,12  Mar-12*,441.0,UNFRA
132,Net Sales,12  Mar-13*,24118.0,UNFRA
133,Other income,12  Mar-13*,190.0,UNFRA
134,Total revenues,12  Mar-13*,24308.0,UNFRA
135,Gross profit,12  Mar-13*,3418.0,UNFRA
136,Depreciation,12  Mar-13*,291.0,UNFRA
