,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15,19799.0,WHEEL
1,Other income,12  Mar-15,27.0,WHEEL
2,Total revenues,12  Mar-15,19825.0,WHEEL
3,Gross profit,12  Mar-15,1501.0,WHEEL
4,Depreciation,12  Mar-15,541.0,WHEEL
5,Interest,12  Mar-15,591.0,WHEEL
6,Profit before tax,12  Mar-15,395.0,WHEEL
7,Minority Interest,12  Mar-15,0.0,WHEEL
8,Prior Period Items,12  Mar-15,0.0,WHEEL
9,Extraordinary Inc (Exp),12  Mar-15,0.0,WHEEL
10,Tax,12  Mar-15,98.0,WHEEL
11,Profit after tax,12  Mar-15,297.0,WHEEL
12,Gross profit margin,12  Mar-15,7.6,WHEEL
13,Effective tax rate,12  Mar-15,24.8,WHEEL
14,Net profit margin,12  Mar-15,1.5,WHEEL
15,Current assets,12  Mar-15,6663.0,WHEEL
16,Current liabilities,12  Mar-15,6327.0,WHEEL
17,Net working cap to sales,12  Mar-15,1.7,WHEEL
18,Current ratio,12  Mar-15,1.1,WHEEL
19,Inventory Days,12  Mar-15,44.0,WHEEL
20,Debtors Days,12  Mar-15,68.0,WHEEL
21,Net fixed assets,12  Mar-15,5220.0,WHEEL
22,Share capital,12  Mar-15,120.0,WHEEL
23,"""Free"" reserves",12  Mar-15,3690.0,WHEEL
24,Net worth,12  Mar-15,3811.0,WHEEL
25,Long term debt,12  Mar-15,1631.0,WHEEL
26,Total assets,12  Mar-15,12437.0,WHEEL
27,Interest coverage,12  Mar-15,1.7,WHEEL
28,Debt to equity ratio,12  Mar-15,0.4,WHEEL
29,Sales to assets ratio,12  Mar-15,1.6,WHEEL
30,Return on assets,12  Mar-15,7.1,WHEEL
31,Return on equity,12  Mar-15,7.8,WHEEL
32,Return on capital,12  Mar-15,18.1,WHEEL
33,Exports to sales,12  Mar-15,20.3,WHEEL
34,Imports to sales,12  Mar-15,6.0,WHEEL
35,Exports (fob),12  Mar-15,4020.0,WHEEL
36,Imports (cif),12  Mar-15,1191.0,WHEEL
37,Fx inflow,12  Mar-15,4020.0,WHEEL
38,Fx outflow,12  Mar-15,1333.0,WHEEL
39,Net fx,12  Mar-15,2687.0,WHEEL
40,From Operations,12  Mar-15,839.0,WHEEL
