,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,53025.0,WLSP
1,Other income,12  Mar-15*,949.0,WLSP
2,Total revenues,12  Mar-15*,53975.0,WLSP
3,Gross profit,12  Mar-15*,12742.0,WLSP
4,Depreciation,12  Mar-15*,3329.0,WLSP
5,Interest,12  Mar-15*,2829.0,WLSP
6,Profit before tax,12  Mar-15*,7533.0,WLSP
7,Minority Interest,12  Mar-15*,-45.0,WLSP
8,Prior Period Items,12  Mar-15*,0.0,WLSP
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,WLSP
10,Tax,12  Mar-15*,2090.0,WLSP
11,Profit after tax,12  Mar-15*,5398.0,WLSP
12,Gross profit margin,12  Mar-15*,24.0,WLSP
13,Effective tax rate,12  Mar-15*,27.7,WLSP
14,Net profit margin,12  Mar-15*,10.2,WLSP
15,Current assets,12  Mar-15*,27151.0,WLSP
16,Current liabilities,12  Mar-15*,23951.0,WLSP
17,Net working cap to sales,12  Mar-15*,6.0,WLSP
18,Current ratio,12  Mar-15*,1.1,WLSP
19,Inventory Days,12  Mar-15*,76.0,WLSP
20,Debtors Days,12  Mar-15*,31.0,WLSP
21,Net fixed assets,12  Mar-15*,27834.0,WLSP
22,Share capital,12  Mar-15*,1005.0,WLSP
23,"""Free"" reserves",12  Mar-15*,14732.0,WLSP
24,Net worth,12  Mar-15*,15736.0,WLSP
25,Long term debt,12  Mar-15*,15994.0,WLSP
26,Total assets,12  Mar-15*,57592.0,WLSP
27,Interest coverage,12  Mar-15*,3.7,WLSP
28,Debt to equity ratio,12  Mar-15*,1.0,WLSP
29,Sales to assets ratio,12  Mar-15*,0.9,WLSP
30,Return on assets,12  Mar-15*,14.3,WLSP
31,Return on equity,12  Mar-15*,34.3,WLSP
32,Return on capital,12  Mar-15*,32.5,WLSP
33,Exports to sales,12  Mar-15*,0.3,WLSP
34,Imports to sales,12  Mar-15*,9.3,WLSP
35,Exports (fob),12  Mar-15*,167.0,WLSP
