,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-14,2964.0,WMPL
1,Other income,12  Mar-14,4.0,WMPL
2,Total revenues,12  Mar-14,2967.0,WMPL
3,Gross profit,12  Mar-14,536.0,WMPL
4,Depreciation,12  Mar-14,90.0,WMPL
5,Interest,12  Mar-14,2.0,WMPL
6,Profit before tax,12  Mar-14,447.0,WMPL
7,Minority Interest,12  Mar-14,0.0,WMPL
8,Prior Period Items,12  Mar-14,0.0,WMPL
9,Extraordinary Inc (Exp),12  Mar-14,0.0,WMPL
10,Tax,12  Mar-14,122.0,WMPL
11,Profit after tax,12  Mar-14,325.0,WMPL
12,Gross profit margin,12  Mar-14,18.1,WMPL
13,Effective tax rate,12  Mar-14,27.2,WMPL
14,Net profit margin,12  Mar-14,11.0,WMPL
15,Current assets,12  Mar-14,1105.0,WMPL
16,Current liabilities,12  Mar-14,290.0,WMPL
17,Net working cap to sales,12  Mar-14,27.5,WMPL
18,Current ratio,12  Mar-14,3.8,WMPL
19,Inventory Days,12  Mar-14,79.0,WMPL
20,Debtors Days,12  Mar-14,36.0,WMPL
21,Net fixed assets,12  Mar-14,727.0,WMPL
22,Share capital,12  Mar-14,60.0,WMPL
23,"""Free"" reserves",12  Mar-14,1449.0,WMPL
24,Net worth,12  Mar-14,1509.0,WMPL
25,Long term debt,12  Mar-14,0.0,WMPL
26,Total assets,12  Mar-14,1860.0,WMPL
27,Interest coverage,12  Mar-14,204.2,WMPL
28,Debt to equity ratio,12  Mar-14,0.0,WMPL
29,Sales to assets ratio,12  Mar-14,1.6,WMPL
30,Return on assets,12  Mar-14,17.6,WMPL
31,Return on equity,12  Mar-14,21.5,WMPL
32,Return on capital,12  Mar-14,29.8,WMPL
33,Exports to sales,12  Mar-14,0.0,WMPL
34,Imports to sales,12  Mar-14,0.0,WMPL
35,Exports (fob),12  Mar-14,0.0,WMPL
36,Imports (cif),12  Mar-14,0.0,WMPL
37,Fx inflow,12  Mar-14,13.0,WMPL
38,Fx outflow,12  Mar-14,133.0,WMPL
39,Net fx,12  Mar-14,-120.0,WMPL
40,From Operations,12  Mar-14,181.0,WMPL
41,From Investments,12  Mar-14,-103.0,WMPL
42,From Financial Activity,12  Mar-14,-56.0,WMPL
43,Net Cashflow,12  Mar-14,21.0,WMPL
44,Net Sales,12  Mar-15,3660.0,WMPL
45,Other income,12  Mar-15,14.0,WMPL
46,Total revenues,12  Mar-15,3674.0,WMPL
47,Gross profit,12  Mar-15,614.0,WMPL
48,Depreciation,12  Mar-15,90.0,WMPL
49,Interest,12  Mar-15,2.0,WMPL
50,Profit before tax,12  Mar-15,536.0,WMPL
51,Minority Interest,12  Mar-15,0.0,WMPL
52,Prior Period Items,12  Mar-15,0.0,WMPL
53,Extraordinary Inc (Exp),12  Mar-15,0.0,WMPL
54,Tax,12  Mar-15,152.0,WMPL
55,Profit after tax,12  Mar-15,384.0,WMPL
56,Gross profit margin,12  Mar-15,16.8,WMPL
57,Effective tax rate,12  Mar-15,28.4,WMPL
58,Net profit margin,12  Mar-15,10.5,WMPL
59,Current assets,12  Mar-15,1242.0,WMPL
60,Current liabilities,12  Mar-15,298.0,WMPL
61,Net working cap to sales,12  Mar-15,25.8,WMPL
62,Current ratio,12  Mar-15,4.2,WMPL
63,Inventory Days,12  Mar-15,51.0,WMPL
64,Debtors Days,12  Mar-15,40.0,WMPL
65,Net fixed assets,12  Mar-15,864.0,WMPL
66,Share capital,12  Mar-15,60.0,WMPL
67,"""Free"" reserves",12  Mar-15,1715.0,WMPL
68,Net worth,12  Mar-15,1776.0,WMPL
69,Long term debt,12  Mar-15,0.0,WMPL
70,Total assets,12  Mar-15,2129.0,WMPL
71,Interest coverage,12  Mar-15,358.1,WMPL
72,Debt to equity ratio,12  Mar-15,0.0,WMPL
73,Sales to assets ratio,12  Mar-15,1.7,WMPL
74,Return on assets,12  Mar-15,18.1,WMPL
75,Return on equity,12  Mar-15,21.6,WMPL
76,Return on capital,12  Mar-15,30.3,WMPL
77,Exports to sales,12  Mar-15,0.0,WMPL
78,Imports to sales,12  Mar-15,0.0,WMPL
79,Exports (fob),12  Mar-15,0.0,WMPL
80,Imports (cif),12  Mar-15,0.0,WMPL
81,Fx inflow,12  Mar-15,59.0,WMPL
82,Fx outflow,12  Mar-15,256.0,WMPL
83,Net fx,12  Mar-15,-196.0,WMPL
84,From Operations,12  Mar-15,436.0,WMPL
85,From Investments,12  Mar-15,-277.0,WMPL
