,No. of Mths  Year Ending,variable,value,name
0,Net Sales,12  Mar-15*,469510.0,WPRO
1,Other income,12  Mar-15*,24497.0,WPRO
2,Total revenues,12  Mar-15*,494007.0,WPRO
3,Gross profit,12  Mar-15*,102992.0,WPRO
4,Depreciation,12  Mar-15*,11749.0,WPRO
5,Interest,12  Mar-15*,3499.0,WPRO
6,Profit before tax,12  Mar-15*,112241.0,WPRO
7,Minority Interest,12  Mar-15*,-531.0,WPRO
8,Prior Period Items,12  Mar-15*,0.0,WPRO
9,Extraordinary Inc (Exp),12  Mar-15*,0.0,WPRO
10,Tax,12  Mar-15*,25101.0,WPRO
11,Profit after tax,12  Mar-15*,86609.0,WPRO
12,Gross profit margin,12  Mar-15*,21.9,WPRO
13,Effective tax rate,12  Mar-15*,22.4,WPRO
14,Net profit margin,12  Mar-15*,18.4,WPRO
15,Current assets,12  Mar-15*,432776.0,WPRO
16,Current liabilities,12  Mar-15*,163972.0,WPRO
17,Net working cap to sales,12  Mar-15*,57.3,WPRO
18,Current ratio,12  Mar-15*,2.6,WPRO
19,Inventory Days,12  Mar-15*,4.0,WPRO
20,Debtors Days,12  Mar-15*,68.0,WPRO
21,Net fixed assets,12  Mar-15*,124966.0,WPRO
22,Share capital,12  Mar-15*,4937.0,WPRO
23,"""Free"" reserves",12  Mar-15*,398713.0,WPRO
24,Net worth,12  Mar-15*,403650.0,WPRO
25,Long term debt,12  Mar-15*,12707.0,WPRO
26,Total assets,12  Mar-15*,595593.0,WPRO
27,Interest coverage,12  Mar-15*,33.1,WPRO
28,Debt to equity ratio,12  Mar-15*,0.0,WPRO
29,Sales to assets ratio,12  Mar-15*,0.8,WPRO
30,Return on assets,12  Mar-15*,15.1,WPRO
31,Return on equity,12  Mar-15*,21.5,WPRO
32,Return on capital,12  Mar-15*,27.7,WPRO
33,Exports to sales,12  Mar-15*,0.0,WPRO
34,Imports to sales,12  Mar-15*,1.9,WPRO
35,Exports (fob),12  Mar-15*,0.0,WPRO
36,Imports (cif),12  Mar-15*,8873.0,WPRO
37,Fx inflow,12  Mar-15*,367665.0,WPRO
38,Fx outflow,12  Mar-15*,203181.0,WPRO
39,Net fx,12  Mar-15*,164484.0,WPRO
40,From Operations,12  Mar-15*,78404.0,WPRO
41,From Investments,12  Mar-15*,-25957.0,WPRO
42,From Financial Activity,12  Mar-15*,-8297.0,WPRO
43,Net Cashflow,12  Mar-15*,44150.0,WPRO
44,Net Sales,12  Mar-16*,512440.0,WPRO
45,Other income,12  Mar-16*,27522.0,WPRO
46,Total revenues,12  Mar-16*,539962.0,WPRO
47,Gross profit,12  Mar-16*,107958.0,WPRO
48,Depreciation,12  Mar-16*,14961.0,WPRO
49,Interest,12  Mar-16*,5582.0,WPRO
50,Profit before tax,12  Mar-16*,114937.0,WPRO
51,Minority Interest,12  Mar-16*,0.0,WPRO
52,Prior Period Items,12  Mar-16*,0.0,WPRO
53,Extraordinary Inc (Exp),12  Mar-16*,0.0,WPRO
54,Tax,12  Mar-16*,25366.0,WPRO
55,Profit after tax,12  Mar-16*,89571.0,WPRO
56,Gross profit margin,12  Mar-16*,21.1,WPRO
57,Effective tax rate,12  Mar-16*,22.1,WPRO
58,Net profit margin,12  Mar-16*,17.5,WPRO
59,Current assets,12  Mar-16*,502825.0,WPRO
60,Current liabilities,12  Mar-16*,218511.0,WPRO
61,Net working cap to sales,12  Mar-16*,55.5,WPRO
62,Current ratio,12  Mar-16*,2.3,WPRO
63,Inventory Days,12  Mar-16*,4.0,WPRO
64,Debtors Days,12  Mar-16*,71.0,WPRO
